canonical_hotel_name,area,source_page,complaint_url,discovered_page,collected_at
Green Bay Resort & Spa Bodrum,Güvercinlik,https://www.sikayetvar.com/green-bay-resort-spa,https://www.sikayetvar.com/green-bay-resort-spa/hayal-kirikligi-ve-bosa-harcanan-tatil-parasi,1,2026-08-25T10:06:36.061310+00:00
Green Bay Resort & Spa Bodrum,Güvercinlik,https://www.sikayetvar.com/green-bay-resort-spa,https://www.sikayetvar.com/green-bay-resort-spa/ultra-her-sey-dahil-pakette-vaat-edilen-hizmetler-sunulmadi-calisanlar-ilgisizdi,1,2026-08-25T10:06:36.061310+00:00
Green Bay Resort & Spa Bodrum,Güvercinlik,https://www.sikayetvar.com/green-bay-resort-spa,https://www.sikayetvar.com/green-bay-resort-spa/green-bay-resort-spa-green-bay-otel-magdurlugu,1,2026-08-25T10:06:36.061310+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-hicbir-seyden-memnun-kalmadim,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/havlu-birakan-misafirlerin-sezlong-sahipligi-tartismasi-ve-kaba-tutumu,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/kucuk-ve-uzak-oda-saygisiz-personel-ve-kalitesiz-yemekler,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-konaklamam-sirasinda-yasadigim-gida-zehirlenmesi,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/balayi-konsepti-eksik-acik-sarap-sisesi-ve-kucuk-sac-kremi,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-hotelde-telefon-gorusmesindeki-saygisiz-ve-kaba-uslup,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/ilgisiz-personel-ve-ilgisiz-yonetim-misafirleri-magdur-ediyor,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-otelinde-yasanan-hizmet-eksiklikleri-ve-musteri-iliskileri-sorunlari,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-plajda-guvenlik-eksikligi-ve-lakayit-personel-nedeniyle-yasanan-yaralanma,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/balayi-ciftine-ozel-hizmetlerde-gecikme-ve-guvenlik-sorunu,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/vale-hizmetiyle-aracimiz-insaat-alanina-park-edildi-ve-kir-icinde-birakildi,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/otelin-yiyeceklerinden-kaynaklanan-zehirlenme-nedeniyle-magduriyet,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/balayi-ciftine-oda-seciminde-haksizlik-ve-eksik-hizmet,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-garson-yok-otelde-video,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/bellboyun-hatasi-ve-otelin-ilgisizligi,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-la-blanche-island-pismanligi,1,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-tam-bir-hayal-kirikligi-1,2,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-oteldeki-personel-ilgisizligi-ve-sorumsuzluk,2,2026-08-25T10:06:38.481419+00:00
La Blanche Island Bodrum,Güvercinlik,https://www.sikayetvar.com/la-blanche-island-bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum/la-blanche-island-bodrum-tam-bir-pismanlik,2,2026-08-25T10:06:38.481419+00:00
