hotel_id,place_id,hotel_name,area,address,google_rating,google_review_count,source_url,target_review_cap,collection_priority
BOD156,ChIJdzNmBu9pvhQRJf3tEZvJTAM,Voyage Torba,Torba,"Torba Mh, Mustafa Kemal, Atatürk Cd. No:108, 48400 Bodrum/Muğla, Türkiye",4.7,2753,https://www.google.com/maps/search/?api=1&query=Voyage%20Torba&query_place_id=ChIJdzNmBu9pvhQRJf3tEZvJTAM,75,18
BOD056,ChIJAQAAQO5vvhQR0cqCHEaK7ic,"Mandarin Oriental, Bodrum",Göltürkbükü,"Gölköy, 314 Sokak No.10, 48483 Muğla, Türkiye",4.7,2728,https://www.google.com/maps/search/?api=1&query=Mandarin%20Oriental%2C%20Bodrum&query_place_id=ChIJAQAAQO5vvhQR0cqCHEaK7ic,75,19
BOD140,ChIJEZ7NeSBpvhQRW7TrqslFbhY,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,"Torba, Kaynar Mevkii No:11, 48400 Bodrum/Muğla, Türkiye",4.4,2690,https://www.google.com/maps/search/?api=1&query=DoubleTree%20by%20Hilton%20Bodrum%20I%C5%9F%C4%B1l%20Club%20All-Inclusive%20Resort&query_place_id=ChIJEZ7NeSBpvhQRW7TrqslFbhY,75,20
BOD130,ChIJ7xEvaZdyvhQRXeI5Mw_wKBM,Petunya Beach Resort,Ortakent-Yahşi,"Yahşi, Yalı Cd. No:72, 48420 Bodrum/Muğla, Türkiye",3.7,2687,https://www.google.com/maps/search/?api=1&query=Petunya%20Beach%20Resort&query_place_id=ChIJ7xEvaZdyvhQRXeI5Mw_wKBM,75,21
BOD045,ChIJGUkl_VBsvhQRhaJGNtf2b_Q,Salmakis Resort & Spa,Bodrum Merkez,"Bardakcı Koyu, Eskiçeşme, Salmakis Cd. No:7, 48400 Bodrum/Muğla, Türkiye",4.2,2681,https://www.google.com/maps/search/?api=1&query=Salmakis%20Resort%20%26%20Spa&query_place_id=ChIJGUkl_VBsvhQRhaJGNtf2b_Q,75,22
BOD019,ChIJK3FMz59tvhQRPMvQAr1_6rk,Bitez Garden Life Hotel&Suites,Bitez,"Bitez, Bergamut Cd. No:52, 48400 Bodrum/Muğla, Türkiye",4.0,2527,https://www.google.com/maps/search/?api=1&query=Bitez%20Garden%20Life%20Hotel%26Suites&query_place_id=ChIJK3FMz59tvhQRPMvQAr1_6rk,75,23
BOD150,ChIJ2ZaqTSRpvhQRVhR52L9gb7E,Samara Hotel,Torba,"Kaynar Mevkii, 48400 Bodrum/Muğla, Türkiye",4.4,2488,https://www.google.com/maps/search/?api=1&query=Samara%20Hotel&query_place_id=ChIJ2ZaqTSRpvhQRVhR52L9gb7E,75,24
BOD004,ChIJXUoh1okLvhQR-k-X9ouGc3c,Bendis Beach Hotel,Akyarlar,"Akyarlar, Kemer Mevkii No: 24, 48960 Bodrum/Muğla, Türkiye",3.9,2469,https://www.google.com/maps/search/?api=1&query=Bendis%20Beach%20Hotel&query_place_id=ChIJXUoh1okLvhQR-k-X9ouGc3c,75,25
BOD177,ChIJ06hnbDpxvhQRaVw-pnfuqb4,Delta Hotels By Marriott Bodrum,Yalıkavak,"Merkez, Sanatçı Evleri Cd. No:29, 48990 Bodrum/Muğla, Türkiye",4.0,2444,https://www.google.com/maps/search/?api=1&query=Delta%20Hotels%20By%20Marriott%20Bodrum&query_place_id=ChIJ06hnbDpxvhQRaVw-pnfuqb4,75,26
BOD063,ChIJNRIjqlRsvhQRGxrphNIqGwk,Jasmin Beach Hotel,Gümbet,"Gümbet, Dayılar Sk., 48400 Bodrum/Muğla, Türkiye",3.9,2330,https://www.google.com/maps/search/?api=1&query=Jasmin%20Beach%20Hotel&query_place_id=ChIJNRIjqlRsvhQRGxrphNIqGwk,75,27
BOD113,ChIJ5QHeO7h0vhQRW5f2t7UbNjY,Kadıkale Resort,Kadıkalesi,"Mevkii Turgutreis, Kadıkalesi, Gümüşlük Cd. No:297, 48470 Bodrum/Muğla, Türkiye",4.0,2121,https://www.google.com/maps/search/?api=1&query=Kad%C4%B1kale%20Resort&query_place_id=ChIJ5QHeO7h0vhQRW5f2t7UbNjY,75,28
BOD067,ChIJmbdvxK1tvhQRx48Im613KJA,Sami Beach Hotel,Gümbet,"Gümbet, Ayaz Cd. No:18, 48400 Bodrum/Muğla, Türkiye",4.0,2089,https://www.google.com/maps/search/?api=1&query=Sami%20Beach%20Hotel&query_place_id=ChIJmbdvxK1tvhQRx48Im613KJA,75,29
BOD016,ChIJ_-zsV2kMvhQRgj8ZRcaPUXg,Xanadu Island,Akyarlar,"Akyarlar, Ada Caddesi No: 10/1, 48960 Bodrum/Muğla, Türkiye",4.6,2068,https://www.google.com/maps/search/?api=1&query=Xanadu%20Island&query_place_id=ChIJ_-zsV2kMvhQRgj8ZRcaPUXg,75,30
BOD088,ChIJ5zcoSD9wvhQRD6Swln-iZ5Y,Baia Bodrum Hotel,Gündoğan,"TÜRKİYE, Aşağı, 48965 Gündoğan/Bodrum/Muğla, Türkiye",4.3,1964,https://www.google.com/maps/search/?api=1&query=Baia%20Bodrum%20Hotel&query_place_id=ChIJ5zcoSD9wvhQRD6Swln-iZ5Y,75,31
BOD035,ChIJwW3ot1FsvhQR9l2PzmY0rzI,Azka Otel - Bardakçı Koyu,Bodrum Merkez,"Bardakçı Koyu, Eskiçeşme, Kaptan Kalesi Sk., 48400 Bodrum/Muğla, Türkiye",4.0,1926,https://www.google.com/maps/search/?api=1&query=Azka%20Otel%20-%20Bardak%C3%A7%C4%B1%20Koyu&query_place_id=ChIJwW3ot1FsvhQR9l2PzmY0rzI,75,32
BOD065,ChIJk_7uUOZtvhQRslDfiDT6f6s,Mirada Exclusive Bodrum,Gümbet,"Asarlık Mevkii, Turkuaz Sk. No:8/10, 48400 Bodrum/Muğla, Türkiye",4.8,1905,https://www.google.com/maps/search/?api=1&query=Mirada%20Exclusive%20Bodrum&query_place_id=ChIJk_7uUOZtvhQRslDfiDT6f6s,75,33
BOD037,ChIJb6V7XlZsvhQRMLIIPP4BchI,Bodrum Bay Resort,Bodrum Merkez,"Eskiçeşme, Haremtan Sk. No:1, 48400 Bodrum/Muğla, Türkiye",3.3,1825,https://www.google.com/maps/search/?api=1&query=Bodrum%20Bay%20Resort&query_place_id=ChIJb6V7XlZsvhQRMLIIPP4BchI,75,34
BOD041,ChIJg044KVZsvhQRr4Ud9rwcZYA,La Quinta by Wyndham Bodrum,Bodrum Merkez,"Eskiçeşme Mh, Bardakçı Sk. No:29, 48400 Bodrum/Muğla, Türkiye",4.3,1764,https://www.google.com/maps/search/?api=1&query=La%20Quinta%20by%20Wyndham%20Bodrum&query_place_id=ChIJg044KVZsvhQRr4Ud9rwcZYA,75,35
BOD158,ChIJRzd_y8ALvhQRv5VZVOHqljU,Arin Resort Bodrum,Turgutreis,"Bahçelievler Mah, Bahçelievler, Şehit Kenan Aybey Caddesi No: 123, 48960 Bodrum/Muğla, Türkiye",4.6,1691,https://www.google.com/maps/search/?api=1&query=Arin%20Resort%20Bodrum&query_place_id=ChIJRzd_y8ALvhQRv5VZVOHqljU,75,36
BOD058,ChIJxxkyuVJsvhQR6fKf-R5FXrc,Bodrum Beach Resort,Gümbet,"Gümbet, Osman Nuri Bilgin Cd. No:37 D:1, 48400 Bodrum/Muğla, Türkiye",3.7,1678,https://www.google.com/maps/search/?api=1&query=Bodrum%20Beach%20Resort&query_place_id=ChIJxxkyuVJsvhQR6fKf-R5FXrc,75,37
BOD072,ChIJkXZdS0BsvhQR2B_lTbvKswM,VERY CHIC BODRUM,Gümbet,"Gümbet, Zengin Hüseyin Sk. No:9, 48400 Bodrum/Muğla, Türkiye",4.2,1670,https://www.google.com/maps/search/?api=1&query=VERY%20CHIC%20BODRUM&query_place_id=ChIJkXZdS0BsvhQR2B_lTbvKswM,75,38
BOD013,ChIJgRdtyF8MvhQRcyrv7KcB-qA,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,"Merkez Mah, Barış Manço Cd. No: 4-A, 48960 Bodrum/Muğla, Türkiye",4.4,1650,https://www.google.com/maps/search/?api=1&query=Sentido%20Bellazure%20-%20Akyarlar%2C%20Bodrum%20/%20Turkey&query_place_id=ChIJgRdtyF8MvhQRcyrv7KcB-qA,75,39
BOD042,ChIJPxuR8hFsvhQRlxMn8dN2TlI,Mandarin Resort Hotel,Bodrum Merkez,"Kumbahçe, Dr. Mümtaz Ataman Cd. No:27, 48400 Bodrum/Muğla, Türkiye",3.9,1647,https://www.google.com/maps/search/?api=1&query=Mandarin%20Resort%20Hotel&query_place_id=ChIJPxuR8hFsvhQRlxMn8dN2TlI,75,40
BOD164,ChIJ26veg4ILvhQR1JYSvVp6xwM,Swissôtel Resort Bodrum Sahili,Turgutreis,"Turgutreis, Gazi Mustafa Kemal Blv. No:42, 48960 Bodrum/Muğla, Türkiye",4.7,1608,https://www.google.com/maps/search/?api=1&query=Swiss%C3%B4tel%20Resort%20Bodrum%20Sahili&query_place_id=ChIJ26veg4ILvhQR1JYSvVp6xwM,75,41
BOD043,ChIJqVpIA2JtvhQRHEuqj5n7bz8,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,"Değirmenler Mevkii, Eskiçeşme, Haremtan Sk., 48400 Bodrum/Muğla, Türkiye",4.7,1575,https://www.google.com/maps/search/?api=1&query=METT%20Hotel%20%26%20Beach%20Resort%20Bodrum&query_place_id=ChIJqVpIA2JtvhQRHEuqj5n7bz8,75,42
BOD125,ChIJN39o0JVyvhQRrcJWBvaq1QY,Kefi Beach Bodrum,Ortakent-Yahşi,"Yahşi, Yalı Cd. No:38, 48200 Bodrum/Muğla, Türkiye",4.3,1502,https://www.google.com/maps/search/?api=1&query=Kefi%20Beach%20Bodrum&query_place_id=ChIJN39o0JVyvhQRrcJWBvaq1QY,75,43
BOD061,ChIJi1RysUtsvhQReySSwLnKb6U,Gümbet Anıl Beach,Gümbet,"Gümbet, Yarbay Sabri Ergüden Sk., 48400 Bodrum/Muğla, Türkiye",4.3,1489,https://www.google.com/maps/search/?api=1&query=G%C3%BCmbet%20An%C4%B1l%20Beach&query_place_id=ChIJi1RysUtsvhQReySSwLnKb6U,75,44
BOD006,ChIJ8ShlrJkNvhQR0AEjC-bO7mY,Club Marma Hotel,Akyarlar,"Akyarlar, 4275 Sok, 48960 Bodrum/Muğla, Türkiye",4.3,1373,https://www.google.com/maps/search/?api=1&query=Club%20Marma%20Hotel&query_place_id=ChIJ8ShlrJkNvhQR0AEjC-bO7mY,75,45
BOD089,ChIJbVCWxj9wvhQRHejA2QkcIgM,Cape Bodrum Luxury Hotel & Beach,Gündoğan,"Gündoǧan/Bodrum Muğla TR, Gündoğan, Kızılburun Cd. No:72, 48965, Türkiye",4.4,1351,https://www.google.com/maps/search/?api=1&query=Cape%20Bodrum%20Luxury%20Hotel%20%26%20Beach&query_place_id=ChIJbVCWxj9wvhQRHejA2QkcIgM,75,46
BOD163,ChIJ5VcB4U0LvhQROU2PptPl_WE,Sundance Resort,Turgutreis,"Bahcelievler Mah, Bahçelievler, Bahçelievler Cd. No:123, 48400 Bodrum/Muğla, Türkiye",4.0,1344,https://www.google.com/maps/search/?api=1&query=Sundance%20Resort&query_place_id=ChIJ5VcB4U0LvhQROU2PptPl_WE,75,47
BOD017,ChIJf4088JVyvhQRxeHFgoSXn4s,Ambrosia Otel Beach & Spa,Bitez,"Hacıahmetler Mevkii Bitez, Pomelan Cd. No:32, 48470 Bodrum/Muğla, Türkiye",4.0,1340,https://www.google.com/maps/search/?api=1&query=Ambrosia%20Otel%20Beach%20%26%20Spa&query_place_id=ChIJf4088JVyvhQRxeHFgoSXn4s,75,48
BOD104,ChIJI59jNQxdvhQR6UAwxjuwZEI,Greenport Bodrum,Güvercinlik,"Güvercinlik, Güvercinlik Blv no:90/1, 48450 Bodrum/Muğla, Türkiye",3.2,1317,https://www.google.com/maps/search/?api=1&query=Greenport%20Bodrum&query_place_id=ChIJI59jNQxdvhQR6UAwxjuwZEI,75,49
BOD169,ChIJybTpQuxvvhQRvHMQvLA1YMk,MACAKIZI BODRUM,Türkbükü,"Türkbükü, Narçiçeği Sokak, 48400 Bodrum/Muğla, Türkiye",4.3,1247,https://www.google.com/maps/search/?api=1&query=MACAKIZI%20BODRUM&query_place_id=ChIJybTpQuxvvhQRvHMQvLA1YMk,75,50
BOD070,ChIJHcO2oKhtvhQR0DTiondx6MU,The Luvi Hotel,Gümbet,"Gümbet Mah. Adnan Menderes Cad, Gümbet, Kaşif Ertekin Sk. No:10, 48400 Bodrum/Muğla, Türkiye",3.7,1226,https://www.google.com/maps/search/?api=1&query=The%20Luvi%20Hotel&query_place_id=ChIJHcO2oKhtvhQR0DTiondx6MU,75,51
