hotel_id,hotel_name,area,page_status,complaint_n,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,threshold_methodology,metric_interpretation
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,REJECTED_CANDIDATE_PAGE,0,739,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD015,The Ni Villas Akyarlar,Akyarlar,NO_VALIDATED_SIKAYETVAR_PAGE,0,44,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD016,Xanadu Island,Akyarlar,VISIBLE_COMPLAINTS,4,2068,1.9342359767891684,STRONGER_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD017,Ambrosia Otel Beach & Spa,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,0,1340,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,0,201,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD019,Bitez Garden Life Hotel&Suites,Bitez,VALIDATED_PAGE_COMPLAINTS_NOT_COLLECTED,0,2527,,STRONGER_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD020,Bitez Risa Hotel,Bitez,MAPPING_AMBIGUOUS,0,919,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,0,904,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD022,Dolce Vita Luxury Bungalows,Bitez,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,0,214,0.0,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD023,Doria Hotel Bodrum,Bitez,VISIBLE_COMPLAINTS,1,774,1.2919896640826873,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
