area,area_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,mapping_coverage_pct,coverage_flag,overall_mention_rate_pct,area_mention_rate_pct,lift_pp
Akyarlar,55,STAFF_SERVICE,40,72.72727272727273,False,31.25,ADEQUATE_EXPLORATORY,67.37288135593221,72.72727272727273,5.354391371340526
Akyarlar,55,CLEANLINESS_HYGIENE,28,50.90909090909091,False,31.25,ADEQUATE_EXPLORATORY,44.91525423728814,50.90909090909091,5.993836671802768
Akyarlar,55,FOOD_BEVERAGE,32,58.18181818181818,False,31.25,ADEQUATE_EXPLORATORY,51.69491525423729,58.18181818181818,6.486902927580893
Akyarlar,55,ROOM,35,63.63636363636363,False,31.25,ADEQUATE_EXPLORATORY,60.16949152542373,63.63636363636363,3.466872110939903
Akyarlar,55,BEACH_SEA,16,29.09090909090909,False,31.25,ADEQUATE_EXPLORATORY,29.661016949152543,29.09090909090909,-0.5701078582434533
Akyarlar,55,POOL,10,18.181818181818183,False,31.25,ADEQUATE_EXPLORATORY,16.52542372881356,18.181818181818183,1.6563944530046228
Akyarlar,55,FACILITIES_MAINTENANCE,24,43.63636363636363,False,31.25,ADEQUATE_EXPLORATORY,38.983050847457626,43.63636363636363,4.653312788906007
Akyarlar,55,RESERVATION,21,38.18181818181818,False,31.25,ADEQUATE_EXPLORATORY,39.83050847457627,38.18181818181818,-1.64869029275809
Akyarlar,55,PAYMENT_REFUND,24,43.63636363636363,False,31.25,ADEQUATE_EXPLORATORY,52.11864406779661,43.63636363636363,-8.482280431432976
Akyarlar,55,PRICE_VALUE,28,50.90909090909091,False,31.25,ADEQUATE_EXPLORATORY,47.88135593220339,50.90909090909091,3.0277349768875155
Akyarlar,55,CHECKIN_CHECKOUT,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY,1.694915254237288,3.6363636363636362,1.9414483821263482
Akyarlar,55,AIR_CONDITIONING,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY,8.05084745762712,3.6363636363636362,-4.414483821263483
Akyarlar,55,NOISE,2,3.6363636363636362,False,31.25,ADEQUATE_EXPLORATORY,5.508474576271187,3.6363636363636362,-1.8721109399075506
Akyarlar,55,FAMILY_CHILDREN,15,27.272727272727273,False,31.25,ADEQUATE_EXPLORATORY,22.45762711864407,27.272727272727273,4.815100154083204
Akyarlar,55,TRANSPORT_TRANSFER,1,1.8181818181818181,False,31.25,ADEQUATE_EXPLORATORY,5.508474576271187,1.8181818181818181,-3.6902927580893685
Akyarlar,55,MANAGEMENT_COMMUNICATION,32,58.18181818181818,False,31.25,ADEQUATE_EXPLORATORY,59.32203389830509,58.18181818181818,-1.1402157164869067
Akyarlar,55,SPA_WELLNESS,3,5.454545454545454,False,31.25,ADEQUATE_EXPLORATORY,5.932203389830509,5.454545454545454,-0.4776579352850545
Akyarlar,55,SAFETY_SECURITY,12,21.818181818181817,False,31.25,ADEQUATE_EXPLORATORY,22.033898305084747,21.818181818181817,-0.21571648690293088
Bitez,1,STAFF_SERVICE,1,100.0,True,5.555555555555555,LOW,67.37288135593221,100.0,32.62711864406779
Bitez,1,CLEANLINESS_HYGIENE,0,0.0,True,5.555555555555555,LOW,44.91525423728814,0.0,-44.91525423728814
Bitez,1,FOOD_BEVERAGE,0,0.0,True,5.555555555555555,LOW,51.69491525423729,0.0,-51.69491525423729
Bitez,1,ROOM,1,100.0,True,5.555555555555555,LOW,60.16949152542373,100.0,39.83050847457627
Bitez,1,BEACH_SEA,0,0.0,True,5.555555555555555,LOW,29.661016949152543,0.0,-29.661016949152543
Bitez,1,POOL,0,0.0,True,5.555555555555555,LOW,16.52542372881356,0.0,-16.52542372881356
Bitez,1,FACILITIES_MAINTENANCE,0,0.0,True,5.555555555555555,LOW,38.983050847457626,0.0,-38.983050847457626
Bitez,1,RESERVATION,0,0.0,True,5.555555555555555,LOW,39.83050847457627,0.0,-39.83050847457627
