hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,739,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD015,The Ni Villas Akyarlar,Akyarlar,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,44,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD016,Xanadu Island,Akyarlar,VISIBLE_COMPLAINTS,MATCHED_EXACT,4,STAFF_SERVICE:100.0%|MANAGEMENT_COMMUNICATION:75.0%|ROOM:75.0%,4.0,100.0,2068,1.9342359767891684,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD017,Ambrosia Otel Beach & Spa,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1340,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,201,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD019,Bitez Garden Life Hotel&Suites,Bitez,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,14,CLEANLINESS_HYGIENE:85.7%|ROOM:85.7%|STAFF_SERVICE:78.6%,0.0,0.0,2527,5.54016620498615,STRONGER_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD020,Bitez Risa Hotel,Bitez,MAPPING_AMBIGUOUS,AMBIGUOUS_REMAINS,0,,,,919,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,904,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD022,Dolce Vita Luxury Bungalows,Bitez,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,PAGE_FOUND_NO_COMPLAINT,0,,0.0,,214,0.0,LOW_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
BOD023,Doria Hotel Bodrum,Bitez,VISIBLE_COMPLAINTS,MATCHED_EXACT,1,MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.0,774,1.2919896640826873,LOW_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD024,HAKAN OTEL,Bitez,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,311,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,79,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD026,Manuela Otel Bitez,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,871,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD027,Meis Apart Hotel,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,134,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD028,Mira Beach Resort Bodrum,Bitez,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,274,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD029,Mumu Bodrum Hotel,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,71,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,964,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD031,Okaliptus Otel,Bitez,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,PAGE_FOUND_NO_COMPLAINT,0,,0.0,,474,0.0,LOW_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
