file_path,file_type,size_bytes,modified_at_local,line_count,row_count,column_count,columns,hotel_count,source_url_coverage_pct,detail_coverage_pct,reply_coverage_pct,date_coverage_pct,duplicate_candidate_excess_count,empty_complaint_text_count,purpose,notebook_execution_status,notebook_executed_code_cells,notebook_output_cells,notebook_sikayetvar_references
data/processed/sikayetvar_all_hotels_complaints_nlp.csv,csv,2161430,2026-08-26T07:02:07.879044056,1262.0,236.0,124.0,complaint_id|complaint_url|canonical_complaint_url|hotel_id|hotel_name|area|sikayetvar_company_name|complaint_id.1|complaint_url.1|complaint_title|complaint_text|complaint_date_raw|view_count|support_count|category|product_name|company_response_exists|company_response_date|company_response_text|progress_exists|progress_date|progress_text|user_reply_count|first_user_reply_date|first_user_reply_text|entity_match_status|entity_match_score|entity_match_reason|source_page|collected_at|complaint_title_clean|complaint_text_clean|company_response_text_clean|progress_text_clean|complaint_char_count|complaint_word_count|title_char_count|title_word_count|company_response_char_count|company_response_word_count|progress_char_count|progress_word_count|complaint_text_missing_flag|complaint_title_missing_flag|complaint_text_very_short_flag|missing_text_flag|missing_title_flag|very_short_text_flag|complaint_text_possible_boilerplate_flag|complaint_text_html_artifact_flag|complaint_text_encoding_artifact_flag|collected_at_parsed|complaint_date|complaint_date_is_approximate|complaint_date_pattern|complaint_date_parse_failed_flag|date_parse_failed_flag|date_is_approximate_flag|complaint_date_future_flag|complaint_year|complaint_month|complaint_year_month|company_response_date_parsed|progress_date_parsed|view_count_numeric|support_count_numeric|user_reply_count_numeric|view_count_parse_failed_flag|company_response_exists_clean|progress_exists_clean|potential_pii_flag|potential_duplicate_flag|possible_duplicate_flag|hotel_name_master|area_master|google_rating|google_review_count|official_star_rating_verified|official_room_count|official_bed_count|search_price_usd_snapshot|hotel_name_mismatch_flag|area_mismatch_flag|hotel_metadata_mismatch_flag|reply_count_total_derived|reply_count_company_derived|reply_count_user_derived|reply_count_unknown_derived|first_reply_date|last_reply_date|company_reply_exists_derived|user_reply_count_mismatch_flag|company_response_mismatch_flag|nlp_text_normalized|nlp_tokens|nlp_tokens_domain_filtered|nlp_text_domain_filtered|document_token_count|unique_token_count|lexical_diversity|matched_aspects|matched_aspect_keywords|aspect_count|matched_keyword_count|no_aspect_detected_flag|aspect_staff_service|aspect_cleanliness_hygiene|aspect_food_beverage|aspect_room|aspect_beach_sea|aspect_pool|aspect_facilities_maintenance|aspect_reservation|aspect_payment_refund|aspect_price_value|aspect_checkin_checkout|aspect_air_conditioning|aspect_noise|aspect_family_children|aspect_transport_transfer|aspect_management_communication|aspect_spa_wellness|aspect_safety_security|response_time_days,32.0,100.0,97.03,16.53,95.76,0.0,7.0,Complaint-level derived NLP and aspect features,,,,
data/processed/sikayetvar_all_hotels_replies_clean.csv,csv,243038,2026-08-26T07:02:07.882412434,767.0,97.0,16.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|reply_order|reply_author_type|reply_date_raw|reply_text|reply_text_clean|reply_author_type_clean|reply_order_numeric|reply_date|reply_date_is_approximate|reply_date_pattern|reply_date_parse_failed_flag|reply_id,20.0,,,42.27,100.0,35.0,,Cleaned reply corpus,,,,
data/processed/sikayetvar_area_nlp_features.csv,csv,4105,2026-08-26T07:02:07.883382559,15.0,14.0,29.0,area|project_hotel_count|mapped_hotel_count|hotels_with_complaints|complaint_n|mapping_coverage_pct|coverage_flag|aspect_AIR_CONDITIONING_mention_rate_pct|aspect_BEACH_SEA_mention_rate_pct|aspect_CHECKIN_CHECKOUT_mention_rate_pct|aspect_CLEANLINESS_HYGIENE_mention_rate_pct|aspect_FACILITIES_MAINTENANCE_mention_rate_pct|aspect_FAMILY_CHILDREN_mention_rate_pct|aspect_FOOD_BEVERAGE_mention_rate_pct|aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct|aspect_NOISE_mention_rate_pct|aspect_PAYMENT_REFUND_mention_rate_pct|aspect_POOL_mention_rate_pct|aspect_PRICE_VALUE_mention_rate_pct|aspect_RESERVATION_mention_rate_pct|aspect_ROOM_mention_rate_pct|aspect_SAFETY_SECURITY_mention_rate_pct|aspect_SPA_WELLNESS_mention_rate_pct|aspect_STAFF_SERVICE_mention_rate_pct|aspect_TRANSPORT_TRANSFER_mention_rate_pct|company_response_count|company_response_rate_in_corpus|median_word_count|median_view_count,,,,,,,,"NLP corpus, term, sample-readiness, or topic-gate output",,,,
data/processed/sikayetvar_complaint_aspects_long.csv,csv,691238,2026-08-26T07:02:07.885214806,4249.0,4248.0,11.0,complaint_id|hotel_id|hotel_name|area|company_response_exists_clean|complaint_date|google_rating|google_review_count|aspect|matched|matched_keywords,32.0,,,16.53,95.76,4012.0,,"Aspect taxonomy, mention, lift, validation, or aspect summary output",,,,
data/processed/sikayetvar_complaints_review_required.csv,csv,60259,2026-08-26T07:02:07.886247635,84.0,12.0,85.0,complaint_id|complaint_url|canonical_complaint_url|hotel_id|hotel_name|area|sikayetvar_company_name|complaint_id.1|complaint_url.1|complaint_title|complaint_text|complaint_date_raw|view_count|support_count|category|product_name|company_response_exists|company_response_date|company_response_text|progress_exists|progress_date|progress_text|user_reply_count|first_user_reply_date|first_user_reply_text|entity_match_status|entity_match_score|entity_match_reason|source_page|collected_at|complaint_title_clean|complaint_text_clean|company_response_text_clean|progress_text_clean|complaint_char_count|complaint_word_count|title_char_count|title_word_count|company_response_char_count|company_response_word_count|progress_char_count|progress_word_count|complaint_text_missing_flag|complaint_title_missing_flag|complaint_text_very_short_flag|missing_text_flag|missing_title_flag|very_short_text_flag|complaint_text_possible_boilerplate_flag|complaint_text_html_artifact_flag|complaint_text_encoding_artifact_flag|collected_at_parsed|complaint_date|complaint_date_is_approximate|complaint_date_pattern|complaint_date_parse_failed_flag|date_parse_failed_flag|date_is_approximate_flag|complaint_date_future_flag|complaint_year|complaint_month|complaint_year_month|company_response_date_parsed|progress_date_parsed|view_count_numeric|support_count_numeric|user_reply_count_numeric|view_count_parse_failed_flag|company_response_exists_clean|progress_exists_clean|potential_pii_flag|potential_duplicate_flag|possible_duplicate_flag|hotel_name_master|area_master|google_rating|google_review_count|official_star_rating_verified|official_room_count|official_bed_count|search_price_usd_snapshot|hotel_name_mismatch_flag|area_mismatch_flag|hotel_metadata_mismatch_flag|exact_duplicate_cross_assignment_flag,3.0,100.0,100.0,33.33,100.0,0.0,0.0,Other Sikayetvar-related repository asset,,,,
data/processed/sikayetvar_complaints_severity.csv,csv,57262,2026-08-26T07:02:07.887147665,237.0,236.0,12.0,complaint_id|hotel_id|hotel_name|area|complaint_date_raw|company_response_exists_clean|aspect_count|matched_aspects|severity_tier|severity_high_keywords|severity_medium_keywords|severity_keyword_count,32.0,,,16.53,98.73,0.0,,Other Sikayetvar-related repository asset,,,,
data/processed/sikayetvar_hotel_nlp_features.csv,csv,9254,2026-08-26T07:02:07.887592077,33.0,32.0,33.0,hotel_id|hotel_name|area|complaint_n|aspect_AIR_CONDITIONING_mention_rate_pct|aspect_BEACH_SEA_mention_rate_pct|aspect_CHECKIN_CHECKOUT_mention_rate_pct|aspect_CLEANLINESS_HYGIENE_mention_rate_pct|aspect_FACILITIES_MAINTENANCE_mention_rate_pct|aspect_FAMILY_CHILDREN_mention_rate_pct|aspect_FOOD_BEVERAGE_mention_rate_pct|aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct|aspect_NOISE_mention_rate_pct|aspect_PAYMENT_REFUND_mention_rate_pct|aspect_POOL_mention_rate_pct|aspect_PRICE_VALUE_mention_rate_pct|aspect_RESERVATION_mention_rate_pct|aspect_ROOM_mention_rate_pct|aspect_SAFETY_SECURITY_mention_rate_pct|aspect_SPA_WELLNESS_mention_rate_pct|aspect_STAFF_SERVICE_mention_rate_pct|aspect_TRANSPORT_TRANSFER_mention_rate_pct|company_response_rate_in_corpus|median_response_time_days|median_complaint_word_count|median_view_count|google_rating|google_review_count|official_star_rating_verified|official_room_count|nlp_sample_tier|nlp_feature_reliability|small_n_flag,32.0,,,,,,,"NLP corpus, term, sample-readiness, or topic-gate output",,,,
data/raw/sikayetvar/sikayetvar_all_complaint_links.csv,csv,96538,2026-08-26T07:02:07.898370266,249.0,248.0,11.0,hotel_id|hotel_name|area|sikayetvar_company_name|source_page|complaint_url|canonical_complaint_url|discovered_page|discovered_at|entity_match_status|entity_match_score,34.0,100.0,,,,3.0,,Discovered complaint URL inventory,,,,
data/raw/sikayetvar/sikayetvar_all_hotels_complaints_raw.csv,csv,607800,2026-08-26T07:02:07.899802208,1345.0,248.0,30.0,complaint_id|complaint_url|canonical_complaint_url|hotel_id|hotel_name|area|sikayetvar_company_name|complaint_id.1|complaint_url.1|complaint_title|complaint_text|complaint_date_raw|view_count|support_count|category|product_name|company_response_exists|company_response_date|company_response_text|progress_exists|progress_date|progress_text|user_reply_count|first_user_reply_date|first_user_reply_text|entity_match_status|entity_match_score|entity_match_reason|source_page|collected_at,34.0,100.0,97.18,17.34,98.79,3.0,7.0,Raw complaint detail records; one row per hotel assignment and complaint URL,,,,
data/raw/sikayetvar/sikayetvar_all_hotels_replies_raw.csv,csv,126410,2026-08-26T07:02:07.903607368,767.0,97.0,8.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|reply_order|reply_author_type|reply_date_raw|reply_text,20.0,,,42.27,100.0,35.0,,Raw reply records linked to complaint URLs,,,,
