hotel_id,hotel_name,area,google_review_n,google_mean_rating,google_low_share,google_high_share,google_sample_support,sikayetvar_complaint_n,sikayetvar_page_status,sikayetvar_top_aspects,sikayetvar_company_reply_visibility_pct,complaint_visibility_per_1000_google_reviews,visibility_support_flag,hotel_is_supported_common
BOD016,Xanadu Island,Akyarlar,10,3.8,0.3,0.7,LOW_SUPPORT,4,VISIBLE_COMPLAINTS,STAFF_SERVICE:100.0%|MANAGEMENT_COMMUNICATION:75.0%|ROOM:75.0%,100.0,1.9342359767891684,MODERATE_DENOMINATOR,False
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,10,4.5,0.1,0.9,LOW_SUPPORT,4,VISIBLE_COMPLAINTS,PAYMENT_REFUND:100.0%|CLEANLINESS_HYGIENE:75.0%|PRICE_VALUE:50.0%,0.0,4.716981132075471,LOW_DENOMINATOR,False
BOD058,Bodrum Beach Resort,Gümbet,10,4.4,0.1,0.8,LOW_SUPPORT,3,VISIBLE_COMPLAINTS,PAYMENT_REFUND:66.7%|RESERVATION:66.7%|MANAGEMENT_COMMUNICATION:33.3%,0.0,1.7878426698450536,MODERATE_DENOMINATOR,False
BOD061,Gümbet Anıl Beach,Gümbet,65,4.0,0.154,0.708,STRONGER,2,VISIBLE_COMPLAINTS,BEACH_SEA:100.0%|FAMILY_CHILDREN:100.0%|FOOD_BEVERAGE:100.0%,0.0,1.343183344526528,MODERATE_DENOMINATOR,False
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,40,4.6,0.075,0.875,MODERATE,2,VISIBLE_COMPLAINTS,FACILITIES_MAINTENANCE:100.0%|STAFF_SERVICE:100.0%|FOOD_BEVERAGE:50.0%,0.0,0.7331378299120235,STRONGER_DENOMINATOR,False
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,10,3.8,0.3,0.7,LOW_SUPPORT,2,VISIBLE_COMPLAINTS,FACILITIES_MAINTENANCE:100.0%|PAYMENT_REFUND:100.0%|ROOM:100.0%,0.0,7.751937984496124,LOW_DENOMINATOR,False
BOD060,Club Shark Hotel,Gümbet,78,4.307692307692308,0.141,0.846,STRONGER,1,VISIBLE_COMPLAINTS,MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.889679715302491,MODERATE_DENOMINATOR,False
BOD032,Paloma Family Club Bitez,Bitez,60,4.583333333333333,0.033,0.917,STRONGER,1,VISIBLE_COMPLAINTS,CLEANLINESS_HYGIENE:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.8326394671107411,MODERATE_DENOMINATOR,False
BOD063,Jasmin Beach Hotel,Gümbet,30,3.7666666666666666,0.267,0.633,MODERATE,1,VISIBLE_COMPLAINTS,FAMILY_CHILDREN:100.0%|MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%,100.0,0.4291845493562231,STRONGER_DENOMINATOR,False
BOD010,Mare Garden Hotel,Akyarlar,10,3.2,0.3,0.5,LOW_SUPPORT,1,VISIBLE_COMPLAINTS,PRICE_VALUE:100.0%,0.0,3.472222222222222,LOW_DENOMINATOR,False
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,43,4.116279069767442,0.163,0.721,MODERATE,0,VALIDATED_PAGE_ONLY_REVIEW_REQUIRED_COMPLAINTS,,,,LOW_DENOMINATOR,False
BOD105,İsolina Hotel,Güvercinlik,42,4.380952380952381,0.143,0.833,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD064,Jasmin Elite Residence & Spa,Gümbet,29,3.793103448275862,0.276,0.69,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,21,4.523809523809524,0.048,0.857,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD088,Baia Bodrum Hotel,Gündoğan,20,3.7,0.25,0.65,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,MODERATE_DENOMINATOR,False
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,20,4.6,0.05,0.95,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD150,Samara Hotel,Torba,20,3.7,0.2,0.7,MODERATE,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,STRONGER_DENOMINATOR,False
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,20,4.1,0.15,0.7,MODERATE,0,VALIDATED_PAGE_ONLY_REVIEW_REQUIRED_COMPLAINTS,,,,LOW_DENOMINATOR,False
BOD031,Okaliptus Otel,Bitez,10,3.5,0.4,0.6,LOW_SUPPORT,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD095,Mivara Luxury Bodrum,Gündoğan,10,3.9,0.2,0.7,LOW_SUPPORT,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,10,4.6,0.1,0.9,LOW_SUPPORT,0,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,,,0.0,LOW_DENOMINATOR,False
