hotel_id,hotel_name,area,master_google_review_count,sample_text_review_n,low_n,mixed_n,high_n,general_nlp_ready,positive_driver_ready,negative_driver_ready,full_driver_ready,sample_review_n,sample_fraction_of_master_reviews
BOD053,Gölköy Suites,Göltürkbükü,212,0,0,0,0,False,False,False,False,0,0.0
BOD005,ByAkkan,Akyarlar,203,0,0,0,0,False,False,False,False,0,0.0
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,201,0,0,0,0,False,False,False,False,0,0.0
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,194,0,0,0,0,False,False,False,False,0,0.0
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,190,0,0,0,0,False,False,False,False,0,0.0
BOD147,Omar Hotel & Suites,Torba,174,0,0,0,0,False,False,False,False,0,0.0
BOD080,Myndos Oda & kahvalti,Gümüşlük,171,0,0,0,0,False,False,False,False,0,0.0
BOD099,Villa Oliva Butik Otel,Gündoğan,168,0,0,0,0,False,False,False,False,0,0.0
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,157,0,0,0,0,False,False,False,False,0,0.0
BOD096,Olira Boutique Hotel&SPA,Gündoğan,149,0,0,0,0,False,False,False,False,0,0.0
BOD146,Olivia Hotel,Torba,144,0,0,0,0,False,False,False,False,0,0.0
BOD083,Oza butik hotel,Gümüşlük,143,0,0,0,0,False,False,False,False,0,0.0
BOD054,Lavinya Maison,Göltürkbükü,139,0,0,0,0,False,False,False,False,0,0.0
BOD001,Aksoy Taş Ev,Akyarlar,135,0,0,0,0,False,False,False,False,0,0.0
BOD165,Caja by Maxx Royal,Türkbükü,135,0,0,0,0,False,False,False,False,0,0.0
BOD027,Meis Apart Hotel,Bitez,134,0,0,0,0,False,False,False,False,0,0.0
BOD134,Yakamoz Otel,Ortakent-Yahşi,133,0,0,0,0,False,False,False,False,0,0.0
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,132,0,0,0,0,False,False,False,False,0,0.0
BOD121,Eskiyalı Otel,Ortakent-Yahşi,130,0,0,0,0,False,False,False,False,0,0.0
BOD176,Blue Point Yalikavak,Yalıkavak,129,0,0,0,0,False,False,False,False,0,0.0
BOD093,Malta Bodrum Hotel,Gündoğan,127,0,0,0,0,False,False,False,False,0,0.0
BOD122,Florida Otel,Ortakent-Yahşi,127,0,0,0,0,False,False,False,False,0,0.0
BOD190,The Sign Highlight Hotel,Yalıkavak,125,0,0,0,0,False,False,False,False,0,0.0
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,121,0,0,0,0,False,False,False,False,0,0.0
BOD144,Mira Suites,Torba,117,0,0,0,0,False,False,False,False,0,0.0
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,114,0,0,0,0,False,False,False,False,0,0.0
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,114,0,0,0,0,False,False,False,False,0,0.0
BOD123,Hotel Marma Beach,Ortakent-Yahşi,112,0,0,0,0,False,False,False,False,0,0.0
BOD044,Noa Suite Hotel,Bodrum Merkez,98,0,0,0,0,False,False,False,False,0,0.0
BOD118,Amfora Hotel,Ortakent-Yahşi,86,0,0,0,0,False,False,False,False,0,0.0
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,85,0,0,0,0,False,False,False,False,0,0.0
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,79,0,0,0,0,False,False,False,False,0,0.0
BOD097,OLİVE TREE HOTEL,Gündoğan,79,0,0,0,0,False,False,False,False,0,0.0
BOD137,Armagan Apart Hotel,Torba,78,0,0,0,0,False,False,False,False,0,0.0
