metric,n,mean,median,minimum,minimum_period,maximum,maximum_period
domestic_arrivals,17,2149603.0588235296,1995354.0,1087027.0,2009,4447019.0,2025
foreign_arrivals,17,2649289.705882353,2758896.0,795698.0,2020,4682848.0,2025
total_arrivals,17,4798892.764705882,4636526.0,2309592.0,2020,9129867.0,2025
total_overnights,17,16907384.88235294,18310720.0,6488801.0,2020,24669490.0,2025
derived_avg_stay_nights_recalculated,17,3.573431704839877,3.4137625367561437,2.668135287049179,2021,4.59108939644597,2009
occupancy_rate_pct,17,25.28235294117647,26.5,10.2,2020,34.3,2014
derived_foreign_arrival_share_pct_recalculated,17,54.67796810371381,58.53619110081913,34.451885874215016,2020,67.08196266575577,2009
