term,n,token_count,document_count,document_share_pct
resmi özür,2,6,6,2.6200873362445414
rezervasyon sırasında,2,6,6,2.6200873362445414
saat te,2,6,6,2.6200873362445414
te bulunan,2,6,6,2.6200873362445414
çıkış olacak,2,6,6,2.6200873362445414
ödediğimiz ücretin,2,6,6,2.6200873362445414
yaklaşık saat,2,7,5,2.183406113537118
açık büfe,2,6,5,2.183406113537118
hiçbir çözüm,2,6,5,2.183406113537118
olmak üzere,2,6,5,2.183406113537118
restoranda yemek,2,6,5,2.183406113537118
vale hizmeti,2,6,5,2.183406113537118
acilen gözden,2,5,5,2.183406113537118
alınmasını istiyorum,2,5,5,2.183406113537118
beklemek kaldık,2,5,5,2.183406113537118
bizzat şahit,2,5,5,2.183406113537118
dahil konseptiyle,2,5,5,2.183406113537118
derece hayal,2,5,5,2.183406113537118
etmek kaldık,2,5,5,2.183406113537118
gelmemesi gerekli,2,5,5,2.183406113537118
genel hijyen,2,5,5,2.183406113537118
genel memnun,2,5,5,2.183406113537118
gerekli adımların,2,5,5,2.183406113537118
gerektiği söylendi,2,5,5,2.183406113537118
giriş yaptığımızda,2,5,5,2.183406113537118
günü saat,2,5,5,2.183406113537118
hijyen seviyesi,2,5,5,2.183406113537118
iyileştirmelerin yapılmasını,2,5,5,2.183406113537118
kendimizi misafir,2,5,5,2.183406113537118
mağduriyetimin giderilmesini,2,5,5,2.183406113537118
memnun kalmadık,2,5,5,2.183406113537118
memnun kalmadım,2,5,5,2.183406113537118
misafirlerin başına,2,5,5,2.183406113537118
müşteri ilişkileri,2,5,5,2.183406113537118
müşteri ilişkilerine,2,5,5,2.183406113537118
oda derece,2,5,5,2.183406113537118
otelden çıkış,2,5,5,2.183406113537118
personel sayısı,2,5,5,2.183406113537118
satın aldık,2,5,5,2.183406113537118
satın aldım,2,5,5,2.183406113537118
sık sık,2,5,5,2.183406113537118
tam anlamıyla,2,5,5,2.183406113537118
telafi edilmesini,2,5,5,2.183406113537118
temizlik konusunda,2,5,5,2.183406113537118
turizm bakanlığı,2,5,5,2.183406113537118
yaptığımız günden,2,5,5,2.183406113537118
yaşadığım olumsuz,2,5,5,2.183406113537118
yemek yemek,2,5,5,2.183406113537118
yemeklerin kalitesi,2,5,5,2.183406113537118
yer alan,2,5,5,2.183406113537118
zaman kaybı,2,5,5,2.183406113537118
çoğu zaman,2,5,5,2.183406113537118
ödediğim ücretin,2,5,5,2.183406113537118
ücretin iadesini,2,5,5,2.183406113537118
şahit olduk,2,5,5,2.183406113537118
şahit oldum,2,5,5,2.183406113537118
snack barda,2,7,4,1.7467248908296944
akşam yemeğinde,2,6,4,1.7467248908296944
aradığımda kez,2,6,4,1.7467248908296944
manzaralı oda,2,6,4,1.7467248908296944
öğle yemeği,2,6,4,1.7467248908296944
aksi halde,2,5,4,1.7467248908296944
hijyen hizmet,2,5,4,1.7467248908296944
net açıklama,2,5,4,1.7467248908296944
plaj havuz,2,5,4,1.7467248908296944
yaklaşık dakika,2,5,4,1.7467248908296944
yardımcı olmadılar,2,5,4,1.7467248908296944
ödediğimiz ücret,2,5,4,1.7467248908296944
alakart restoranda,2,4,4,1.7467248908296944
alamadığımı düşünüyorum,2,4,4,1.7467248908296944
an önce,2,4,4,1.7467248908296944
asla kabul,2,4,4,1.7467248908296944
azur by,2,4,4,1.7467248908296944
açık net,2,4,4,1.7467248908296944
ağustos tarihlerinde,2,4,4,1.7467248908296944
beklentimizin altında,2,4,4,1.7467248908296944
benzer durumların,2,4,4,1.7467248908296944
bilgilendirme yapılmasını,2,4,4,1.7467248908296944
ciddiyetle ele,2,4,4,1.7467248908296944
diğer misafirlerin,2,4,4,1.7467248908296944
diğer otellerde,2,4,4,1.7467248908296944
dönüş alamadım,2,4,4,1.7467248908296944
fark ettim,2,4,4,1.7467248908296944
gerekli iyileştirmelerin,2,4,4,1.7467248908296944
gerektiğini düşünüyorum,2,4,4,1.7467248908296944
giderilmesini rica,2,4,4,1.7467248908296944
giriş yapmadan,2,4,4,1.7467248908296944
giriş yaptıktan,2,4,4,1.7467248908296944
giriş çıkış,2,4,4,1.7467248908296944
günden itibaren,2,4,4,1.7467248908296944
hak etmeyen,2,4,4,1.7467248908296944
hizmet kalitesinin,2,4,4,1.7467248908296944
hiçbir yardımcı,2,4,4,1.7467248908296944
ifade etti,2,4,4,1.7467248908296944
iki kez,2,4,4,1.7467248908296944
ikinci kez,2,4,4,1.7467248908296944
kısmi iade,2,4,4,1.7467248908296944
la blanch,2,4,4,1.7467248908296944
la otelinde,2,4,4,1.7467248908296944
mağduriyetimizin giderilmesini,2,4,4,1.7467248908296944
misafir memnuniyetine,2,4,4,1.7467248908296944
misafir memnuniyetini,2,4,4,1.7467248908296944
misafirlerin benzer,2,4,4,1.7467248908296944
neredeyse aynı,2,4,4,1.7467248908296944
neredeyse hiçbir,2,4,4,1.7467248908296944
oda verildi,2,4,4,1.7467248908296944
odada kalmak,2,4,4,1.7467248908296944
odalar eski,2,4,4,1.7467248908296944
olay sonrası,2,4,4,1.7467248908296944
olumsuz deneyimin,2,4,4,1.7467248908296944
ortak alanlarda,2,4,4,1.7467248908296944
otelden ayrılmak,2,4,4,1.7467248908296944
para iadesi,2,4,4,1.7467248908296944
rahatsız oldum,2,4,4,1.7467248908296944
rezervasyon numaram,2,4,4,1.7467248908296944
rezervasyon yaptırmak,2,4,4,1.7467248908296944
rezervasyonu iptal,2,4,4,1.7467248908296944
rica ederiz,2,4,4,1.7467248908296944
saçma sapan,2,4,4,1.7467248908296944
somut çözüm,2,4,4,1.7467248908296944
sunulan hizmet,2,4,4,1.7467248908296944
sunulan yemekler,2,4,4,1.7467248908296944
sunulan yemeklerin,2,4,4,1.7467248908296944
