severity_tier,complaint_count,share_pct,company_response_count,company_response_rate_within_tier
HIGH,33,13.983050847457626,7,21.21212121212121
MEDIUM,132,55.932203389830505,20,15.151515151515152
BASELINE,71,30.084745762711865,12,16.901408450704224
