area,area_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag
Akyarlar,63,STAFF_SERVICE,46,73.01587301587301,False
Akyarlar,63,CLEANLINESS_HYGIENE,29,46.03174603174603,False
Akyarlar,63,FOOD_BEVERAGE,38,60.317460317460316,False
Akyarlar,63,ROOM,41,65.07936507936508,False
Akyarlar,63,BEACH_SEA,16,25.396825396825395,False
Akyarlar,63,POOL,12,19.047619047619047,False
Akyarlar,63,FACILITIES_MAINTENANCE,27,42.857142857142854,False
Akyarlar,63,RESERVATION,21,33.333333333333336,False
Akyarlar,63,PAYMENT_REFUND,28,44.44444444444444,False
Akyarlar,63,PRICE_VALUE,32,50.79365079365079,False
Akyarlar,63,CHECKIN_CHECKOUT,2,3.1746031746031744,False
Akyarlar,63,AIR_CONDITIONING,2,3.1746031746031744,False
Akyarlar,63,NOISE,3,4.761904761904762,False
Akyarlar,63,FAMILY_CHILDREN,18,28.571428571428573,False
Akyarlar,63,TRANSPORT_TRANSFER,2,3.1746031746031744,False
Akyarlar,63,MANAGEMENT_COMMUNICATION,36,57.142857142857146,False
Akyarlar,63,SPA_WELLNESS,6,9.523809523809524,False
Akyarlar,63,SAFETY_SECURITY,18,28.571428571428573,False
Bitez,16,STAFF_SERVICE,12,75.0,False
Bitez,16,CLEANLINESS_HYGIENE,13,81.25,False
Bitez,16,FOOD_BEVERAGE,8,50.0,False
Bitez,16,ROOM,14,87.5,False
Bitez,16,BEACH_SEA,6,37.5,False
Bitez,16,POOL,5,31.25,False
Bitez,16,FACILITIES_MAINTENANCE,7,43.75,False
Bitez,16,RESERVATION,6,37.5,False
Bitez,16,PAYMENT_REFUND,10,62.5,False
Bitez,16,PRICE_VALUE,12,75.0,False
Bitez,16,CHECKIN_CHECKOUT,0,0.0,False
Bitez,16,AIR_CONDITIONING,3,18.75,False
Bitez,16,NOISE,0,0.0,False
Bitez,16,FAMILY_CHILDREN,4,25.0,False
Bitez,16,TRANSPORT_TRANSFER,0,0.0,False
Bitez,16,MANAGEMENT_COMMUNICATION,10,62.5,False
Bitez,16,SPA_WELLNESS,3,18.75,False
Bitez,16,SAFETY_SECURITY,4,25.0,False
Bodrum Merkez,24,STAFF_SERVICE,19,79.16666666666667,False
Bodrum Merkez,24,CLEANLINESS_HYGIENE,15,62.5,False
Bodrum Merkez,24,FOOD_BEVERAGE,14,58.333333333333336,False
Bodrum Merkez,24,ROOM,17,70.83333333333333,False
Bodrum Merkez,24,BEACH_SEA,11,45.833333333333336,False
Bodrum Merkez,24,POOL,7,29.166666666666668,False
Bodrum Merkez,24,FACILITIES_MAINTENANCE,13,54.166666666666664,False
Bodrum Merkez,24,RESERVATION,6,25.0,False
Bodrum Merkez,24,PAYMENT_REFUND,11,45.833333333333336,False
Bodrum Merkez,24,PRICE_VALUE,8,33.333333333333336,False
Bodrum Merkez,24,CHECKIN_CHECKOUT,0,0.0,False
Bodrum Merkez,24,AIR_CONDITIONING,6,25.0,False
Bodrum Merkez,24,NOISE,0,0.0,False
Bodrum Merkez,24,FAMILY_CHILDREN,1,4.166666666666667,False
Bodrum Merkez,24,TRANSPORT_TRANSFER,3,12.5,False
Bodrum Merkez,24,MANAGEMENT_COMMUNICATION,11,45.833333333333336,False
Bodrum Merkez,24,SPA_WELLNESS,3,12.5,False
Bodrum Merkez,24,SAFETY_SECURITY,4,16.666666666666668,False
Göltürkbükü,2,STAFF_SERVICE,2,100.0,True
Göltürkbükü,2,CLEANLINESS_HYGIENE,0,0.0,True
Göltürkbükü,2,FOOD_BEVERAGE,1,50.0,True
Göltürkbükü,2,ROOM,0,0.0,True
Göltürkbükü,2,BEACH_SEA,0,0.0,True
Göltürkbükü,2,POOL,0,0.0,True
Göltürkbükü,2,FACILITIES_MAINTENANCE,2,100.0,True
Göltürkbükü,2,RESERVATION,1,50.0,True
Göltürkbükü,2,PAYMENT_REFUND,0,0.0,True
Göltürkbükü,2,PRICE_VALUE,1,50.0,True
Göltürkbükü,2,CHECKIN_CHECKOUT,0,0.0,True
Göltürkbükü,2,AIR_CONDITIONING,0,0.0,True
Göltürkbükü,2,NOISE,0,0.0,True
Göltürkbükü,2,FAMILY_CHILDREN,0,0.0,True
Göltürkbükü,2,TRANSPORT_TRANSFER,0,0.0,True
Göltürkbükü,2,MANAGEMENT_COMMUNICATION,1,50.0,True
Göltürkbükü,2,SPA_WELLNESS,0,0.0,True
Göltürkbükü,2,SAFETY_SECURITY,1,50.0,True
Gümbet,44,STAFF_SERVICE,26,59.09090909090909,False
Gümbet,44,CLEANLINESS_HYGIENE,15,34.09090909090909,False
Gümbet,44,FOOD_BEVERAGE,20,45.45454545454545,False
Gümbet,44,ROOM,23,52.27272727272727,False
Gümbet,44,BEACH_SEA,10,22.727272727272727,False
Gümbet,44,POOL,6,13.636363636363637,False
Gümbet,44,FACILITIES_MAINTENANCE,11,25.0,False
Gümbet,44,RESERVATION,27,61.36363636363637,False
Gümbet,44,PAYMENT_REFUND,17,38.63636363636363,False
Gümbet,44,PRICE_VALUE,11,25.0,False
Gümbet,44,CHECKIN_CHECKOUT,0,0.0,False
Gümbet,44,AIR_CONDITIONING,1,2.272727272727273,False
Gümbet,44,NOISE,2,4.545454545454546,False
Gümbet,44,FAMILY_CHILDREN,9,20.454545454545453,False
Gümbet,44,TRANSPORT_TRANSFER,5,11.363636363636363,False
Gümbet,44,MANAGEMENT_COMMUNICATION,29,65.9090909090909,False
Gümbet,44,SPA_WELLNESS,4,9.090909090909092,False
Gümbet,44,SAFETY_SECURITY,11,25.0,False
Gümüşlük,7,STAFF_SERVICE,1,14.285714285714286,True
Gümüşlük,7,CLEANLINESS_HYGIENE,2,28.571428571428573,True
Gümüşlük,7,FOOD_BEVERAGE,0,0.0,True
Gümüşlük,7,ROOM,4,57.142857142857146,True
Gümüşlük,7,BEACH_SEA,0,0.0,True
Gümüşlük,7,POOL,0,0.0,True
Gümüşlük,7,FACILITIES_MAINTENANCE,0,0.0,True
Gümüşlük,7,RESERVATION,7,100.0,True
