hotel_id,hotel_name,area,aspect,low_n,high_n,full_driver_ready,driver_gap_pp,driver_class
BOD068,Selectum Colours Bodrum,Gümbet,STAFF_SERVICE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,CLEANLINESS_HYGIENE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,FOOD_BEVERAGE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,ROOM,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,BEACH_SEA,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,POOL,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,FACILITIES_MAINTENANCE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,RESERVATION,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,PAYMENT_REFUND,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,PRICE_VALUE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,CHECKIN_CHECKOUT,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,AIR_CONDITIONING,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,NOISE,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,FAMILY_CHILDREN,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,TRANSPORT_TRANSFER,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,MANAGEMENT_COMMUNICATION,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,SPA_WELLNESS,2,7,False,,INSUFFICIENT_SAMPLE
BOD068,Selectum Colours Bodrum,Gümbet,SAFETY_SECURITY,2,7,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,STAFF_SERVICE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,CLEANLINESS_HYGIENE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FOOD_BEVERAGE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,ROOM,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,BEACH_SEA,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,POOL,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FACILITIES_MAINTENANCE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,RESERVATION,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,PAYMENT_REFUND,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,PRICE_VALUE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,CHECKIN_CHECKOUT,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,AIR_CONDITIONING,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,NOISE,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FAMILY_CHILDREN,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,TRANSPORT_TRANSFER,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,MANAGEMENT_COMMUNICATION,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,SPA_WELLNESS,5,4,False,,INSUFFICIENT_SAMPLE
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,SAFETY_SECURITY,5,4,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,STAFF_SERVICE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,CLEANLINESS_HYGIENE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,FOOD_BEVERAGE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,ROOM,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,BEACH_SEA,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,POOL,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,FACILITIES_MAINTENANCE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,RESERVATION,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,PAYMENT_REFUND,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,PRICE_VALUE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,CHECKIN_CHECKOUT,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,AIR_CONDITIONING,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,NOISE,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,FAMILY_CHILDREN,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,TRANSPORT_TRANSFER,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,MANAGEMENT_COMMUNICATION,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,SPA_WELLNESS,1,6,False,,INSUFFICIENT_SAMPLE
BOD106,La Blanche Island Bodrum,Güvercinlik,SAFETY_SECURITY,1,6,False,,INSUFFICIENT_SAMPLE
BOD012,Selectum Collection Bodrum,Akyarlar,STAFF_SERVICE,2,8,False,,INSUFFICIENT_SAMPLE
BOD012,Selectum Collection Bodrum,Akyarlar,CLEANLINESS_HYGIENE,2,8,False,,INSUFFICIENT_SAMPLE
