keyword,complaint_id,hotel_name,context_preview,review_status
iade,otelin-denizinin-kotu-olmasi-ve-haksiz-rezervasyon-kesintisi,Azure By Yelken Hotel,almamıza rağmen toplam tl ödediğimiz rezervasyondan tl lik gece kesinti yaparak iade gerçekleştirdi oysa bu kadar kısa sürede ayrılmamıza rağmen gece ücretinin kesi,TO_REVIEW
temizlik,azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,Azure By Yelken Hotel,diğimizde gördüğümüz yer arasında büyük fark vardı odamızda ve otelin genelinde temizlik ciddi anlamda yetersizdi çarşaflarımızı değiştirtmek için defalarca söylemek zo,TO_REVIEW
temizlik,bodrumda-yuksek-ucretle-karsilasilan-ciddi-hijyen-sorunlari,Azure By Yelken Hotel, genel olarak hijyen standartları kesinlikle yoktu yemeklerde de benzer şekilde temizlik ve kalite konusunda büyük sıkıntılar yaşadık tüm bu sorunları hem personele hem,TO_REVIEW
temizlik,otelin-hijyen-eksikligi-nedeniyle-ailecek-ciddi-saglik-sorunlari-yasadik,Azure By Yelken Hotel,arşaflar hiç değişmedi yere düşen bir şeftali günlerce alınmadı ve genel olarak temizlik yapılmadı yemekler midemize dokundu tatilimin bir günü boyunca sürekli kustum s,TO_REVIEW
temizlik,hijyen-eksikligi-ve-cozum-sunulmayan-otelde-magduriyet-yasadim,Azure By Yelken Hotel,ilen ikinci odada ise nevresimlerde kan lekeleri vardı ve oda yine çok kirliydi temizlik talep ettim ardından snack bar a indiğimde ise yerlerin yağlı olduğunu çalışanl,TO_REVIEW
muhatap,5-yildizli-otelde-temizlik-ve-ilgi-yok-odedigim-hizmetin-karsiligini-alamadim,Azure By Yelken Hotel,özellikle odalar oldukça eski ve kirliydi otelde yaşadığımız sorunları iletecek muhatap bulamadık hiçbir şekilde ilgilenilmedi ödediğimiz tutarı kesinlikle hak etmeyen,TO_REVIEW
muhatap,la-blanche-island-bodrum-oteldeki-personel-ilgisizligi-ve-sorumsuzluk,La Blanche Island Bodrum,ir oteldeki bu hoşgörüsüz tavırlar çok canımızı sıktı otelde sorununuzu çözecek muhatap dahi bulamıyorsunuz,TO_REVIEW
muhatap,ladonia-hotels-suit-oda-ucreti-iadesi-ve-musteri-hizmetleri-sorunu,Ladonia Hotels Zemda, yardımcı olamayacaklarını söylüyorlar ve somut bir çözüm sunulmuyor bu nedenle muhatap bulamıyor geri dönüş alamıyorum hem söz verilen suit oda ücret farkının ivedili,TO_REVIEW
muhatap,rezervasyon-iadesi-ve-saglik-kosullari-sorunu,Petunya Beach Resort, birçok kişi benimle aynı sorunu yaşamış şikayetlerini yazmışlar hiçbir şekilde muhatap bulamıyorum sözleşmeye göre bugün ödememin gelmesi gerekirdi o paraya ihtiyacım,TO_REVIEW
zehirlenme,azure-by-yelken-hotelde-zehirlenenler,Azure By Yelken Hotel,ikleri için ertesi sabah otelden ayrıldılar aynı gün tüm aile fertlerinde ciddi zehirlenme belirtileri başladı şu anda eşi ve çocukları datça da hastanede yatmakta abimin,TO_REVIEW
