rank_in_corpus,hotel_id,hotel_name,area,matched_complaint_count,first_complaint_date,last_complaint_date,median_complaint_word_count,median_view_count,complaints_with_replies,total_reply_count,median_reply_count,max_reply_count,company_response_count,response_date_available_n,median_response_time_days,median_company_response_word_count,google_rating,google_review_count,search_price_usd_snapshot,official_star_rating_verified,official_room_count,official_bed_count,share_of_corpus_pct,company_response_rate_in_corpus,reply_coverage_pct,cross_platform_complaint_visibility_per_1000_google_reviews,low_google_review_denominator_flag,small_n_flag,nlp_sample_tier
11,BOD045,Salmakis Resort & Spa,Bodrum Merkez,7,2024-09-09 14:09:00,2026-08-10 23:14:00,194.0,84.0,1,2,0.0,2,0,0,,,4.2,2681,142.0,,,,2.9661016949152543,0.0,14.285714285714285,2.6109660574412534,False,False,MEDIUM_SAMPLE
12,BOD113,Kadıkale Resort,Kadıkalesi,7,2024-07-10 11:15:00,2026-06-02 22:45:00,175.0,409.5,4,5,1.0,2,2,2,0.011458333333333333,32.5,4.0,2121,,5.0,197.0,406.0,2.9661016949152543,28.57142857142857,57.14285714285714,3.3003300330033003,False,False,MEDIUM_SAMPLE
13,BOD077,Ladonia Hotels Zemda,Gümüşlük,7,2026-07-06 14:50:00,2026-08-18 20:55:00,137.0,31.0,2,2,0.0,1,0,0,,,3.8,376,70.0,,,,2.9661016949152543,0.0,28.57142857142857,18.617021276595743,True,False,MEDIUM_SAMPLE
14,BOD067,Sami Beach Hotel,Gümbet,6,2024-09-05 15:22:00,2026-07-08 16:30:00,172.0,513.0,0,0,0.0,0,0,0,,,4.0,2089,128.0,,,,2.542372881355932,0.0,0.0,2.8721876495931067,False,False,MEDIUM_SAMPLE
15,BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,5,2026-04-28 10:10:00,2026-07-05 22:26:00,125.0,14.0,1,1,0.0,1,0,0,,,4.6,4656,,,,,2.1186440677966103,0.0,20.0,1.0738831615120277,False,False,MEDIUM_SAMPLE
16,BOD006,Club Marma Hotel,Akyarlar,5,2025-05-19 18:37:00,2025-05-23 09:32:00,75.0,849.0,0,0,0.0,0,0,0,,,4.3,1373,,,,,2.1186440677966103,0.0,0.0,3.641660597232338,False,False,MEDIUM_SAMPLE
17,BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,5,2024-06-10 10:15:00,2025-09-03 13:11:00,111.0,996.0,0,0,0.0,0,0,0,,,4.3,1764,169.0,4.0,173.0,346.0,2.1186440677966103,0.0,0.0,2.834467120181406,False,False,MEDIUM_SAMPLE
18,BOD012,Selectum Collection Bodrum,Akyarlar,4,2025-07-16 08:41:00,2026-07-27 00:01:00,236.0,475.0,1,1,0.0,1,0,0,,,4.5,6514,387.0,,,,1.694915254237288,0.0,25.0,0.6140620202640467,False,True,LOW_SAMPLE
19,BOD016,Xanadu Island,Akyarlar,4,2025-09-23 13:52:00,2026-05-26 21:28:00,237.5,41.0,4,5,1.0,2,4,3,9.708333333333334,105.0,4.6,2068,1301.0,,,,1.694915254237288,100.0,100.0,1.9342359767891684,False,True,LOW_SAMPLE
20,BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,4,2024-06-19 08:51:00,2026-07-17 15:22:00,59.5,322.0,0,0,0.0,0,0,0,,,4.2,848,426.0,,,,1.694915254237288,0.0,0.0,4.716981132075471,False,True,LOW_SAMPLE
21,BOD072,VERY CHIC BODRUM,Gümbet,3,2024-08-05 16:29:00,2026-07-17 12:59:00,125.0,1115.0,1,1,0.0,1,0,0,,,4.2,1670,241.0,5.0,149.0,298.0,1.271186440677966,0.0,33.33333333333333,1.7964071856287425,False,True,LOW_SAMPLE
22,BOD058,Bodrum Beach Resort,Gümbet,3,2024-04-13 19:10:00,2024-04-13 19:10:00,137.0,1264.0,2,3,1.0,2,0,0,,,3.7,1678,69.0,4.0,164.0,442.0,1.271186440677966,0.0,66.66666666666666,1.7878426698450536,False,True,LOW_SAMPLE
23,BOD061,Gümbet Anıl Beach,Gümbet,2,2025-07-20 23:50:00,2025-07-20 23:50:00,208.5,998.0,0,0,0.0,0,0,0,,,4.3,1489,150.0,,,,0.847457627118644,0.0,0.0,1.343183344526528,False,True,LOW_SAMPLE
24,BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,2,2025-06-16 00:01:00,2026-06-24 00:27:00,131.5,210.0,0,0,0.0,0,0,0,,,4.7,2728,1679.0,5.0,120.0,324.0,0.847457627118644,0.0,0.0,0.7331378299120235,False,True,LOW_SAMPLE
25,BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,2024-06-28 13:29:00,2025-07-05 23:42:00,149.0,309.0,1,1,0.5,1,0,0,,,4.3,258,110.0,,,,0.847457627118644,0.0,50.0,7.751937984496124,True,True,LOW_SAMPLE
26,BOD010,Mare Garden Hotel,Akyarlar,1,2024-11-12 19:38:00,2024-11-12 19:38:00,78.0,254.0,1,1,1.0,1,0,0,,,4.2,288,165.0,,,,0.423728813559322,0.0,100.0,3.472222222222222,True,True,LOW_SAMPLE
27,BOD158,Arin Resort Bodrum,Turgutreis,1,2025-06-27 11:39:00,2025-06-27 11:39:00,146.0,878.0,0,0,0.0,0,0,0,,,4.6,1691,,,,,0.423728813559322,0.0,0.0,0.5913660555884093,False,True,LOW_SAMPLE
28,BOD038,Casa Mare Bodrum,Bodrum Merkez,1,2025-07-23 17:53:00,2025-07-23 17:53:00,68.0,73.0,0,0,0.0,0,0,0,,,4.0,274,103.0,,,,0.423728813559322,0.0,0.0,3.6496350364963503,True,True,LOW_SAMPLE
29,BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,2026-07-27 13:35:00,2026-07-27 13:35:00,227.0,49.0,1,1,1.0,1,0,0,,,4.6,262,,,,,0.423728813559322,0.0,100.0,3.8167938931297707,True,True,LOW_SAMPLE
30,BOD023,Doria Hotel Bodrum,Bitez,1,2025-07-13 16:39:00,2025-07-13 16:39:00,161.0,111.0,0,0,0.0,0,0,0,,,4.4,774,171.0,5.0,92.0,184.0,0.423728813559322,0.0,0.0,1.2919896640826873,False,True,LOW_SAMPLE
31,BOD060,Club Shark Hotel,Gümbet,1,2025-09-16 14:52:00,2025-09-16 14:52:00,67.0,145.0,0,0,0.0,0,0,0,,,4.2,1124,111.0,4.0,105.0,210.0,0.423728813559322,0.0,0.0,0.889679715302491,False,True,LOW_SAMPLE
32,BOD069,Siesta Beach Apart,Gümbet,1,2026-06-29 12:44:00,2026-06-29 12:44:00,134.0,43.0,1,1,1.0,1,0,0,,,3.4,502,65.0,,,,0.423728813559322,0.0,100.0,1.9920318725099602,True,True,LOW_SAMPLE
