period,month,airport_total_index,tourism_total_index,total_index_gap,airport_international_index,tourism_foreign_index,international_foreign_gap,abs_total_gap,abs_international_foreign_gap
2025-01,Ocak,28.072253882041768,8.98843323785549,19.083820644186275,2.9304806982025116,0.9850415815332892,1.9454391166692222,19.083820644186275,1.9454391166692222
2025-02,Şubat,23.20550460877739,6.803560227109552,16.40194438166784,2.9042160269212878,0.7567189881029664,2.1474970388183214,16.40194438166784,2.1474970388183214
2025-03,Mart,29.740278693027054,10.438180534283797,19.302098158743256,3.7190774534212467,4.827062505552177,-1.10798505213093,19.302098158743256,1.10798505213093
2025-04,Nisan,58.17501661045249,41.48827140636331,16.686745204089178,37.2859839676069,51.0133149741354,-13.727331006528495,16.686745204089178,13.727331006528495
2025-05,Mayıs,110.44505135417111,78.91501595806379,31.530035396107323,128.1190665098082,105.04633077990147,23.072735729906725,31.530035396107323,23.072735729906725
2025-06,Haziran,166.41960223744834,109.59590101367304,56.8237012237753,200.48151897348907,129.81741025973938,70.6641087137497,56.8237012237753,70.6641087137497
2025-07,Temmuz,209.18347275840472,237.91628070814176,-28.732807949737037,234.12130995048014,212.2454540484765,21.87585590200365,28.732807949737037,21.87585590200365
2025-08,Ağustos,223.64775507355282,263.29067006123967,-39.64291498768685,250.5964816284096,241.43538291227904,9.161098716130567,39.64291498768685,9.161098716130567
2025-09,Eylül,174.14489028036994,213.8312858226741,-39.686395542304155,197.50704495089053,238.66322374759977,-41.15617879670924,39.686395542304155,41.15617879670924
2025-10,Ekim,112.9209831937572,148.3642204207356,-35.4432372269784,131.29446526770812,191.87272360751408,-60.578258339805956,35.4432372269784,60.578258339805956
2025-11,Kasım,33.85731417367871,44.87381908192091,-11.016504908242197,7.256928675002052,17.612615229023024,-10.355686554020973,11.016504908242197,10.355686554020973
2025-12,Aralık,30.187877134318512,35.49436152793901,-5.306484393620501,3.783425898060244,5.724721366142997,-1.9412954680827532,5.306484393620501,1.9412954680827532
