area,project_hotel_count,hotels_with_google_review_sample,hotels_general_nlp_ready,hotels_full_driver_ready,review_n,text_review_n,low_n,high_n
Akyarlar,16,1,0,0,10,10,2,8
Bitez,18,0,0,0,0,0,0,0
Bodrum Merkez,13,0,0,0,0,0,0,0
Göltürkbükü,10,0,0,0,0,0,0,0
Gümbet,15,1,0,0,10,10,2,7
Gümüşlük,15,0,0,0,0,0,0,0
Gündoğan,14,0,0,0,0,0,0,0
Güvercinlik,10,2,0,0,20,20,6,10
Kadıkalesi,4,0,0,0,0,0,0,0
Ortakent-Yahşi,21,0,0,0,0,0,0,0
Torba,21,0,0,0,0,0,0,0
Turgutreis,7,1,0,0,10,10,2,8
Türkbükü,6,0,0,0,0,0,0,0
Yalıkavak,22,0,0,0,0,0,0,0
