official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,mapped_project_area
OFFBOD038,ROYAL ASARLIK BEACH,5 YILDIZLI OTEL,5.0,349.0,698.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD039,SALMAKİS RESORT,5 YILDIZLI OTEL,5.0,212.0,424.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD042,SU OTELİ,5 YILDIZLI OTEL,5.0,99.0,198.0,KIYIKIŞLACIK MAH.,
OFFBOD047,VOYAGE BODRUM,5 YILDIZLI OTEL,5.0,150.0,300.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD048,XANADU PARADİSE ISLAND RESORT,5 YILDIZLI OTEL,5.0,222.0,608.0,TURGUTREİS MAH.,Turgutreis
OFFBOD049,VOYAGE GÖLTÜRKBÜKÜ,5 YILDIZLI OTEL,5.0,500.0,1098.0,GÖLKÖY MAHALLESİ,Göltürkbükü
OFFBOD050,YASMİN BODRUM RESORT HOTEL,5 YILDIZLI OTEL,5.0,484.0,968.0,PESİMET MAHALLESİ,Kadıkalesi
OFFBOD052,3 S BEACH CLUB,4 YILDIZLI OTEL,4.0,77.0,154.0,BİTEZ MAHALLESİ,Bitez
OFFBOD053,BUS BOSPORUS RESORT HOTEL & SPA,4 YILDIZLI OTEL,4.0,186.0,372.0,GÜNDOĞAN MAH.,Gündoğan
OFFBOD055,BODRUM GOLDEN BEACH OTEL,4 YILDIZLI OTEL,4.0,170.0,340.0,TURGUTREİS MAH.,Turgutreis
OFFBOD056,BODRUM HOLIDAY RESORT& SPA,4 YILDIZLI OTEL,4.0,882.0,2060.0,YALI MAHALLESİ,
OFFBOD057,CACTUS MİRAGE FAMİLY CLUB,4 YILDIZLI OTEL,4.0,151.0,374.0,DİRMİL MAH.,Yalıkavak
OFFBOD058,CACTUS FLEUR BEACH CLUB,4 YILDIZLI OTEL,4.0,137.0,328.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD061,CHARM BEACH HOTEL,4 YILDIZLI OTEL,4.0,112.0,236.0,TURGUTREİS MAH.,Turgutreis
OFFBOD063,DRAGUT POINT SOUTH HOTEL,4 YILDIZLI OTEL,4.0,84.0,168.0,TURGUTREİS MAH.,Turgutreis
OFFBOD064,DOUBLETREE BY HİLTON BODRUM MARİNA VİST,A4 YILDIZLI OTEL,4.0,87.0,176.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD065,FOREVER CLUB,4 YILDIZLI OTEL,4.0,210.0,420.0,KUMBAHÇE MAH.,Bodrum Merkez
OFFBOD066,GOLDEN AGE CRYSTAL BODRUM,4 YILDIZLI OTEL,4.0,167.0,354.0,GÜMÜŞLÜK MAH.,Gümüşlük
OFFBOD068,LATANYA BODRUM BEACH CLUB,4 YILDIZLI OTEL,4.0,239.0,542.0,YALI MAHALLESİ,
OFFBOD070,MANASTIR HOTEL& SUİTES,4 YILDIZLI OTEL,4.0,73.0,146.0,KUMBAHÇE MAH.,Bodrum Merkez
OFFBOD071,MIO BIANCO OTEL,4 YILDIZLI OTEL,4.0,130.0,287.0,AKYARLAR MAH.,Akyarlar
OFFBOD073,OTEL KARİA PRİNCESS,4 YILDIZLI OTEL,4.0,55.0,110.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD074,PARKIM AYAZ OTEL,4 YILDIZLI OTEL,4.0,237.0,474.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD077,RAMMOS HOTEL&BEACH,4 YILDIZLI OTEL,4.0,144.0,304.0,TURGUTREİS MAH.,Turgutreis
OFFBOD080,VOYAGE BODRUM PRIVATE,4 YILDIZLI OTEL,4.0,26.0,52.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD081,VOYAGE TÜRKBÜKÜ,4 YILDIZLI OTEL,4.0,47.0,94.0,GÖLTÜRKBÜKÜ,Türkbükü
OFFBOD082,WOXXIE HOTEL,4 YILDIZLI OTEL,4.0,152.0,306.0,AKYARLAR MAH.,Akyarlar
OFFBOD083,YELKEN MANDALİNCİ OTEL,4 YILDIZLI OTEL,4.0,96.0,218.0,TURGUTREİS MAH.,Turgutreis
OFFBOD085,ALVİN OTEL,3 YILDIZLI OTEL,3.0,29.0,58.0,ESKİÇEŞME MAH.,Bodrum Merkez
OFFBOD087,BODRUM BLUE BAY HOTEL,3 YILDIZLI OTEL,3.0,41.0,86.0,BİTEZ MAHALLESİ,Bitez
OFFBOD088,BODRUM EOS OTELİ,3 YILDIZLI OTEL,3.0,107.0,214.0,OMURÇA MAH.,Bodrum Merkez
OFFBOD089,CENNET PARK OTEL,3 YILDIZLI OTEL,3.0,44.0,92.0,GÜNDOĞAN MAH.,Gündoğan
