hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD066,MANAGEMENT_COMMUNICATION,20.0,10,50.0,50.0,55.55555555555556,18,False,BOTH_SOURCE_CONCERN
BOD067,MANAGEMENT_COMMUNICATION,11.9,59,100.0,71.4,83.33333333333333,6,False,SIKAYETVAR_ONLY
BOD068,MANAGEMENT_COMMUNICATION,11.1,9,0.0,100.0,77.77777777777777,9,False,SIKAYETVAR_ONLY
BOD077,MANAGEMENT_COMMUNICATION,30.0,20,100.0,0.0,100.0,7,False,BOTH_SOURCE_CONCERN
BOD088,MANAGEMENT_COMMUNICATION,,0,,,,0,,NO_SIGNAL
BOD095,MANAGEMENT_COMMUNICATION,10.0,10,100.0,0.0,,0,,NO_SIGNAL
BOD104,MANAGEMENT_COMMUNICATION,11.1,27,100.0,0.0,0.0,4,True,LOW_SUPPORT
BOD105,MANAGEMENT_COMMUNICATION,17.5,40,100.0,42.9,,0,,GOOGLE_GENERAL_ONLY
BOD106,MANAGEMENT_COMMUNICATION,9.1,11,0.0,0.0,42.10526315789474,19,False,SIKAYETVAR_ONLY
BOD107,MANAGEMENT_COMMUNICATION,20.0,10,50.0,50.0,25.0,4,True,LOW_SUPPORT
BOD108,MANAGEMENT_COMMUNICATION,11.1,9,100.0,100.0,33.333333333333336,15,False,SIKAYETVAR_ONLY
BOD109,MANAGEMENT_COMMUNICATION,16.3,43,50.0,85.7,,0,,GOOGLE_GENERAL_ONLY
BOD113,MANAGEMENT_COMMUNICATION,27.3,11,33.3,66.7,42.85714285714285,7,False,NO_SIGNAL
BOD120,MANAGEMENT_COMMUNICATION,10.0,10,100.0,0.0,50.0,2,True,LOW_SUPPORT
BOD126,MANAGEMENT_COMMUNICATION,11.1,9,0.0,100.0,,0,,NO_SIGNAL
BOD130,MANAGEMENT_COMMUNICATION,20.0,10,100.0,100.0,84.61538461538461,13,False,BOTH_SOURCE_CONCERN
BOD131,MANAGEMENT_COMMUNICATION,15.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD150,MANAGEMENT_COMMUNICATION,20.0,20,50.0,75.0,,0,,GOOGLE_GENERAL_ONLY
BOD153,MANAGEMENT_COMMUNICATION,10.0,10,0.0,100.0,50.0,10,False,SIKAYETVAR_ONLY
BOD161,MANAGEMENT_COMMUNICATION,40.0,10,100.0,0.0,57.142857142857146,28,False,BOTH_SOURCE_CONCERN
BOD168,MANAGEMENT_COMMUNICATION,15.8,19,33.3,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD002,CLEANLINESS_HYGIENE,50.0,10,40.0,100.0,12.5,8,False,GOOGLE_GENERAL_ONLY
