hotel_id,hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot,has_official_star_rating,has_price_snapshot
BOD069,Siesta Beach Apart,Gümbet,Resort Otel,3.4,502,65.0,False,True
BOD070,The Luvi Hotel,Gümbet,Otel,3.7,1226,121.0,False,True
BOD071,Tropicana Beach Hotel,Gümbet,Motel,4.3,281,87.0,False,True
BOD072,VERY CHIC BODRUM,Gümbet,Otel,4.2,1670,241.0,False,True
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,Doğa Köşkü,4.3,219,95.0,False,True
BOD074,Begonvil Gümüşlük,Gümüşlük,Kamping Bungalov,4.8,36,151.0,False,True
BOD075,Benjamin Otel,Gümüşlük,Otel,5.0,487,129.0,False,True
BOD076,Gümüşlük No3,Gümüşlük,Otel,5.0,52,,False,False
BOD077,Ladonia Hotels Zemda,Gümüşlük,Otel,3.8,376,70.0,False,True
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,Otel,4.8,411,134.0,False,True
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,Otel,4.2,362,89.0,False,True
BOD080,Myndos Oda & kahvalti,Gümüşlük,Oda Kahvaltı,4.2,171,113.0,False,True
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,Otel,4.5,276,63.0,False,True
BOD082,Otel Gümüşlük,Gümüşlük,Otel,4.5,442,110.0,False,True
BOD083,Oza butik hotel,Gümüşlük,Otel,4.7,143,109.0,False,True
BOD084,Paradise Garden Apartments,Gümüşlük,Apartments,4.7,55,,False,False
BOD085,Paradise Gümüşlük,Gümüşlük,Uzun Süreli Kalmaya Uygun Otel,4.5,37,81.0,False,True
BOD086,Vega Aparts,Gümüşlük,Otel,3.9,486,106.0,False,True
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,Otel,4.7,613,80.0,False,True
BOD088,Baia Bodrum Hotel,Gündoğan,Otel,4.3,1964,295.0,False,True
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,Otel,4.4,1351,292.0,False,True
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,Otel,4.5,690,177.0,False,True
BOD091,Gündoğan Suites,Gündoğan,Otel,4.9,67,197.0,False,True
BOD092,Liona Hotel,Gündoğan,Otel,4.3,307,109.0,False,True
BOD093,Malta Bodrum Hotel,Gündoğan,Otel,4.5,127,182.0,False,True
BOD094,Marje Villas,Gündoğan,Otel,5.0,33,417.0,False,True
BOD095,Mivara Luxury Bodrum,Gündoğan,Otel,4.7,606,210.0,False,True
BOD096,Olira Boutique Hotel&SPA,Gündoğan,Otel,4.5,149,292.0,False,True
BOD097,OLİVE TREE HOTEL,Gündoğan,Otel,4.7,79,118.0,False,True
BOD098,Swissôtel Living Bodrum,Gündoğan,Otel,4.5,371,281.0,False,True
BOD099,Villa Oliva Butik Otel,Gündoğan,Otel,4.8,168,123.0,False,True
BOD100,Villa Rustica Hotel,Gündoğan,Otel,4.7,243,145.0,False,True
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,Otel,4.4,365,119.0,False,True
BOD102,Akyalı Butik Hotel,Güvercinlik,Otel,3.9,353,103.0,False,True
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,Otel,4.5,6843,179.0,False,True
BOD104,Greenport Bodrum,Güvercinlik,Otel,3.2,1317,98.0,False,True
BOD105,İsolina Hotel,Güvercinlik,Otel,4.1,221,195.0,False,True
BOD106,La Blanche Island Bodrum,Güvercinlik,Otel,4.3,6594,289.0,False,True
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,Otel,4.2,848,426.0,False,True
BOD108,Lujo Hotel Bodrum,Güvercinlik,Otel,4.5,3189,,False,False
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,Otel,4.0,845,146.0,False,True
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,Otel,4.6,4656,,False,False
BOD111,Zena Hotel Bodrum,Güvercinlik,Otel,4.3,373,129.0,False,True
BOD112,Azure By Yelken Hotel,Kadıkalesi,Otel,4.4,565,962.0,False,True
BOD113,Kadıkale Resort,Kadıkalesi,Konaklama Tesisi,4.0,2121,,False,False
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,Otel,4.5,3245,343.0,False,True
