hotel_name,hotel_n,term,tfidf_score,document_count,rank
Selectum Colours Bodrum,8,bey,0.07045798970050536,3,1
Selectum Colours Bodrum,8,balayı,0.06369755650823455,2,2
Selectum Colours Bodrum,8,iki,0.059907044775883864,3,3
Selectum Colours Bodrum,8,adet,0.05323295308653153,1,4
Selectum Colours Bodrum,8,çıktı,0.051280427098534094,3,5
Selectum Colours Bodrum,8,tane,0.051222964337619074,1,6
Selectum Colours Bodrum,8,restoran,0.049428600670424996,3,7
Selectum Colours Bodrum,8,böcek,0.046909693364896414,2,8
Selectum Colours Bodrum,8,kendilerinin,0.046112986452217564,2,9
Selectum Colours Bodrum,8,odada,0.04204083986649462,5,10
The Oba Hotel,10,erken,0.06922117829397063,3,1
The Oba Hotel,10,parayı,0.06382297131317197,4,2
The Oba Hotel,10,rezervasyon,0.058083802084410066,5,3
The Oba Hotel,10,ödeme,0.053486610727493486,4,4
The Oba Hotel,10,iade,0.052851171141807984,3,5
The Oba Hotel,10,geliyor,0.05280154049117723,3,6
The Oba Hotel,10,bayanlar,0.048092772779962746,3,7
The Oba Hotel,10,banyo,0.04243762077244588,2,8
The Oba Hotel,10,akşam,0.03766191663533709,3,9
The Oba Hotel,10,hak,0.03687202852605796,3,10
Titanic Luxury Collection Bodrum,5,beklerdim,0.0826844862317471,2,1
Titanic Luxury Collection Bodrum,5,numaram,0.08075184108610345,2,2
Titanic Luxury Collection Bodrum,5,dönüş,0.07491876811125986,2,3
Titanic Luxury Collection Bodrum,5,sebebiyle,0.06864357781278893,3,4
Titanic Luxury Collection Bodrum,5,merdiven,0.06735871114009137,1,5
Titanic Luxury Collection Bodrum,5,sağlık,0.06705043324083854,2,6
Titanic Luxury Collection Bodrum,5,yapılacağı söylendi,0.06413661224696392,2,7
Titanic Luxury Collection Bodrum,5,talebinde,0.06413661224696392,2,8
Titanic Luxury Collection Bodrum,5,geri dönüş,0.06313391808524457,2,9
Titanic Luxury Collection Bodrum,5,kullanım,0.06171491926291689,2,10
Yasmin Bodrum Resort,21,jolly,0.04938945000094194,5,1
Yasmin Bodrum Resort,21,yok,0.045450871837757485,9,2
Yasmin Bodrum Resort,21,jolly tur,0.03756299235725744,4,3
Yasmin Bodrum Resort,21,sıfır,0.03373555396250845,4,4
Yasmin Bodrum Resort,21,tur,0.03341468334973475,4,5
Yasmin Bodrum Resort,21,yıl,0.03279162476397183,4,6
Yasmin Bodrum Resort,21,in,0.03226114705463702,4,7
Yasmin Bodrum Resort,21,saat,0.030717943995915088,8,8
Yasmin Bodrum Resort,21,sanki,0.030484682076284502,3,9
Yasmin Bodrum Resort,21,değil,0.028571588560610327,5,10
