hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD023,Doria Hotel Bodrum,Bitez,Doria Hotel Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/doria-hotel-bodrum,True,1.0,1,1,1,0,1,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:28:45.321248+00:00
BOD024,HAKAN OTEL,Bitez,Hakan Peugeot,REVIEW_REQUIRED,0.487,https://www.sikayetvar.com/hakan-peugeot,True,4.0,0,0,0,0,0,0,related_slug,score=0.487 name_sim=0.6957 bodrum=False area=False method=related_slug,True,2026-08-25T12:28:54.782190+00:00
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:29:07.404513+00:00
BOD026,Manuela Otel Bitez,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:29:16.514637+00:00
BOD027,Meis Apart Hotel,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:29:27.358232+00:00
BOD028,Mira Beach Resort Bodrum,Bitez,Amilla Beach Resort | Bodrum,REVIEW_REQUIRED,0.7722,https://www.sikayetvar.com/amilla-beach-resort-bodrum,True,3.0,0,0,0,0,0,0,search_fallback,score=0.7722 name_sim=0.8889 bodrum=True area=False method=search_fallback,True,2026-08-25T12:29:36.768959+00:00
BOD029,Mumu Bodrum Hotel,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:29:45.764749+00:00
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:29:53.089583+00:00
BOD031,Okaliptus Otel,Bitez,Okaliptus Otel,PAGE_FOUND_NO_COMPLAINT,0.7,https://www.sikayetvar.com/okaliptus-otel,True,0.0,0,0,0,0,0,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,True,2026-08-25T12:30:00.651139+00:00
BOD032,Paloma Family Club Bitez,Bitez,Paloma Family Club,REVIEW_REQUIRED,0.6,https://www.sikayetvar.com/paloma-family-club,True,1.0,0,0,0,0,0,0,search_fallback,score=0.6 name_sim=0.8571 bodrum=False area=False method=search_fallback,True,2026-08-25T12:30:11.988597+00:00
