area,hotel_count,found_exact,found_high_confidence,review_required,ambiguous,not_found,page_found_no_complaint
Akyarlar,16,5,0,3,0,7,1
Bitez,18,1,0,5,0,10,2
Bodrum Merkez,13,3,0,5,0,4,1
Göltürkbükü,10,1,0,1,0,7,1
Gümbet,15,6,0,5,0,4,0
Gümüşlük,15,1,0,4,0,10,0
Gündoğan,14,0,0,4,1,9,0
Güvercinlik,10,5,0,2,0,2,1
Kadıkalesi,4,3,0,0,0,1,0
Ortakent-Yahşi,21,3,0,5,0,11,2
Torba,21,1,0,5,0,13,2
Turgutreis,7,1,1,2,0,3,0
Türkbükü,6,1,0,0,0,5,0
Yalıkavak,22,0,0,2,0,18,2
