hotel_id,hotel_name,official_facility_id,official_name,match_score,match_method,official_type,official_star_rating,room_count,bed_count
BOD148,Rixos Premium Bodrum,OFFBOD012,RİXOS OTEL,0.95,phone_exact,B-TİPİ TATİL KÖYÜ,5.0,348.0,844.0
BOD150,Samara Hotel,OFFBOD040,SAMARA OTELİ,0.95,phone_exact,5 YILDIZLI OTEL,5.0,339.0,696.0
BOD151,Sarpedor Boutique Hotel & SPA,OFFBOD163,SARPEDOR BOUTIQUE HOTEL &SPA,1.0,phone_exact,BUTİK OTEL,4.0,32.0,70.0
BOD152,"Susona Bodrum, LXR Hotels & Resorts",OFFBOD044,SUSONA BODRUM LXR HOTELS & RESORTS,1.0,phone_exact,5 YILDIZLI OTEL,5.0,76.0,250.0
BOD156,Voyage Torba,OFFBOD016,VOYAGE TORBA,1.0,phone_exact,5 YILDIZLI T.K.,5.0,320.0,784.0
BOD160,La Blanche Resort Bodrum,OFFBOD030,LA BLANCHE OTEL,0.95,phone_exact,5 YILDIZLI OTEL,5.0,358.0,1002.0
BOD161,MyElla Hotel Resort & Spa,OFFBOD027,KAİRABA BODRUM PRINCESS HOTEL,0.95,phone_exact,5 YILDIZLI OTEL,5.0,258.0,516.0
BOD163,Sundance Resort,OFFBOD043,SUNDANCE RESORT OTEL,0.95,phone_exact,5 YILDIZLI OTEL,5.0,183.0,396.0
BOD164,Swissôtel Resort Bodrum Sahili,OFFBOD162,SWISOTEL RESORT BODRUM BEACH,0.95,phone_exact,BUTİK OTEL,5.0,60.0,120.0
BOD165,Caja by Maxx Royal,OFFBOD059,CAJA BY MAXX ROYAL,0.8,name_exact,4 YILDIZLI OTEL,4.0,22.0,76.0
BOD175,Avantgarde Refined Hotel | Yalıkavak,OFFBOD148,AVANTGARDE MEJOR COSTA YALIKAVAK OTEL,0.95,phone_exact,BUTİK OTEL,,31.0,62.0
BOD186,Sirene Luxury Hotel Bodrum,OFFBOD041,SİRENE LUXURY BODRUM,0.95,phone_exact,5 YILDIZLI OTEL,5.0,109.0,290.0
BOD189,The Bodrum EDITION,OFFBOD045,THE BODRUM EDITION,0.8,name_exact,5 YILDIZLI OTEL,5.0,108.0,224.0
