hotel_name,review_n,mean_review_rating,median_review_rating,low_share_pct,mixed_share_pct,high_share_pct
Green Bay Resort & Spa Bodrum,134,3.3805970149253732,4.0,31.343283582089555,16.417910447761194,52.23880597014925
Selectum Colours Bodrum,33,4.636363636363637,5.0,6.0606060606060606,3.0303030303030303,90.9090909090909
La Blanche Resort Bodrum,30,4.466666666666667,5.0,10.0,0.0,90.0
La Blanche Island Bodrum,21,4.333333333333333,5.0,4.761904761904762,19.047619047619047,76.19047619047619
Selectum Collection Bodrum,18,4.111111111111111,5.0,22.22222222222222,0.0,77.77777777777779
