duplicate_type,duplicate_key,row_index,complaint_id,canonical_complaint_url,hotel_id,hotel_name,entity_match_status,occurrence_rank
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,235,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,236,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,237,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,238,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,242,selectum-collection-hotel-bodrum-sorun-yasama,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
canonical_complaint_url,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,243,selectum-collection-hotel-bodrum-sorun-yasama,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
complaint_id,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,235,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
complaint_id,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,236,selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,https://www.sikayetvar.com/selectum-hotels/selectum-collection-bodrumda-valesiz-giris-ve-koordinasyon-sorunlari,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
complaint_id,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,237,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
complaint_id,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,238,selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,https://www.sikayetvar.com/selectum-hotels/selectum-hotels-odalar-eski-temizlik-yetersiz-yemek-kalitesi-dusuk-ve-yerli-misafirlere-ayrimcilik,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
complaint_id,selectum-collection-hotel-bodrum-sorun-yasama,242,selectum-collection-hotel-bodrum-sorun-yasama,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,BOD068,Selectum Colours Bodrum,COMPLAINT_REVIEW_REQUIRED,1
complaint_id,selectum-collection-hotel-bodrum-sorun-yasama,243,selectum-collection-hotel-bodrum-sorun-yasama,https://www.sikayetvar.com/selectum-hotels/selectum-collection-hotel-bodrum-sorun-yasama,BOD012,Selectum Collection Bodrum,COMPLAINT_MATCHED,2
