aspect,complaint_count,mention_rate_pct,unique_hotel_count,unique_area_count,company_response_count,company_response_rate_within_aspect,median_view_count,median_complaint_word_count
STAFF_SERVICE,160,67.51054852320675,28,11,29,18.125,660.0,165.0
ROOM,143,60.33755274261603,27,10,26,18.181818181818183,878.0,166.0
MANAGEMENT_COMMUNICATION,141,59.49367088607595,28,11,24,17.02127659574468,547.0,161.0
PAYMENT_REFUND,123,51.89873417721519,27,10,19,15.447154471544716,836.0,159.0
FOOD_BEVERAGE,123,51.89873417721519,26,9,22,17.88617886178862,874.0,184.0
PRICE_VALUE,114,48.10126582278481,27,11,23,20.17543859649123,593.0,161.5
CLEANLINESS_HYGIENE,107,45.14767932489451,22,9,15,14.018691588785046,836.0,167.0
RESERVATION,95,40.08438818565401,24,10,19,20.0,783.0,154.0
FACILITIES_MAINTENANCE,92,38.81856540084388,23,9,16,17.391304347826086,597.0,170.0
BEACH_SEA,71,29.957805907172997,21,8,15,21.12676056338028,976.0,175.0
FAMILY_CHILDREN,54,22.78481012658228,17,7,8,14.814814814814815,1406.0,163.0
SAFETY_SECURITY,52,21.940928270042193,19,11,11,21.153846153846153,879.0,191.5
POOL,40,16.877637130801688,14,7,7,17.5,1707.0,196.5
AIR_CONDITIONING,19,8.016877637130802,11,6,2,10.526315789473685,937.0,146.0
TRANSPORT_TRANSFER,14,5.9071729957805905,11,6,2,14.285714285714286,388.0,161.0
SPA_WELLNESS,14,5.9071729957805905,9,7,1,7.142857142857143,597.0,187.0
NOISE,13,5.485232067510548,9,6,3,23.076923076923077,1738.0,178.0
CHECKIN_CHECKOUT,4,1.6877637130801688,4,2,3,75.0,2732.0,271.5
