match_status,hotel_count,share_pct
NOT_FOUND,104,54.166666666666664
REVIEW_REQUIRED,43,22.395833333333332
FOUND_EXACT,31,16.145833333333332
PAGE_FOUND_NO_COMPLAINT,12,6.25
AMBIGUOUS,1,0.5208333333333334
FOUND_HIGH_CONFIDENCE,1,0.5208333333333334
