area,archetype,quality_index,popularity_index,luxury_index,value_index,supply_capacity_index,score_confidence,coverage_flag
Akyarlar,High Popularity,89.61335756451986,68.77186038900844,6.091549295774647,84.6540966226355,37.72625131555244,medium,LOW
Bitez,Capacity-Heavy Resort Area,35.03752137707637,22.90162963489517,39.79577464788733,64.52580294205931,55.50921053509491,medium,LOW
Bodrum Merkez,Balanced,39.57972786232626,46.662610917038634,36.436619718309856,62.39549773398004,34.2567747658343,medium,LOW
Göltürkbükü,Value-Oriented,99.61391534650257,10.259542448377829,23.48826291079812,92.8820750441433,19.16698008156162,medium,LOW
Gümbet,Capacity-Heavy Resort Area,0.0,86.31833785930215,24.97786720321932,47.417840375586856,83.3911000002458,high,ADEQUATE_FOR_EXPLORATORY
Gümüşlük,Value-Oriented,88.6598155655338,0.8596485146798849,,94.3299077827669,,low,LOW
Gündoğan,Value-Oriented,100.0,8.551382140459019,18.546948356807512,90.19953051643192,34.15397116863898,high,ADEQUATE_FOR_EXPLORATORY
Güvercinlik,High Popularity,24.335351943840127,80.54046624736033,,55.53622057285903,,low,LOW
Kadıkalesi,High Popularity,50.36932740496204,63.60532427467157,49.94366197183099,35.27856041609604,16.50158393040188,low,LOW
Ortakent-Yahşi,Balanced,61.84313258085404,14.45041419534975,1.690140845070422,78.10466488197632,45.373320157616966,low,LOW
Torba,Capacity-Heavy Resort Area,91.9755352180171,51.081797181849865,62.22222222222223,79.32110094234187,98.14814814814814,high,ADEQUATE_FOR_EXPLORATORY
Turgutreis,Premium / Luxury Concentrated,87.79406817034302,51.42064262734215,65.23239436619718,91.84304347484287,49.35520811275772,medium,ADEQUATE_FOR_EXPLORATORY
Türkbükü,Balanced,86.1875204853601,6.416201260439617,30.0,43.09376024268005,3.7037037037037033,low,LOW
Yalıkavak,High Satisfaction / Low Visibility,87.86931342253476,13.249988912215768,67.7394366197183,67.7022623450702,44.83718754641964,medium,LOW
