term,group_document_count,group_n,group_share_pct,other_share_pct,share_diff_pp
vardı,17,50,34.0,12.93,21.07
küçük,13,50,26.0,7.48,18.52
asla,9,50,18.0,0.68,17.32
kirli,8,50,16.0,0.0,16.0
hijyen,9,50,18.0,2.04,15.96
oda,15,50,30.0,14.29,15.71
odalar,18,50,36.0,20.41,15.59
odaya,9,50,18.0,2.72,15.28
odanın,8,50,16.0,1.36,14.64
kez,9,50,18.0,4.08,13.92
ilk,13,50,26.0,12.24,13.76
hayal,7,50,14.0,0.68,13.32
saat,9,50,18.0,4.76,13.24
şekilde,12,50,24.0,10.88,13.12
rahatsız,7,50,14.0,1.36,12.64
