hotel_name,area,property_category,google_rating,google_review_count,search_price_usd_snapshot
Selectum Colours Bodrum,Gümbet,Otel,4.8,13412,473.0
Green Bay Resort & Spa Bodrum,Güvercinlik,Otel,4.5,6843,179.0
La Blanche Island Bodrum,Güvercinlik,Otel,4.3,6594,289.0
Selectum Collection Bodrum,Akyarlar,Otel,4.5,6514,387.0
La Blanche Resort Bodrum,Turgutreis,Otel,4.6,5754,391.0
Yasmin Bodrum Resort,Kadıkalesi,Otel,4.3,5589,446.0
DUJA BODRUM,Torba,Otel,4.4,5479,610.0
Rixos Premium Bodrum,Torba,Otel,4.7,4889,
Titanic Luxury Collection Bodrum,Güvercinlik,Otel,4.6,4656,
Kefaluka Resort,Akyarlar,Otel,4.4,4293,
Royal Asarlik Beach Hotel & Spa,Gümbet,Otel,4.0,3511,136.0
Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,Otel,4.5,3245,343.0
"Radisson Collection Hotel, Bodrum",Akyarlar,Otel,4.9,3237,273.0
Armonia Holiday Village & Spa,Akyarlar,Otel,4.2,3197,191.0
Lujo Hotel Bodrum,Güvercinlik,Otel,4.5,3189,
Diamond of Bodrum Hotel,Bodrum Merkez,Otel,4.1,3022,175.0
MyElla Hotel Resort & Spa,Turgutreis,Otel,3.9,2926,125.0
Voyage Torba,Torba,Otel,4.7,2753,2660.0
"Mandarin Oriental, Bodrum",Göltürkbükü,Otel,4.7,2728,1679.0
DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,Resort Otel,4.4,2690,312.0
