hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD019,Bitez Garden Life Hotel&Suites,Bitez,REVIEW_REQUIRED,True,14,0,,,,,0,0,0,0,,0,,
BOD020,Bitez Risa Hotel,Bitez,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD022,Dolce Vita Luxury Bungalows,Bitez,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD023,Doria Hotel Bodrum,Bitez,FOUND_EXACT,True,1,1,2025-07-13 16:39:00,2025-07-13 16:39:00,161.0,161.0,0,0,0,1,111.0,0,0.0,100.0
BOD024,HAKAN OTEL,Bitez,REVIEW_REQUIRED,True,4,0,,,,,0,0,0,0,,0,,
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD026,Manuela Otel Bitez,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD027,Meis Apart Hotel,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD028,Mira Beach Resort Bodrum,Bitez,REVIEW_REQUIRED,True,3,0,,,,,0,0,0,0,,0,,
BOD029,Mumu Bodrum Hotel,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD031,Okaliptus Otel,Bitez,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD032,Paloma Family Club Bitez,Bitez,REVIEW_REQUIRED,True,1,0,,,,,0,0,0,0,,0,,
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD034,Çınar Butik Otel Bodrum,Bitez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,NOT_FOUND,True,9,0,,,,,0,0,0,0,,0,,
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,REVIEW_REQUIRED,True,5,0,,,,,0,0,0,0,,0,,
BOD037,Bodrum Bay Resort,Bodrum Merkez,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD038,Casa Mare Bodrum,Bodrum Merkez,FOUND_EXACT,True,1,1,2025-07-23 17:53:00,2025-07-23 17:53:00,68.0,68.0,0,0,0,1,73.0,0,0.0,100.0
BOD039,Casa Nonna Bodrum,Bodrum Merkez,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,REVIEW_REQUIRED,True,10,0,,,,,0,0,0,0,,0,,
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,FOUND_EXACT,True,5,5,2024-06-10 10:15:00,2025-09-03 13:11:00,111.2,111.0,0,0,0,5,996.0,0,0.0,100.0
