aspect,complaint_count,mention_rate_pct,unique_hotel_count,unique_area_count,company_response_count,company_response_rate_within_aspect,median_view_count,median_complaint_word_count
STAFF_SERVICE,244,69.12181303116148,37,12,30,12.295081967213115,783.0,165.0
ROOM,217,61.47308781869688,37,11,26,11.981566820276498,796.0,167.0
MANAGEMENT_COMMUNICATION,201,56.94050991501416,38,12,25,12.437810945273633,561.0,162.0
FOOD_BEVERAGE,184,52.124645892351275,36,11,22,11.956521739130435,882.5,184.0
PAYMENT_REFUND,170,48.1586402266289,37,11,20,11.764705882352942,680.5,158.5
CLEANLINESS_HYGIENE,169,47.875354107648725,32,11,15,8.875739644970414,760.0,174.0
PRICE_VALUE,161,45.609065155807365,36,12,23,14.285714285714286,583.0,165.0
FACILITIES_MAINTENANCE,141,39.94334277620396,32,11,16,11.347517730496454,643.0,176.0
RESERVATION,140,39.6600566572238,33,12,20,14.285714285714286,771.5,158.5
BEACH_SEA,109,30.878186968838527,29,10,15,13.761467889908257,749.0,175.0
SAFETY_SECURITY,91,25.77903682719547,26,12,11,12.087912087912088,754.5,194.0
FAMILY_CHILDREN,88,24.929178470254957,25,10,9,10.227272727272727,1106.0,177.0
POOL,71,20.113314447592067,21,9,7,9.859154929577464,1209.0,200.0
AIR_CONDITIONING,29,8.215297450424929,16,7,2,6.896551724137931,1242.0,140.0
SPA_WELLNESS,29,8.215297450424929,15,10,1,3.4482758620689653,882.5,194.0
TRANSPORT_TRANSFER,25,7.0821529745042495,17,7,2,8.0,646.5,203.0
NOISE,19,5.38243626062323,14,8,3,15.789473684210526,1248.5,182.0
CHECKIN_CHECKOUT,8,2.26628895184136,6,4,3,37.5,1635.5,194.5
