hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD010,Mare Garden Hotel,1,FACILITIES_MAINTENANCE,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,RESERVATION,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,PAYMENT_REFUND,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,PRICE_VALUE,1,100.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,NOISE,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,MANAGEMENT_COMMUNICATION,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD010,Mare Garden Hotel,1,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,STAFF_SERVICE,4,100.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,CLEANLINESS_HYGIENE,4,100.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,FOOD_BEVERAGE,3,75.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,ROOM,4,100.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,BEACH_SEA,1,25.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,POOL,1,25.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,FACILITIES_MAINTENANCE,3,75.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,RESERVATION,0,0.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,PAYMENT_REFUND,2,50.0,True,LOW_SAMPLE
BOD012,Selectum Collection Bodrum,4,PRICE_VALUE,3,75.0,True,LOW_SAMPLE
