hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label,hotel_name,area
BOD130,CLEANLINESS_HYGIENE,80.0,10,60.0,62.5,53.84615384615385,13,False,BOTH_SOURCE_CONCERN,Petunya Beach Resort,Ortakent-Yahşi
BOD067,ROOM_COMFORT,59.3,59,50.0,51.4,50.0,6,False,BOTH_SOURCE_CONCERN,Sami Beach Hotel,Gümbet
BOD004,FACILITIES_MAINTENANCE,60.0,10,83.3,16.7,50.0,12,False,BOTH_SOURCE_CONCERN,Bendis Beach Hotel,Akyarlar
BOD004,BEACH_SEA,50.0,10,60.0,40.0,50.0,12,False,BOTH_SOURCE_CONCERN,Bendis Beach Hotel,Akyarlar
BOD161,RESERVATION,40.0,10,100.0,0.0,50.0,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD108,PRICE_VALUE,55.6,9,60.0,40.0,46.66666666666666,15,False,BOTH_SOURCE_CONCERN,Lujo Hotel Bodrum,Güvercinlik
BOD161,FOOD_BEVERAGE,100.0,10,90.0,0.0,46.42857142857143,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD161,FACILITIES_MAINTENANCE,50.0,10,100.0,0.0,46.42857142857143,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD130,FOOD_BEVERAGE,90.0,10,50.0,55.6,46.15384615384615,13,False,BOTH_SOURCE_CONCERN,Petunya Beach Resort,Ortakent-Yahşi
BOD130,ROOM_COMFORT,80.0,10,50.0,75.0,46.15384615384615,13,False,BOTH_SOURCE_CONCERN,Petunya Beach Resort,Ortakent-Yahşi
BOD130,PRICE_VALUE,40.0,10,50.0,50.0,46.15384615384615,13,False,BOTH_SOURCE_CONCERN,Petunya Beach Resort,Ortakent-Yahşi
BOD161,POOL,80.0,10,87.5,0.0,42.85714285714285,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD113,PRICE_VALUE,36.4,11,50.0,25.0,42.85714285714285,7,False,BOTH_SOURCE_CONCERN,Kadıkale Resort,Kadıkalesi
BOD004,RESERVATION,50.0,10,80.0,20.0,41.66666666666666,12,False,BOTH_SOURCE_CONCERN,Bendis Beach Hotel,Akyarlar
BOD161,PRICE_VALUE,60.0,10,83.3,0.0,39.285714285714285,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD161,PAYMENT_REFUND,40.0,10,100.0,0.0,39.285714285714285,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD161,BEACH_SEA,80.0,10,87.5,0.0,35.714285714285715,28,False,BOTH_SOURCE_CONCERN,MyElla Hotel Resort & Spa,Turgutreis
BOD108,FOOD_BEVERAGE,77.8,9,50.0,57.1,33.333333333333336,15,False,BOTH_SOURCE_CONCERN,Lujo Hotel Bodrum,Güvercinlik
BOD108,ROOM_COMFORT,77.8,9,100.0,57.1,33.333333333333336,15,False,BOTH_SOURCE_CONCERN,Lujo Hotel Bodrum,Güvercinlik
BOD004,FAMILY_CHILDREN,80.0,10,62.5,37.5,33.333333333333336,12,False,BOTH_SOURCE_CONCERN,Bendis Beach Hotel,Akyarlar
