file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/figures/sikayetvar_nlp_aspect/14_major_aspects_by_year.png,png,ASPECT,113520,2026-08-26T07:02:08.137141705,,,,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/figures/sikayetvar_nlp_aspect/15_aspect_view_and_text_length.png,png,ASPECT,91008,2026-08-26T07:02:08.138484955,,,,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/figures/sikayetvar_severity/01_severity_distribution.png,png,ASPECT,22146,2026-08-26T07:02:08.138994217,,,,Other Sikayetvar-related repository asset
reports/figures/sikayetvar_severity/02_severity_by_aspect.png,png,ASPECT,34072,2026-08-26T07:02:08.138994217,,,,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/google_maps_all_hotels_customer_voice_profiles.csv,csv,CROSS_SOURCE,24570,2026-08-26T07:02:08.159807920,192.0,16.0,hotel_id|hotel_name|area|sample_review_n|sample_text_review_n|low_n|high_n|sample_reliability|top_overall_aspect_1|top_overall_aspect_2|top_overall_aspect_3|top_positive_driver_1|top_positive_driver_2|top_negative_driver_1|top_negative_driver_2|profile_note,Other Sikayetvar-related repository asset
reports/sikayetvar_all_hotels_coverage.csv,csv,MAPPING,28781,2026-08-26T07:02:08.191160917,192.0,15.0,hotel_id|hotel_name|area|mapping_status|sikayetvar_url|page_found|page_accessible|complaint_count_matched|complaint_count_review_required|complaint_count_excluded|company_response_count|company_response_rate_in_scraped_corpus|first_complaint_date|last_complaint_date|last_checked,Hotel/area coverage evidence
reports/sikayetvar_all_hotels_manual_review.csv,csv,MAPPING,17482,2026-08-26T07:02:08.191160917,67.0,11.0,hotel_id|hotel_name|area|candidate_rank|candidate_company_name|candidate_url|name_similarity|candidate_score|match_reason|negative_conflict|suggested_action,"Hotel entity mapping, mapping summary, or manual-review evidence"
reports/sikayetvar_all_hotels_mapping_summary.csv,csv,MAPPING,225,2026-08-26T07:02:08.191665411,8.0,3.0,match_status|hotel_count|share_pct,"Hotel entity mapping, mapping summary, or manual-review evidence"
reports/sikayetvar_all_hotels_mapping_summary_by_area.csv,csv,MAPPING,499,2026-08-26T07:02:08.191665411,14.0,8.0,area|hotel_count|found_exact|found_high_confidence|review_required|ambiguous|not_found|page_found_no_complaint,"Hotel entity mapping, mapping summary, or manual-review evidence"
reports/sikayetvar_all_hotels_scraping_summary.txt,txt,SCRAPING,1173,2026-08-26T07:02:08.191665411,,,,Scraping checkpoint/status summary
