hotel_id,hotel_name,area,overall_aspect_STAFF_SERVICE_rate_pct,overall_aspect_CLEANLINESS_HYGIENE_rate_pct,overall_aspect_FOOD_BEVERAGE_rate_pct,overall_aspect_ROOM_rate_pct,overall_aspect_BEACH_SEA_rate_pct,overall_aspect_POOL_rate_pct,overall_aspect_FACILITIES_MAINTENANCE_rate_pct,overall_aspect_RESERVATION_rate_pct,overall_aspect_PAYMENT_REFUND_rate_pct,overall_aspect_PRICE_VALUE_rate_pct,overall_aspect_CHECKIN_CHECKOUT_rate_pct,overall_aspect_AIR_CONDITIONING_rate_pct,overall_aspect_NOISE_rate_pct,overall_aspect_FAMILY_CHILDREN_rate_pct,overall_aspect_TRANSPORT_TRANSFER_rate_pct,overall_aspect_MANAGEMENT_COMMUNICATION_rate_pct,overall_aspect_SPA_WELLNESS_rate_pct,overall_aspect_SAFETY_SECURITY_rate_pct
BOD071,Tropicana Beach Hotel,Gümbet,,,,,,,,,,,,,,,,,,
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD038,Casa Mare Bodrum,Bodrum Merkez,,,,,,,,,,,,,,,,,,
BOD028,Mira Beach Resort Bodrum,Bitez,,,,,,,,,,,,,,,,,,
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD049,Casa Del Mar Bodrum,Göltürkbükü,,,,,,,,,,,,,,,,,,
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD129,Meggs Bodrum,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,,,,,,,,,,,,,,,,,,
BOD100,Villa Rustica Hotel,Gündoğan,,,,,,,,,,,,,,,,,,
BOD039,Casa Nonna Bodrum,Bodrum Merkez,,,,,,,,,,,,,,,,,,
BOD154,Toka Bodrum Hotel & Beach Club,Torba,,,,,,,,,,,,,,,,,,
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,,,,,,,,,,,,,,,,,,
BOD167,Elista Hotel & Spa,Türkbükü,,,,,,,,,,,,,,,,,,
BOD034,Çınar Butik Otel Bodrum,Bitez,,,,,,,,,,,,,,,,,,
BOD048,Babana Hotel,Göltürkbükü,,,,,,,,,,,,,,,,,,
BOD105,İsolina Hotel,Güvercinlik,,,,,,,,,,,,,,,,,,
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD022,Dolce Vita Luxury Bungalows,Bitez,,,,,,,,,,,,,,,,,,
BOD053,Gölköy Suites,Göltürkbükü,,,,,,,,,,,,,,,,,,
BOD005,ByAkkan,Akyarlar,,,,,,,,,,,,,,,,,,
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,,,,,,,,,,,,,,,,,,
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD147,Omar Hotel & Suites,Torba,,,,,,,,,,,,,,,,,,
BOD080,Myndos Oda & kahvalti,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD099,Villa Oliva Butik Otel,Gündoğan,,,,,,,,,,,,,,,,,,
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,,,,,,,,,,,,,,,,,,
BOD096,Olira Boutique Hotel&SPA,Gündoğan,,,,,,,,,,,,,,,,,,
BOD146,Olivia Hotel,Torba,,,,,,,,,,,,,,,,,,
BOD083,Oza butik hotel,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD054,Lavinya Maison,Göltürkbükü,,,,,,,,,,,,,,,,,,
BOD001,Aksoy Taş Ev,Akyarlar,,,,,,,,,,,,,,,,,,
BOD165,Caja by Maxx Royal,Türkbükü,,,,,,,,,,,,,,,,,,
BOD027,Meis Apart Hotel,Bitez,,,,,,,,,,,,,,,,,,
BOD134,Yakamoz Otel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,,,,,,,,,,,,,,,,,,
BOD121,Eskiyalı Otel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD176,Blue Point Yalikavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD093,Malta Bodrum Hotel,Gündoğan,,,,,,,,,,,,,,,,,,
BOD122,Florida Otel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD190,The Sign Highlight Hotel,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD144,Mira Suites,Torba,,,,,,,,,,,,,,,,,,
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD123,Hotel Marma Beach,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD044,Noa Suite Hotel,Bodrum Merkez,,,,,,,,,,,,,,,,,,
BOD118,Amfora Hotel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,,,,,,,,,,,,,,,,,,
BOD097,OLİVE TREE HOTEL,Gündoğan,,,,,,,,,,,,,,,,,,
BOD137,Armagan Apart Hotel,Torba,,,,,,,,,,,,,,,,,,
BOD117,Altınkaya Hotel,Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD029,Mumu Bodrum Hotel,Bitez,,,,,,,,,,,,,,,,,,
BOD172,Ailla Yalıkavak,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD091,Gündoğan Suites,Gündoğan,,,,,,,,,,,,,,,,,,
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,,,,,,,,,,,,,,,,,,
BOD149,Roota Bodrum,Torba,,,,,,,,,,,,,,,,,,
BOD084,Paradise Garden Apartments,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD076,Gümüşlük No3,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD138,Bodrum Blue Bay Otel,Torba,,,,,,,,,,,,,,,,,,
BOD015,The Ni Villas Akyarlar,Akyarlar,,,,,,,,,,,,,,,,,,
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,,,,,,,,,,,,,,,,,,
BOD085,Paradise Gümüşlük,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD074,Begonvil Gümüşlük,Gümüşlük,,,,,,,,,,,,,,,,,,
BOD094,Marje Villas,Gündoğan,,,,,,,,,,,,,,,,,,
