hotel_id,place_id,hotel_name,area,source_url,detected_hotel_name,detected_address,mapping_status,name_similarity,page_accessible,review_panel_found,checked_at,mapping_note
BOD140,ChIJEZ7NeSBpvhQRW7TrqslFbhY,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,https://www.google.com/maps/search/?api=1&query=DoubleTree%20by%20Hilton%20Bodrum%20I%C5%9F%C4%B1l%20Club%20All-Inclusive%20Resort&query_place_id=ChIJEZ7NeSBpvhQRW7TrqslFbhY,,,,,,,,
BOD130,ChIJ7xEvaZdyvhQRXeI5Mw_wKBM,Petunya Beach Resort,Ortakent-Yahşi,https://www.google.com/maps/search/?api=1&query=Petunya%20Beach%20Resort&query_place_id=ChIJ7xEvaZdyvhQRXeI5Mw_wKBM,,,,,,,,
BOD045,ChIJGUkl_VBsvhQRhaJGNtf2b_Q,Salmakis Resort & Spa,Bodrum Merkez,https://www.google.com/maps/search/?api=1&query=Salmakis%20Resort%20%26%20Spa&query_place_id=ChIJGUkl_VBsvhQRhaJGNtf2b_Q,,,,,,,,
BOD019,ChIJK3FMz59tvhQRPMvQAr1_6rk,Bitez Garden Life Hotel&Suites,Bitez,https://www.google.com/maps/search/?api=1&query=Bitez%20Garden%20Life%20Hotel%26Suites&query_place_id=ChIJK3FMz59tvhQRPMvQAr1_6rk,,,,,,,,
BOD150,ChIJ2ZaqTSRpvhQRVhR52L9gb7E,Samara Hotel,Torba,https://www.google.com/maps/search/?api=1&query=Samara%20Hotel&query_place_id=ChIJ2ZaqTSRpvhQRVhR52L9gb7E,,,,,,,,
BOD004,ChIJXUoh1okLvhQR-k-X9ouGc3c,Bendis Beach Hotel,Akyarlar,https://www.google.com/maps/search/?api=1&query=Bendis%20Beach%20Hotel&query_place_id=ChIJXUoh1okLvhQR-k-X9ouGc3c,,,,,,,,
BOD177,ChIJ06hnbDpxvhQRaVw-pnfuqb4,Delta Hotels By Marriott Bodrum,Yalıkavak,https://www.google.com/maps/search/?api=1&query=Delta%20Hotels%20By%20Marriott%20Bodrum&query_place_id=ChIJ06hnbDpxvhQRaVw-pnfuqb4,,,,,,,,
BOD063,ChIJNRIjqlRsvhQRGxrphNIqGwk,Jasmin Beach Hotel,Gümbet,https://www.google.com/maps/search/?api=1&query=Jasmin%20Beach%20Hotel&query_place_id=ChIJNRIjqlRsvhQRGxrphNIqGwk,,,,,,,,
BOD113,ChIJ5QHeO7h0vhQRW5f2t7UbNjY,Kadıkale Resort,Kadıkalesi,https://www.google.com/maps/search/?api=1&query=Kad%C4%B1kale%20Resort&query_place_id=ChIJ5QHeO7h0vhQRW5f2t7UbNjY,,,,,,,,
BOD067,ChIJmbdvxK1tvhQRx48Im613KJA,Sami Beach Hotel,Gümbet,https://www.google.com/maps/search/?api=1&query=Sami%20Beach%20Hotel&query_place_id=ChIJmbdvxK1tvhQRx48Im613KJA,,,,,,,,
