hotel_id,hotel_name,area,mapping_status,page_accessible,total_google_review_count_master,reviews_collected,reviews_with_text,rating_1_n,rating_2_n,rating_3_n,rating_4_n,rating_5_n,low_n,mixed_n,high_n,target_cap,target_reached,blocked,error_type,last_checkpoint,collection_completed_at
BOD104,Greenport Bodrum,Güvercinlik,FOUND_EXACT_PLACE_ID,True,1317,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:03+00:00,2026-08-25T15:50:03+00:00
BOD169,MACAKIZI BODRUM,Türkbükü,,,1247,,,,,,,,,,,75,,,,,
BOD070,The Luvi Hotel,Gümbet,,,1226,,,,,,,,,,,75,,,,,
BOD032,Paloma Family Club Bitez,Bitez,,,1201,,,,,,,,,,,75,,,,,
BOD060,Club Shark Hotel,Gümbet,,,1124,,,,,,,,,,,75,,,,,
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,,,1102,,,,,,,,,,,75,,,,,
BOD046,Senses Hotel,Bodrum Merkez,,,1035,,,,,,,,,,,75,,,,,
BOD189,The Bodrum EDITION,Yalıkavak,,,1016,,,,,,,,,,,75,,,,,
BOD047,The Marmara Bodrum,Bodrum Merkez,,,987,,,,,,,,,,,75,,,,,
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,,,983,,,,,,,,,,,75,,,,,
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,,,964,,,,,,,,,,,75,,,,,
BOD020,Bitez Risa Hotel,Bitez,,,919,,,,,,,,,,,75,,,,,
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,,,904,,,,,,,,,,,75,,,,,
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,,,886,,,,,,,,,,,75,,,,,
BOD026,Manuela Otel Bitez,Bitez,,,871,,,,,,,,,,,75,,,,,
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,,,870,,,,,,,,,,,75,,,,,
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,,,848,,,,,,,,,,,75,,,,,
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,,,845,,,,,,,,,,,75,,,,,
BOD023,Doria Hotel Bodrum,Bitez,,,774,,,,,,,,,,,75,,,,,
BOD052,Flamm Bodrum,Göltürkbükü,,,766,,,,,,,,,,,75,,,,,
BOD166,Divan Bodrum,Türkbükü,,,753,,,,,,,,,,,75,,,,,
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,,,747,,,,,,,,,,,75,,,,,
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,,,739,,,,,,,,,,,75,,,,,
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,,,723,,,,,,,,,,,75,,,,,
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,,,690,,,,,,,,,,,75,,,,,
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,,,673,,,,,,,,,,,75,,,,,
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,,,649,,,,,,,,,,,75,,,,,
BOD151,Sarpedor Boutique Hotel & SPA,Torba,,,648,,,,,,,,,,,75,,,,,
BOD192,Yalıpark Beach Hotel,Yalıkavak,,,647,,,,,,,,,,,75,,,,,
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,,,633,,,,,,,,,,,75,,,,,
BOD162,Rammos Managed by Dedeman,Turgutreis,,,615,,,,,,,,,,,75,,,,,
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,,,613,,,,,,,,,,,75,,,,,
BOD095,Mivara Luxury Bodrum,Gündoğan,,,606,,,,,,,,,,,75,,,,,
BOD153,The Oba Hotel,Torba,,,603,,,,,,,,,,,75,,,,,
BOD064,Jasmin Elite Residence & Spa,Gümbet,,,600,,,,,,,,,,,75,,,,,
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,,,590,,,,,,,,,,,75,,,,,
