hotel_id,hotel_name,area,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag
BOD113,Kadıkale Resort,Kadıkalesi,7,FOOD_BEVERAGE,4,57.142857142857146,False
BOD113,Kadıkale Resort,Kadıkalesi,7,ROOM,6,85.71428571428571,False
BOD113,Kadıkale Resort,Kadıkalesi,7,BEACH_SEA,4,57.142857142857146,False
BOD113,Kadıkale Resort,Kadıkalesi,7,POOL,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,FACILITIES_MAINTENANCE,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,RESERVATION,0,0.0,False
BOD113,Kadıkale Resort,Kadıkalesi,7,PAYMENT_REFUND,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,PRICE_VALUE,3,42.857142857142854,False
BOD113,Kadıkale Resort,Kadıkalesi,7,CHECKIN_CHECKOUT,1,14.285714285714286,False
BOD113,Kadıkale Resort,Kadıkalesi,7,AIR_CONDITIONING,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,NOISE,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,FAMILY_CHILDREN,1,14.285714285714286,False
BOD113,Kadıkale Resort,Kadıkalesi,7,TRANSPORT_TRANSFER,1,14.285714285714286,False
BOD113,Kadıkale Resort,Kadıkalesi,7,MANAGEMENT_COMMUNICATION,3,42.857142857142854,False
BOD113,Kadıkale Resort,Kadıkalesi,7,SPA_WELLNESS,2,28.571428571428573,False
BOD113,Kadıkale Resort,Kadıkalesi,7,SAFETY_SECURITY,0,0.0,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,STAFF_SERVICE,15,65.21739130434783,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,CLEANLINESS_HYGIENE,9,39.130434782608695,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,FOOD_BEVERAGE,10,43.47826086956522,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,ROOM,10,43.47826086956522,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,BEACH_SEA,5,21.73913043478261,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,POOL,2,8.695652173913043,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,FACILITIES_MAINTENANCE,10,43.47826086956522,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,RESERVATION,5,21.73913043478261,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,PAYMENT_REFUND,10,43.47826086956522,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,PRICE_VALUE,8,34.78260869565217,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,CHECKIN_CHECKOUT,0,0.0,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,AIR_CONDITIONING,3,13.043478260869565,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,NOISE,2,8.695652173913043,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,FAMILY_CHILDREN,5,21.73913043478261,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,TRANSPORT_TRANSFER,3,13.043478260869565,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,MANAGEMENT_COMMUNICATION,13,56.52173913043478,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,SPA_WELLNESS,0,0.0,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,SAFETY_SECURITY,5,21.73913043478261,False
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,STAFF_SERVICE,2,100.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,CLEANLINESS_HYGIENE,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,FOOD_BEVERAGE,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,ROOM,2,100.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,BEACH_SEA,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,POOL,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,FACILITIES_MAINTENANCE,2,100.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,RESERVATION,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,PAYMENT_REFUND,2,100.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,PRICE_VALUE,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,CHECKIN_CHECKOUT,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,AIR_CONDITIONING,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,NOISE,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,FAMILY_CHILDREN,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,TRANSPORT_TRANSFER,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,MANAGEMENT_COMMUNICATION,1,50.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,SPA_WELLNESS,0,0.0,True
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,2,SAFETY_SECURITY,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,STAFF_SERVICE,1,100.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,CLEANLINESS_HYGIENE,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,FOOD_BEVERAGE,1,100.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,ROOM,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,BEACH_SEA,1,100.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,POOL,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,FACILITIES_MAINTENANCE,1,100.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,RESERVATION,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,PAYMENT_REFUND,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,PRICE_VALUE,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,CHECKIN_CHECKOUT,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,AIR_CONDITIONING,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,NOISE,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,FAMILY_CHILDREN,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,TRANSPORT_TRANSFER,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,MANAGEMENT_COMMUNICATION,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,SPA_WELLNESS,0,0.0,True
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,1,SAFETY_SECURITY,1,100.0,True
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,STAFF_SERVICE,7,53.84615384615385,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,CLEANLINESS_HYGIENE,7,53.84615384615385,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,FOOD_BEVERAGE,6,46.15384615384615,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,ROOM,6,46.15384615384615,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,BEACH_SEA,2,15.384615384615385,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,POOL,0,0.0,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,FACILITIES_MAINTENANCE,2,15.384615384615385,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,RESERVATION,8,61.53846153846154,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,PAYMENT_REFUND,8,61.53846153846154,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,PRICE_VALUE,6,46.15384615384615,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,CHECKIN_CHECKOUT,0,0.0,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,AIR_CONDITIONING,0,0.0,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,NOISE,0,0.0,False
