hotel_id,hotel_name,area,phone,address,google_rating,google_review_count
BOD001,Aksoy Taş Ev,Akyarlar,+905414124141,"Akyarlar, Tarik Akan Sk NO:15, 48960 Bodrum/Muğla, Türkiye",4.7,135
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,+905308656175,"Akyarlar, atatürk akyarlar caddesi no 253, 48960 Bodrum/Muğla, Türkiye",4.3,246
BOD005,ByAkkan,Akyarlar,+905324996884,"Akyarlar, Tarik Akan Sk No:33, 48000 Bodrum/Muğla, Türkiye",4.4,203
BOD012,Selectum Collection Bodrum,Akyarlar,+902523918252,"Bankev Cad. No:39, 48400 Bodrum/Muğla, Türkiye",4.5,6514
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,+902523938686,"112 Sk, Akyarlar, Barış Manço Cd., 48960 Bodrum/Muğla, Türkiye",4.5,739
BOD015,The Ni Villas Akyarlar,Akyarlar,+905552939799,"Akyarlar, Atatürk Cd. No:245, 48960 Bodrum/Muğla, Türkiye",5.0,44
BOD016,Xanadu Island,Akyarlar,+902526926238,"Akyarlar, Ada Caddesi No: 10/1, 48960 Bodrum/Muğla, Türkiye",4.6,2068
BOD022,Dolce Vita Luxury Bungalows,Bitez,+905451584848,"Bitez, Söğütlü Cd. no:146/1, 48400 Bodrum/Muğla, Türkiye",4.4,214
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,+902524127612,"Ic Kapi, Bitez, Çökertme Cd. No:76 No:1, 48400 Bodrum/Muğla, Türkiye",4.1,79
BOD032,Paloma Family Club Bitez,Bitez,+902523630888,"Mevkii, Bitez Mahallesi Gündönümü, 2156. Sokak, 48400 Bodrum/Muğla, Türkiye",4.4,1201
BOD039,Casa Nonna Bodrum,Bodrum Merkez,+905306042200,"Yalı Mahallesi İçmeler Mevkii No:60, 48400 Bodrum/Muğla, Türkiye",4.6,238
BOD044,Noa Suite Hotel,Bodrum Merkez,+905076510521,"Kumbahçe, Güvercin Sk. No:20, 48400 Bodrum/Muğla, Türkiye",4.8,98
BOD049,Casa Del Mar Bodrum,Göltürkbükü,+905423141453,"Gölköy, Akdeniz Cd. No: 63, 48400 Bodrum/Muğla, Türkiye",4.6,263
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,+905526577088,"37. Sokak, Akdeniz Cd. No: 1, 48450 Bodrum/Muğla, Türkiye",4.3,590
BOD052,Flamm Bodrum,Göltürkbükü,+902523577600,"Akdeniz Cd, 30. Sk. No:3, 48400 Bodrum/Muğla, Türkiye",4.5,766
