hotel_id,hotel_name,area,detected_sikayetvar_hotel_name,source_url,mapping_status,confidence,page_accessible,visible_complaint_count,checked_at,complaint_count,unique_complaint_count,detail_nonempty_count,company_response_count,matched_complaint_count,review_required_complaint_count,checked_on_sikayetvar,valid_page,hotels_with_complaints,hotels_with_zero_complaints,not_found,review_required,wrong_entity,unprocessed
BOD027,Meis Apart Hotel,Bitez,,,NOT_FOUND,0.0,False,,2026-08-25T12:29:27.358232+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD028,Mira Beach Resort Bodrum,Bitez,Amilla Beach Resort | Bodrum,https://www.sikayetvar.com/amilla-beach-resort-bodrum,REVIEW_REQUIRED,0.7722,True,3.0,2026-08-25T12:29:36.768959+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD029,Mumu Bodrum Hotel,Bitez,,,NOT_FOUND,0.0,False,,2026-08-25T12:29:45.764749+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,,,NOT_FOUND,0.0,False,,2026-08-25T12:29:53.089583+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD031,Okaliptus Otel,Bitez,Okaliptus Otel,https://www.sikayetvar.com/okaliptus-otel,PAGE_FOUND_NO_COMPLAINT,0.7,True,0.0,2026-08-25T12:30:00.651139+00:00,0,0,0,0,0,0,True,True,False,True,False,False,False,False
BOD032,Paloma Family Club Bitez,Bitez,Paloma Family Club,https://www.sikayetvar.com/paloma-family-club,REVIEW_REQUIRED,0.6,True,1.0,2026-08-25T12:30:11.988597+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,,,NOT_FOUND,0.0,False,,2026-08-25T12:30:21.377557+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD034,Çınar Butik Otel Bodrum,Bitez,,,NOT_FOUND,0.0,False,,2026-08-25T12:30:30.331469+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,Azka Otel,https://www.sikayetvar.com/azka-otel,NOT_FOUND,0.3937,True,9.0,2026-08-25T12:30:43.792694+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,REVIEW_REQUIRED,0.57,True,5.0,2026-08-25T12:31:01.509766+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD037,Bodrum Bay Resort,Bodrum Merkez,Bodrum Bay Resort,https://www.sikayetvar.com/bodrum-bay-resort,PAGE_FOUND_NO_COMPLAINT,0.85,True,0.0,2026-08-25T12:31:07.267657+00:00,0,0,0,0,0,0,True,True,False,True,False,False,False,False
BOD038,Casa Mare Bodrum,Bodrum Merkez,Casa Mare Bodrum,https://www.sikayetvar.com/casa-mare-bodrum,FOUND_EXACT,0.85,True,1.0,2026-08-25T12:31:11.020818+00:00,1,1,1,0,1,0,True,True,True,False,False,False,False,False
BOD039,Casa Nonna Bodrum,Bodrum Merkez,,,NOT_FOUND,0.0,False,,2026-08-25T12:31:18.101371+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,REVIEW_REQUIRED,0.6885,True,10.0,2026-08-25T12:31:23.689275+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,La Quinta By Wyndham Bodrum,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,FOUND_EXACT,0.85,True,5.0,2026-08-25T12:31:27.403722+00:00,5,5,5,0,5,0,True,True,True,False,False,False,False,False
BOD042,Mandarin Resort Hotel,Bodrum Merkez,Mandarin Resort,https://www.sikayetvar.com/mandarin-resort,REVIEW_REQUIRED,0.5833,True,1.0,2026-08-25T12:31:38.525260+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,,,NOT_FOUND,0.0,False,,2026-08-25T12:31:49.245058+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD044,Noa Suite Hotel,Bodrum Merkez,Miracle Resort Hotel,https://www.sikayetvar.com/miracle-resort-hotel,REVIEW_REQUIRED,0.32,True,7.0,2026-08-25T12:32:00.288788+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD045,Salmakis Resort & Spa,Bodrum Merkez,Salmakis Resort & Spa,https://www.sikayetvar.com/salmakis-resort-spa,FOUND_EXACT,0.7,True,7.0,2026-08-25T12:32:09.593351+00:00,7,7,7,0,7,0,True,True,True,False,False,False,False,False
BOD046,Senses Hotel,Bodrum Merkez,The Sense De Luxe Hotel,https://www.sikayetvar.com/the-sense-de-luxe-hotel,REVIEW_REQUIRED,0.44,True,5.0,2026-08-25T12:32:25.064343+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD047,The Marmara Bodrum,Bodrum Merkez,,,NOT_FOUND,0.0,False,,2026-08-25T12:32:33.636480+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD048,Babana Hotel,Göltürkbükü,Acapulco Resort Hotel,https://www.sikayetvar.com/acapulco-resort-hotel,REVIEW_REQUIRED,0.3394,True,24.0,2026-08-25T12:32:51.373575+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD049,Casa Del Mar Bodrum,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:00.343988+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:11.556029+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,Faros Bodrum Hotel Göltürkbükü,https://www.sikayetvar.com/faros-bodrum-hotel-golturkbuku,PAGE_FOUND_NO_COMPLAINT,1.0,True,0.0,2026-08-25T12:33:15.244970+00:00,0,0,0,0,0,0,True,True,False,True,False,False,False,False
BOD052,Flamm Bodrum,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:22.447982+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD053,Gölköy Suites,Göltürkbükü,Gölköy,https://www.sikayetvar.com/golkoy,NOT_FOUND,0.4421,True,0.0,2026-08-25T12:33:30.127573+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD054,Lavinya Maison,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:39.425709+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:48.720825+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,Mandarin Oriental Bodrum,https://www.sikayetvar.com/mandarin-oriental-bodrum,FOUND_EXACT,0.85,True,2.0,2026-08-25T12:33:52.326596+00:00,2,2,2,0,2,0,True,True,True,False,False,False,False,False
BOD057,Selvi Bodrum,Göltürkbükü,,,NOT_FOUND,0.0,False,,2026-08-25T12:33:59.582588+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD058,Bodrum Beach Resort,Gümbet,Bodrum Beach Resort,https://www.sikayetvar.com/bodrum-beach-resort,FOUND_EXACT,0.85,True,3.0,2026-08-25T12:34:06.989543+00:00,3,3,2,0,3,0,True,True,True,False,False,False,False,False
BOD059,Bodrum Hotel Baba,Gümbet,Baia Hotels Bodrum,https://www.sikayetvar.com/baia-hotels-bodrum,REVIEW_REQUIRED,0.4833,True,4.0,2026-08-25T12:34:23.703683+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD060,Club Shark Hotel,Gümbet,Club Shark Hotel,https://www.sikayetvar.com/club-shark-hotel,FOUND_EXACT,0.7,True,1.0,2026-08-25T12:34:31.934807+00:00,1,1,1,0,1,0,True,True,True,False,False,False,False,False
BOD061,Gümbet Anıl Beach,Gümbet,Gümbet Anıl Beach,https://www.sikayetvar.com/gumbet-anil-beach,FOUND_EXACT,0.85,True,2.0,2026-08-25T12:34:37.522349+00:00,2,2,2,0,2,0,True,True,True,False,False,False,False,False
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,,,NOT_FOUND,0.0,False,,2026-08-25T12:34:46.449598+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD063,Jasmin Beach Hotel,Gümbet,Jasmin Beach Hotels,https://www.sikayetvar.com/jasmin-beach-hotels,REVIEW_REQUIRED,0.6811,True,1.0,2026-08-25T12:34:57.499263+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD064,Jasmin Elite Residence & Spa,Gümbet,Jasmin Elite Residence,https://www.sikayetvar.com/jasmin-elite-residence,REVIEW_REQUIRED,0.6417,True,0.0,2026-08-25T12:35:10.510353+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD065,Mirada Exclusive Bodrum,Gümbet,Mirada Hotels & Resorts,https://www.sikayetvar.com/mirada-hotels-resorts,NOT_FOUND,0.4162,True,13.0,2026-08-25T12:35:18.036552+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlık Beach,https://www.sikayetvar.com/royal-asarlik-beach,REVIEW_REQUIRED,0.5542,True,16.0,2026-08-25T12:35:33.591462+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD067,Sami Beach Hotel,Gümbet,Sami Beach Hotel,https://www.sikayetvar.com/sami-beach-hotel,FOUND_EXACT,0.7,True,6.0,2026-08-25T12:35:42.842142+00:00,6,6,6,0,6,0,True,True,True,False,False,False,False,False
BOD068,Selectum Colours Bodrum,Gümbet,Selectum Hotels Selectum Bodrum,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,REVIEW_REQUIRED,0.535,True,14.0,2026-08-25T12:35:46.418201+00:00,14,14,14,0,8,6,True,False,True,False,False,True,False,False
BOD069,Siesta Beach Apart,Gümbet,Siesta Beach Apart,https://www.sikayetvar.com/siesta-beach-apart,FOUND_EXACT,0.7,True,1.0,2026-08-25T12:35:54.057534+00:00,1,1,1,0,1,0,True,True,True,False,False,False,False,False
BOD070,The Luvi Hotel,Gümbet,,,NOT_FOUND,0.0,False,,2026-08-25T12:36:04.799875+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD071,Tropicana Beach Hotel,Gümbet,Tropicana,https://www.sikayetvar.com/tropicana,NOT_FOUND,0.42,True,3.0,2026-08-25T12:36:12.229040+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD072,VERY CHIC BODRUM,Gümbet,Very Chic Bodrum,https://www.sikayetvar.com/very-chic-bodrum,FOUND_EXACT,0.85,True,3.0,2026-08-25T12:36:15.790088+00:00,3,3,3,0,3,0,True,True,True,False,False,False,False,False
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:36:26.527078+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD074,Begonvil Gümüşlük,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:36:33.571356+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD075,Benjamin Otel,Gümüşlük,Benjamin,https://www.sikayetvar.com/benjamin,REVIEW_REQUIRED,0.5333,True,0.0,2026-08-25T12:36:40.922567+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD076,Gümüşlük No3,Gümüşlük,,,NOT_FOUND,0.0,False,,2026-08-25T12:36:47.967129+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD077,Ladonia Hotels Zemda,Gümüşlük,Ladonia Hotels Zemda,https://www.sikayetvar.com/ladonia-hotels-zemda,FOUND_EXACT,0.7,True,7.0,2026-08-25T12:36:53.535151+00:00,7,7,7,0,7,0,True,True,True,False,False,False,False,False
