complaint_id,hotel_id,hotel_name,area,company_response_exists_clean,complaint_date,google_rating,google_review_count,aspect,matched,matched_keywords
diamond-of-bodrum-kuflu-promo-odadan-normal-odaya-gecmek-icin-alinan-2000-tl-ek-ucret,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2026-07-20 10:44:00,4.1,3022,FAMILY_CHILDREN,False,
diamond-of-bodrum-kuflu-promo-odadan-normal-odaya-gecmek-icin-alinan-2000-tl-ek-ucret,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2026-07-20 10:44:00,4.1,3022,TRANSPORT_TRANSFER,False,
diamond-of-bodrum-kuflu-promo-odadan-normal-odaya-gecmek-icin-alinan-2000-tl-ek-ucret,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2026-07-20 10:44:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
diamond-of-bodrum-kuflu-promo-odadan-normal-odaya-gecmek-icin-alinan-2000-tl-ek-ucret,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2026-07-20 10:44:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-kuflu-promo-odadan-normal-odaya-gecmek-icin-alinan-2000-tl-ek-ucret,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2026-07-20 10:44:00,4.1,3022,SAFETY_SECURITY,True,sağlık
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,STAFF_SERVICE,True,çalışan
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,CLEANLINESS_HYGIENE,True,temizlik|hijyen|temiz
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,FOOD_BEVERAGE,True,yiyecek|lezzet|yemek|alkol
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,ROOM,True,yatak
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,BEACH_SEA,True,sahil
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,POOL,True,havuz
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,FACILITIES_MAINTENANCE,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,RESERVATION,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,PAYMENT_REFUND,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,PRICE_VALUE,True,değer
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,CHECKIN_CHECKOUT,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,AIR_CONDITIONING,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,NOISE,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,FAMILY_CHILDREN,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,TRANSPORT_TRANSFER,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-otel-konaklamasinda-saglik-ve-hijyen-sorunlari-yasadik,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-09-07 20:45:00,4.1,3022,SAFETY_SECURITY,False,
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,STAFF_SERVICE,True,personel|saygısız|çalışan|ilgisiz|hizmet|servis
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,CLEANLINESS_HYGIENE,True,havlu
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,FOOD_BEVERAGE,True,yemek|alkol
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,ROOM,True,oda|duş
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,BEACH_SEA,True,deniz|plaj
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,POOL,True,havuz
balayi-hayalimiz-kabusa-dondu-diamond-of-bodrum-tam-bir-hayal-kirikligi,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-06-09 23:44:00,4.1,3022,FACILITIES_MAINTENANCE,True,eski
