hotel_id,hotel_name,area,complaint_n,aspect_AIR_CONDITIONING_mention_rate_pct,aspect_BEACH_SEA_mention_rate_pct,aspect_CHECKIN_CHECKOUT_mention_rate_pct,aspect_CLEANLINESS_HYGIENE_mention_rate_pct,aspect_FACILITIES_MAINTENANCE_mention_rate_pct,aspect_FAMILY_CHILDREN_mention_rate_pct,aspect_FOOD_BEVERAGE_mention_rate_pct,aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct,aspect_NOISE_mention_rate_pct,aspect_PAYMENT_REFUND_mention_rate_pct,aspect_POOL_mention_rate_pct,aspect_PRICE_VALUE_mention_rate_pct,aspect_RESERVATION_mention_rate_pct,aspect_ROOM_mention_rate_pct,aspect_SAFETY_SECURITY_mention_rate_pct,aspect_SPA_WELLNESS_mention_rate_pct,aspect_STAFF_SERVICE_mention_rate_pct,aspect_TRANSPORT_TRANSFER_mention_rate_pct,company_response_rate_in_corpus,median_response_time_days,median_complaint_word_count,median_view_count,google_rating,google_review_count,official_star_rating_verified,official_room_count,nlp_sample_tier,nlp_feature_reliability,small_n_flag
BOD007,Kefaluka Resort,Akyarlar,29,3.4482758620689653,24.137931034482758,3.4482758620689653,41.37931034482759,41.37931034482759,31.03448275862069,48.275862068965516,62.06896551724138,3.4482758620689653,51.724137931034484,17.24137931034483,48.275862068965516,51.724137931034484,62.06896551724138,31.03448275862069,3.4482758620689653,65.51724137931035,3.4482758620689653,75.86206896551724,0.6895833333333333,165.0,921.5,4.4,4293,,,HIGH_SAMPLE,HIGH,False
BOD112,Azure By Yelken Hotel,Kadıkalesi,26,3.8461538461538463,38.46153846153846,3.8461538461538463,61.53846153846154,42.30769230769231,34.61538461538461,65.38461538461539,57.69230769230769,7.6923076923076925,73.07692307692308,30.76923076923077,61.53846153846154,53.84615384615385,69.23076923076923,34.61538461538461,3.8461538461538463,76.92307692307692,3.8461538461538463,3.8461538461538463,0.4368055555555555,184.5,2076.0,4.4,565,,,HIGH_SAMPLE,HIGH,False
BOD115,Yasmin Bodrum Resort,Kadıkalesi,23,13.043478260869565,21.73913043478261,0.0,39.130434782608695,43.47826086956522,21.73913043478261,43.47826086956522,56.52173913043478,8.695652173913043,43.47826086956522,8.695652173913043,34.78260869565217,21.73913043478261,43.47826086956522,21.73913043478261,0.0,65.21739130434783,13.043478260869565,0.0,,107.0,1437.0,4.3,5589,,,HIGH_SAMPLE,HIGH,False
BOD106,La Blanche Island Bodrum,Güvercinlik,19,0.0,47.36842105263158,0.0,26.31578947368421,31.57894736842105,5.2631578947368425,47.36842105263158,42.10526315789474,0.0,36.8421052631579,15.789473684210526,36.8421052631579,31.57894736842105,68.42105263157895,21.05263157894737,0.0,73.6842105263158,5.2631578947368425,26.31578947368421,0.9604166666666668,150.0,922.0,4.3,6594,,,HIGH_SAMPLE,HIGH,False
BOD130,Petunya Beach Resort,Ortakent-Yahşi,13,0.0,15.384615384615385,0.0,53.84615384615385,15.384615384615385,0.0,46.15384615384615,84.61538461538461,0.0,61.53846153846154,0.0,46.15384615384615,61.53846153846154,46.15384615384615,23.076923076923077,7.6923076923076925,53.84615384615385,0.0,0.0,,147.0,529.0,3.7,2687,4.0,248.0,MEDIUM_SAMPLE,MEDIUM,False
BOD004,Bendis Beach Hotel,Akyarlar,12,8.333333333333334,50.0,0.0,66.66666666666667,50.0,33.333333333333336,75.0,58.333333333333336,0.0,41.666666666666664,16.666666666666668,66.66666666666667,41.666666666666664,75.0,16.666666666666668,16.666666666666668,66.66666666666667,0.0,41.66666666666667,0.4770833333333333,132.0,983.0,3.9,2469,,,MEDIUM_SAMPLE,MEDIUM,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,41.666666666666664,50.0,0.0,66.66666666666667,58.333333333333336,66.66666666666667,50.0,75.0,8.333333333333334,33.333333333333336,41.666666666666664,25.0,25.0,75.0,33.333333333333336,8.333333333333334,83.33333333333333,8.333333333333334,0.0,,120.5,885.0,4.6,5754,5.0,358.0,MEDIUM_SAMPLE,MEDIUM,False
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,11,0.0,27.272727272727273,0.0,63.63636363636363,54.54545454545455,45.45454545454545,81.81818181818181,54.54545454545455,0.0,45.45454545454545,36.36363636363637,63.63636363636363,36.36363636363637,54.54545454545455,18.181818181818183,18.181818181818183,72.72727272727273,9.090909090909092,0.0,,198.5,547.0,4.5,6843,,,MEDIUM_SAMPLE,MEDIUM,False
BOD153,The Oba Hotel,Torba,10,0.0,20.0,0.0,10.0,20.0,30.0,50.0,50.0,20.0,80.0,10.0,60.0,50.0,60.0,10.0,10.0,30.0,0.0,0.0,,72.5,3080.5,4.0,603,,,MEDIUM_SAMPLE,MEDIUM,False
BOD068,Selectum Colours Bodrum,Gümbet,8,0.0,12.5,0.0,37.5,50.0,0.0,50.0,75.0,0.0,25.0,25.0,37.5,12.5,87.5,12.5,0.0,62.5,0.0,0.0,,140.0,263.0,4.8,13412,5.0,540.0,MEDIUM_SAMPLE,MEDIUM,False
