complaint_id,complaint_url,canonical_complaint_url,hotel_id,hotel_name,area,sikayetvar_company_name,complaint_id.1,complaint_url.1,complaint_title,complaint_text,complaint_date_raw,view_count,support_count,category,product_name,company_response_exists,company_response_date,company_response_text,progress_exists,progress_date,progress_text,user_reply_count,first_user_reply_date,first_user_reply_text,entity_match_status,entity_match_score,entity_match_reason,source_page,collected_at,complaint_title_clean,complaint_text_clean,company_response_text_clean,progress_text_clean,complaint_char_count,complaint_word_count,title_char_count,title_word_count,company_response_char_count,company_response_word_count,progress_char_count,progress_word_count,complaint_text_missing_flag,complaint_title_missing_flag,complaint_text_very_short_flag,missing_text_flag,missing_title_flag,very_short_text_flag,complaint_text_possible_boilerplate_flag,complaint_text_html_artifact_flag,complaint_text_encoding_artifact_flag,collected_at_parsed,complaint_date,complaint_date_is_approximate,complaint_date_pattern,complaint_date_parse_failed_flag,date_parse_failed_flag,date_is_approximate_flag,complaint_date_future_flag,complaint_year,complaint_month,complaint_year_month,company_response_date_parsed,progress_date_parsed,view_count_numeric,support_count_numeric,user_reply_count_numeric,view_count_parse_failed_flag,company_response_exists_clean,progress_exists_clean,potential_pii_flag,potential_duplicate_flag,possible_duplicate_flag,hotel_name_master,area_master,google_rating,google_review_count,official_star_rating_verified,official_room_count,official_bed_count,search_price_usd_snapshot,hotel_name_mismatch_flag,area_mismatch_flag,hotel_metadata_mismatch_flag,reply_count_total_derived,reply_count_company_derived,reply_count_user_derived,reply_count_unknown_derived,first_reply_date,last_reply_date,company_reply_exists_derived,user_reply_count_mismatch_flag,company_response_mismatch_flag
arin-resort-bodrum-memnuniyetsizligi,https://www.sikayetvar.com/arin-resort-bodrum/arin-resort-bodrum-memnuniyetsizligi,https://www.sikayetvar.com/arin-resort-bodrum/arin-resort-bodrum-memnuniyetsizligi,BOD158,Arin Resort Bodrum,Turgutreis,Arin Resort Bodrum,arin-resort-bodrum-memnuniyetsizligi,https://www.sikayetvar.com/arin-resort-bodrum/arin-resort-bodrum-memnuniyetsizligi,Memnuniyetsizliği,"Balayı için geldiğimiz bu otelde ilk günden büyük olumsuzluklar yaşadık havanın 40 derece olduğu günde odamızın kliması çalışmıyordu bu konuyu resepsiyona ilettiğimizde teknik ekip yönlendirildi odaya gelip baktı sıcaktan odada duramadı şuan için yapılabilecek bir şey yok dedi gitti 4 saat boyunca konuya çözüm bulamadılar bütün günümüz zehir oldu üzerine odaya vantilatör gönderdiler gerçekten şaka gibi geceyi klimasız geçirdik sabah kalktığınızda bu defa banyoda üzerimize yukarıdan su damlıyordu hepsini ekte videoya aldım ertesi gün oda değişikliği için 1 katta farklı bir odaya aldılar ancak yaşadığımız zaman kaybı ve olumsuzluklar için 1 gün fazladan konaklama çözümü sunacaklarını düşünürken bu da olmadı sadece alakart restoran da 1 akşam yemeği olarak davetiye göndermişler balayımız için gerçekten çok kötü bir tercih oldu, bu arada otelde yeme içme ve barda çalışan personeller çok ilgili alakalı onlara diyecek bir sözüm yok ama yaşadığımız sorunla alakalı kişiler yavaş ve ilgisiz müşteri memnuniyetinden uzaklar.",27 Haziran 2025 11:39,878,,,,False,,,False,,,0,,,COMPLAINT_MATCHED,,Dedicated single-property source page,https://www.sikayetvar.com/arin-resort-bodrum,2026-08-25T12:58:29.219502+00:00,Memnuniyetsizliği,"Balayı için geldiğimiz bu otelde ilk günden büyük olumsuzluklar yaşadık havanın 40 derece olduğu günde odamızın kliması çalışmıyordu bu konuyu resepsiyona ilettiğimizde teknik ekip yönlendirildi odaya gelip baktı sıcaktan odada duramadı şuan için yapılabilecek bir şey yok dedi gitti 4 saat boyunca konuya çözüm bulamadılar bütün günümüz zehir oldu üzerine odaya vantilatör gönderdiler gerçekten şaka gibi geceyi klimasız geçirdik sabah kalktığınızda bu defa banyoda üzerimize yukarıdan su damlıyordu hepsini ekte videoya aldım ertesi gün oda değişikliği için 1 katta farklı bir odaya aldılar ancak yaşadığımız zaman kaybı ve olumsuzluklar için 1 gün fazladan konaklama çözümü sunacaklarını düşünürken bu da olmadı sadece alakart restoran da 1 akşam yemeği olarak davetiye göndermişler balayımız için gerçekten çok kötü bir tercih oldu, bu arada otelde yeme içme ve barda çalışan personeller çok ilgili alakalı onlara diyecek bir sözüm yok ama yaşadığımız sorunla alakalı kişiler yavaş ve ilgisiz müşteri memnuniyetinden uzaklar.",,,1029,146,17,1,,,,,False,False,False,False,False,False,False,False,False,2026-08-25 12:58:29.219502,2025-06-27 11:39:00,False,DAY_MONTH_YEAR_TIME,False,False,False,False,2025,6,2025-06,,,878,,0,False,False,False,False,False,False,Arin Resort Bodrum,Turgutreis,4.6,1691,,,,,False,False,False,0,0,0,0,,,False,False,False
plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,Azure by Yelken Hotel,plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/plaj-yaniltmasi-ve-guvenlik-endisesi-nedeniyle-tam-iptal-ve-80126-tl-iade-talebi,Plaj Yanıltması Ve Güvenlik Endişesi Nedeniyle Tam İptal Ve 80.126 TL İade Talebi,"Tatilbudur üzerinden 5609***63 numaralı rezervasyonla Azure By Yelken Hotel’de 4 gecelik konaklama satın aldım. Ancak otele gittiğimizde, odaya hiç giriş yapmadan önce tesisi ve plajı görmek istedik.
Tatilbudur’ın tanıtımında plaj “kum plaj” olarak belirtilmesine rağmen, yerinde gördüğümüz plajın çakıl/taşlı olduğunu gördük. Ayrıca tesise herhangi bir güvenlik kontrolü olmadan girip ortak alanlara ve denize kadar ulaşabildik. Özellikle çocuklu bir aile olarak bu durum bizde ciddi bir güvenlik endişesi oluşturdu. Tesisin genel işleyişi, müşteri ilgisi ve hizmet kalitesi de beklentimizin oldukça altındaydı. Aynı şekilde farklı platformlarda, yakın tarihli misafirlerin personel ilgisizliği, teknik sorunlar ve taşlı deniz konusunda benzer şikayetlerinin olduğunu da sonradan gördük.
Aynı gün ailemizden gelen acil bir sağlık durumu nedeniyle tatilimizi sürdürmemiz de mümkün olmadı. Bu nedenle odaya hiç girmeden ve otelin hiçbir konaklama hizmetinden yararlanmadan tesisten ayrıldık.
Tatilbudur’dan rezervasyonun tamamen iptal edilmesini ve kullanılmayan 4 gecelik, toplam 80.126 TL’lik ödemenin iadesini talep ettim. Ancak aldığım yaklaşım “yapacak bir şey yok” şeklinde, çözüm odaklı olmaktan çok uzaktı. Beni asıl hayal kırıklığına uğratan da bu oldu. Tatilbudur’u kurumsal ve güvenilir olduğu için tercih ettik, satışını yaptığı tesisin arkasında durmasını ve müşterisinin yaşadığı mağduriyete çözüm üretmesini beklerdik. Ancak bu süreçte güvenimizin boşa çıktığını hissettik.
Talebim çok net: Konaklamaya hiç başlamadığımız 4 gecelik rezervasyonun tamamen iptal edilmesini ve 80.126 TL tutarındaki ücretimizin iade edilmesini istiyorum. Tatilbudur’ın müşteri memnuniyetine ve satış sonrası desteğine olan güvenimiz bu süreçte ciddi şekilde sarsılmıştır.",24 Ağustos 14:01,,,,,False,,,False,,,0,,,COMPLAINT_MATCHED,,Dedicated single-property source page,https://www.sikayetvar.com/azure-by-yelken-hotel,2026-08-25T12:58:29.219502+00:00,Plaj Yanıltması Ve Güvenlik Endişesi Nedeniyle Tam İptal Ve 80.126 TL İade Talebi,"Tatilbudur üzerinden 5609***63 numaralı rezervasyonla Azure By Yelken Hotel’de 4 gecelik konaklama satın aldım. Ancak otele gittiğimizde, odaya hiç giriş yapmadan önce tesisi ve plajı görmek istedik. Tatilbudur’ın tanıtımında plaj “kum plaj” olarak belirtilmesine rağmen, yerinde gördüğümüz plajın çakıl/taşlı olduğunu gördük. Ayrıca tesise herhangi bir güvenlik kontrolü olmadan girip ortak alanlara ve denize kadar ulaşabildik. Özellikle çocuklu bir aile olarak bu durum bizde ciddi bir güvenlik endişesi oluşturdu. Tesisin genel işleyişi, müşteri ilgisi ve hizmet kalitesi de beklentimizin oldukça altındaydı. Aynı şekilde farklı platformlarda, yakın tarihli misafirlerin personel ilgisizliği, teknik sorunlar ve taşlı deniz konusunda benzer şikayetlerinin olduğunu da sonradan gördük. Aynı gün ailemizden gelen acil bir sağlık durumu nedeniyle tatilimizi sürdürmemiz de mümkün olmadı. Bu nedenle odaya hiç girmeden ve otelin hiçbir konaklama hizmetinden yararlanmadan tesisten ayrıldık. Tatilbudur’dan rezervasyonun tamamen iptal edilmesini ve kullanılmayan 4 gecelik, toplam 80.126 TL’lik ödemenin iadesini talep ettim. Ancak aldığım yaklaşım “yapacak bir şey yok” şeklinde, çözüm odaklı olmaktan çok uzaktı. Beni asıl hayal kırıklığına uğratan da bu oldu. Tatilbudur’u kurumsal ve güvenilir olduğu için tercih ettik, satışını yaptığı tesisin arkasında durmasını ve müşterisinin yaşadığı mağduriyete çözüm üretmesini beklerdik. Ancak bu süreçte güvenimizin boşa çıktığını hissettik. Talebim çok net: Konaklamaya hiç başlamadığımız 4 gecelik rezervasyonun tamamen iptal edilmesini ve 80.126 TL tutarındaki ücretimizin iade edilmesini istiyorum. Tatilbudur’ın müşteri memnuniyetine ve satış sonrası desteğine olan güvenimiz bu süreçte ciddi şekilde sarsılmıştır.",,,1765,226,81,13,,,,,False,False,False,False,False,False,False,False,False,2026-08-25 12:58:29.219502,2026-08-24 14:01:00,True,DAY_MONTH_TIME_NO_YEAR,False,False,True,False,2026,8,2026-08,,,,,0,False,False,False,False,False,False,Azure By Yelken Hotel,Kadıkalesi,4.4,565,,,,962.0,False,False,False,0,0,0,0,,,False,False,False
soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,https://www.sikayetvar.com/azure-by-yelken-hotel/soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,https://www.sikayetvar.com/azure-by-yelken-hotel/soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,BOD112,Azure By Yelken Hotel,Kadıkalesi,Azure by Yelken Hotel,soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,https://www.sikayetvar.com/azure-by-yelken-hotel/soz-verilen-2500-tl-kampanya-odulu-alinmadi-ve-yaniltici-bilgilendirme,Söz Verilen 2500 TL Kampanya Ödülü Alınmadı Ve Yanıltıcı Bilgilendirme,"Tatilbudur internet sitesi üzerinden 5407***46 numaralı rezervasyonumu, özellikle sunulan 2.500 TL kampanya ödülünden yararlanmak için satın aldım. Bu rezervasyon kapsamında 31.07.2026 – 03.08.2026 tarihleri arasında Azure By Yelken Hotel’de konakladım.
Konaklamam sırasında Tatilbudur çalışanı olduğunu belirten H****** isimli görevliye kampanya ödülünü özellikle sordum. Kendisi, ödülün otel çıkışı sonrasında tarafıma yükleneceğini açıkça ifade etti. Daha sonra Tatilbudur müşteri hizmetlerini aradığımda ise bu kez ödemenin 07.08.2026 tarihinde banka tarafından toplu olarak yapılacağı bilgisi verildi.
Ancak 07.08.2026 tarihinde hesabıma herhangi bir kampanya ödemesi yapılmadı. Tekrar müşteri hizmetlerini aradığımda bu kez SMS ile kampanyaya katılım sağlamadığım gerekçesiyle ödülün tarafıma verilmeyeceği söylendi. Bu açıklama, daha önce Tatilbudur çalışanı ve müşteri hizmetleri tarafından tarafıma verilen açık ve net bilgilerle tamamen çelişmektedir. Kampanyaya ilişkin bu değişen ve tutarsız bilgilendirmeler sonucunda mağdur edildiğimi düşünüyorum.
Tüm bu süreç sonunda, bana baştan itibaren söz verildiği şekilde 2.500 TL kampanya ödülümün eksiksiz olarak ödenmesini ve yanlış yönlendirme nedeniyle tarafıma kurumsal bir özür iletilmesini talep ediyorum.",12 Ağustos 20:04,114,,,,False,,,False,,,0,,,COMPLAINT_MATCHED,,Dedicated single-property source page,https://www.sikayetvar.com/azure-by-yelken-hotel,2026-08-25T12:58:29.219502+00:00,Söz Verilen 2500 TL Kampanya Ödülü Alınmadı Ve Yanıltıcı Bilgilendirme,"Tatilbudur internet sitesi üzerinden 5407***46 numaralı rezervasyonumu, özellikle sunulan 2.500 TL kampanya ödülünden yararlanmak için satın aldım. Bu rezervasyon kapsamında 31.07.2026 – 03.08.2026 tarihleri arasında Azure By Yelken Hotel’de konakladım. Konaklamam sırasında Tatilbudur çalışanı olduğunu belirten H****** isimli görevliye kampanya ödülünü özellikle sordum. Kendisi, ödülün otel çıkışı sonrasında tarafıma yükleneceğini açıkça ifade etti. Daha sonra Tatilbudur müşteri hizmetlerini aradığımda ise bu kez ödemenin 07.08.2026 tarihinde banka tarafından toplu olarak yapılacağı bilgisi verildi. Ancak 07.08.2026 tarihinde hesabıma herhangi bir kampanya ödemesi yapılmadı. Tekrar müşteri hizmetlerini aradığımda bu kez SMS ile kampanyaya katılım sağlamadığım gerekçesiyle ödülün tarafıma verilmeyeceği söylendi. Bu açıklama, daha önce Tatilbudur çalışanı ve müşteri hizmetleri tarafından tarafıma verilen açık ve net bilgilerle tamamen çelişmektedir. Kampanyaya ilişkin bu değişen ve tutarsız bilgilendirmeler sonucunda mağdur edildiğimi düşünüyorum. Tüm bu süreç sonunda, bana baştan itibaren söz verildiği şekilde 2.500 TL kampanya ödülümün eksiksiz olarak ödenmesini ve yanlış yönlendirme nedeniyle tarafıma kurumsal bir özür iletilmesini talep ediyorum.",,,1268,154,70,10,,,,,False,False,False,False,False,False,False,False,False,2026-08-25 12:58:29.219502,2026-08-12 20:04:00,True,DAY_MONTH_TIME_NO_YEAR,False,False,True,False,2026,8,2026-08,,,114,,0,False,False,False,True,False,False,Azure By Yelken Hotel,Kadıkalesi,4.4,565,,,,962.0,False,False,False,0,0,0,0,,,False,False,False
azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,Azure by Yelken Hotel,azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/azure-by-yelken-otelinde-temizlik-ve-hizmet-sorunlari-iade-talebi,Azure By Yelken Otelinde Temizlik Ve Hizmet Sorunları İade Talebi,"Temmuz ayının 20’si ile 27’si arasında Azure By Yelken otelde konakladık ve ödediğimiz ücreti kesinlikle hak etmeyen bir hizmetle karşılaştık. Bize anlatılan ve fotoğraflarda gösterilen otel ile kapıdan girdiğimizde gördüğümüz yer arasında büyük fark vardı.
Odamızda ve otelin genelinde temizlik ciddi anlamda yetersizdi. Çarşaflarımızı değiştirtmek için defalarca söylemek zorunda kaldık ve ancak üç günde bir zorla değiştirildi. Odalarda damlama sorunu vardı ve bu durum hem konforumuzu hem de hijyen hissimizi tamamen bozdu. Bebek barı var denilmesine rağmen içerik son derece yetersizdi, neredeyse sadece cici bebeyle karşılaştık.
Yemeklerde çeşit son derece azdı, neredeyse her gün tavuk ve hindiden ibaret bir menüyle karşılaştık. Sunulan yemeklerin kokusu ise tarif edilemeyecek kadar rahatsız ediciydi, ne iştah bırakıyordu ne de kendimizi hijyenik bir ortamda hissettik. Disko var denmesine rağmen böyle bir olanakla da karşılaşmadık.
Tüm bu sorunları otel yetkilisine de ilettik ancak herhangi bir ilgi, çözüm çabası ya da umursama görmedik. Eşimle birlikte tatilin bitip bu otelden kurtulacağımız günü resmen iple çektik. Küçük bir tatil kaçamağı olarak planladığımız bu süreç tam bir pişmanlığa dönüştü.
Yaşadığımız bu olumsuzluklar ve verilen sözlerin yerine getirilmemesi nedeniyle ödediğimiz ücretin iadesini talep ediyorum ve benzer mağduriyetlerin yaşanmaması için gerekli incelemenin yapılarak önlem alınmasını istiyorum.",29 Temmuz 02:59,375,,,,False,,,False,,,0,,,COMPLAINT_MATCHED,,Dedicated single-property source page,https://www.sikayetvar.com/azure-by-yelken-hotel,2026-08-25T12:58:29.219502+00:00,Azure By Yelken Otelinde Temizlik Ve Hizmet Sorunları İade Talebi,"Temmuz ayının 20’si ile 27’si arasında Azure By Yelken otelde konakladık ve ödediğimiz ücreti kesinlikle hak etmeyen bir hizmetle karşılaştık. Bize anlatılan ve fotoğraflarda gösterilen otel ile kapıdan girdiğimizde gördüğümüz yer arasında büyük fark vardı. Odamızda ve otelin genelinde temizlik ciddi anlamda yetersizdi. Çarşaflarımızı değiştirtmek için defalarca söylemek zorunda kaldık ve ancak üç günde bir zorla değiştirildi. Odalarda damlama sorunu vardı ve bu durum hem konforumuzu hem de hijyen hissimizi tamamen bozdu. Bebek barı var denilmesine rağmen içerik son derece yetersizdi, neredeyse sadece cici bebeyle karşılaştık. Yemeklerde çeşit son derece azdı, neredeyse her gün tavuk ve hindiden ibaret bir menüyle karşılaştık. Sunulan yemeklerin kokusu ise tarif edilemeyecek kadar rahatsız ediciydi, ne iştah bırakıyordu ne de kendimizi hijyenik bir ortamda hissettik. Disko var denmesine rağmen böyle bir olanakla da karşılaşmadık. Tüm bu sorunları otel yetkilisine de ilettik ancak herhangi bir ilgi, çözüm çabası ya da umursama görmedik. Eşimle birlikte tatilin bitip bu otelden kurtulacağımız günü resmen iple çektik. Küçük bir tatil kaçamağı olarak planladığımız bu süreç tam bir pişmanlığa dönüştü. Yaşadığımız bu olumsuzluklar ve verilen sözlerin yerine getirilmemesi nedeniyle ödediğimiz ücretin iadesini talep ediyorum ve benzer mağduriyetlerin yaşanmaması için gerekli incelemenin yapılarak önlem alınmasını istiyorum.",,,1439,194,65,10,,,,,False,False,False,False,False,False,False,False,False,2026-08-25 12:58:29.219502,2026-07-29 02:59:00,True,DAY_MONTH_TIME_NO_YEAR,False,False,True,False,2026,7,2026-07,,,375,,0,False,False,False,False,False,False,Azure By Yelken Hotel,Kadıkalesi,4.4,565,,,,962.0,False,False,False,0,0,0,0,,,False,False,False
ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,BOD112,Azure By Yelken Hotel,Kadıkalesi,Azure by Yelken Hotel,ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,https://www.sikayetvar.com/azure-by-yelken-hotel/ultra-her-sey-dahil-konseptinde-lobi-bar-ve-snack-bar-kapanmasi-ve-hamburger-ekmek-eksikligi-nedeniyle-ucret-iadesi-talebi,Ultra Her Şey Dahil Konseptinde Lobi Bar Ve Snack Bar Kapanması Ve Hamburger Ekmek Eksikliği Nedeniyle Ücret İadesi Talebi,"03–07 Temmuz 2026 tarihleri arasında Azure by Yelken Bodrum’da, 5 yıldız ve Ultra her şey dahil konseptiyle konakladım. Ancak konsept ile sunulan hizmet arasında ciddi bir uçurum olduğunu yaşadığım deneyimle gördüm. Otelde lobi barın saat 00:00’da kapanması, bugüne kadar hiçbir tesiste karşılaşmadığım bir uygulama oldu. 1 yıldızlı otelde bile lobi bar kapanmazken, 5 yıldız ve Ultra her şey dahil denilen bir otelde lobi barın bu kadar erken kapanması bana göre tamamen yanlış bir uygulama.
Gece boyunca açık olan tek alanın snack bar olduğunu söylediler. Saat 00:45 civarında snack barda hamburger yemek istedik, fakat bize hamburger ekmeğinin kalmadığı söylendi. Ultra her şey dahil denilen ve sabaha kadar açık olduğu belirtilen snack barda ekmek dahi bulunmaması, verilen hizmetin ciddiyetsizliğini açıkça gösteriyor. Sabaha kadar açık denilen yer için bekledik, ancak ne düzgün yiyecek ne de konsepti karşılayan bir hizmet alabildik. Buna karşılık lobinin kapalı olması sebebiyle, ödediğimiz ücrete karşılık en azından düzgün bir içecek hizmetinden bile faydalanamadık; snack bardaki alkoller de sınırlıydı.
Bu otele 74.000 TL ödeyerek geldim. Bu kadar para ödememe rağmen, gece saatinde basit bir hamburger bile yiyemiyorsam, bu konseptin “Ultra her şey dahil” olarak pazarlanmasını kesinlikle doğru bulmuyorum. Verilen ücretin karşılığını alamadığımı düşünüyorum ve bu nedenle konaklama bedelimin iadesini talep ediyorum. Bu yaşadığım tecrübenin ilk ve son olmasını, hem benim mağduriyetimin giderilmesini hem de başka misafirlerin aynı sorunları yaşamaması için gerekli düzenlemelerin yapılmasını istiyorum.",4 Temmuz 01:31,660,,,,False,,,False,,,0,,,COMPLAINT_MATCHED,,Dedicated single-property source page,https://www.sikayetvar.com/azure-by-yelken-hotel,2026-08-25T12:58:29.219502+00:00,Ultra Her Şey Dahil Konseptinde Lobi Bar Ve Snack Bar Kapanması Ve Hamburger Ekmek Eksikliği Nedeniyle Ücret İadesi Talebi,"03–07 Temmuz 2026 tarihleri arasında Azure by Yelken Bodrum’da, 5 yıldız ve Ultra her şey dahil konseptiyle konakladım. Ancak konsept ile sunulan hizmet arasında ciddi bir uçurum olduğunu yaşadığım deneyimle gördüm. Otelde lobi barın saat 00:00’da kapanması, bugüne kadar hiçbir tesiste karşılaşmadığım bir uygulama oldu. 1 yıldızlı otelde bile lobi bar kapanmazken, 5 yıldız ve Ultra her şey dahil denilen bir otelde lobi barın bu kadar erken kapanması bana göre tamamen yanlış bir uygulama. Gece boyunca açık olan tek alanın snack bar olduğunu söylediler. Saat 00:45 civarında snack barda hamburger yemek istedik, fakat bize hamburger ekmeğinin kalmadığı söylendi. Ultra her şey dahil denilen ve sabaha kadar açık olduğu belirtilen snack barda ekmek dahi bulunmaması, verilen hizmetin ciddiyetsizliğini açıkça gösteriyor. Sabaha kadar açık denilen yer için bekledik, ancak ne düzgün yiyecek ne de konsepti karşılayan bir hizmet alabildik. Buna karşılık lobinin kapalı olması sebebiyle, ödediğimiz ücrete karşılık en azından düzgün bir içecek hizmetinden bile faydalanamadık; snack bardaki alkoller de sınırlıydı. Bu otele 74.000 TL ödeyerek geldim. Bu kadar para ödememe rağmen, gece saatinde basit bir hamburger bile yiyemiyorsam, bu konseptin “Ultra her şey dahil” olarak pazarlanmasını kesinlikle doğru bulmuyorum. Verilen ücretin karşılığını alamadığımı düşünüyorum ve bu nedenle konaklama bedelimin iadesini talep ediyorum. Bu yaşadığım tecrübenin ilk ve son olmasını, hem benim mağduriyetimin giderilmesini hem de başka misafirlerin aynı sorunları yaşamaması için gerekli düzenlemelerin yapılmasını istiyorum.",,,1617,224,122,19,,,,,False,False,False,False,False,False,False,False,False,2026-08-25 12:58:29.219502,2026-07-04 01:31:00,True,DAY_MONTH_TIME_NO_YEAR,False,False,True,False,2026,7,2026-07,,,660,,0,False,False,False,False,False,False,Azure By Yelken Hotel,Kadıkalesi,4.4,565,,,,962.0,False,False,False,0,0,0,0,,,False,False,False
