year,geography,geography_level,domestic_arrivals,foreign_arrivals,total_arrivals,total_overnights,avg_stay_nights,occupancy_rate_pct,foreign_arrival_share_pct,data_status,source_origin,source_url,source_retrieved_at,arrival_total_difference,derived_avg_stay_nights_recalculated,avg_stay_difference,derived_foreign_arrival_share_pct_recalculated,foreign_share_difference_pp,total_arrivals_yoy_pct,domestic_arrivals_yoy_pct,foreign_arrivals_yoy_pct,total_overnights_yoy_pct,occupancy_yoy_change_pp,total_arrivals_vs_2019_pct,foreign_arrivals_vs_2019_pct,domestic_arrivals_vs_2019_pct,overnights_vs_2019_pct,occupancy_vs_2019_pp,analysis_period
2009,Muğla,province,1087027,2215196,3302223,15160801,4.59,29.8,67.08,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,4.59108939644597,-0.0010893964459697258,67.08196266575577,-0.0019626657557694216,,,,,,-26.942680203998016,-20.815948937776497,-36.89306804697314,4.577283841000712,6.800000000000001,pre_pandemic_2009_2019
2010,Muğla,province,2076069,3489872,5565941,21299579,3.83,29.6,62.7,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,3.826770531703444,0.003229468296555904,62.70048496741162,-0.0004849674116158553,68.55133647848737,90.98596447006375,57.542357425708616,40.49111916975892,-0.1999999999999993,23.139088911523874,24.74842074860377,20.525382637955182,46.92179646555734,6.600000000000001,pre_pandemic_2009_2019
2011,Muğla,province,1816645,2758896,4575541,18889948,4.13,29.5,60.3,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,4.128462186220165,0.0015378137798345293,60.29660754870299,0.0033924512970102683,-17.79393637122636,-12.495923786733487,-20.945639266998906,-11.313045201503746,-0.10000000000000142,1.2277977824994624,-1.3809334526767914,5.464622679847375,30.30046722054749,6.5,pre_pandemic_2009_2019
2012,Muğla,province,1571206,3070441,4641647,21149384,4.56,32.9,66.15,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,4.556439556907279,0.0035604430927209663,66.14981708001491,0.0001829199850931218,1.4447690447971118,-13.510564804901348,11.292379270548803,11.961049336927765,3.3999999999999986,2.690305669590831,9.755505574921862,-8.784243513558076,45.88577039104458,9.899999999999999,pre_pandemic_2009_2019
2013,Muğla,province,1613104,2392883,4005987,18310720,4.57,31.3,59.73,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,4.570838597329447,-0.0008385973294471327,59.732670125988925,-0.002670125988927907,-13.694707934489635,2.6666140531540705,-22.0671232568872,-13.421970115063397,-1.5999999999999979,-11.372831768894287,-14.464377121515849,-6.351871332399817,26.305025887028567,8.3,pre_pandemic_2009_2019
2014,Muğla,province,2307827,2847477,5155304,21286018,4.13,34.3,55.23,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,4.128954955905607,0.0010450440943925443,55.233929948650946,-0.0039299486509492,28.689983267544306,43.06746496196154,18.997752919804277,16.248940511350728,2.9999999999999964,14.05428796710828,1.785469171354137,33.98000366905154,46.828254406257976,11.299999999999997,pre_pandemic_2009_2019
2015,Muğla,province,2758324,2740833,5499157,19854297,3.61,31.3,49.84,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,3.610425561590622,-0.00042556159062190346,49.840966533597786,-0.0009665335977828704,6.669887944532471,19.520397326142724,-3.7452102334803783,-6.726110069060354,-2.9999999999999964,21.661581170448784,-2.026610636247428,60.133432722831024,36.95242440241309,8.3,pre_pandemic_2009_2019
2016,Muğla,province,2916349,1720177,4636526,17091718,3.69,26.5,37.1,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,3.686319886915333,0.0036801130846670915,37.10055761576663,-0.0005576157666311587,-15.686604328627096,5.729022406359796,-37.23889780953454,-13.914262489374462,-4.800000000000001,2.5770103122889854,-38.51082098195264,69.30751296359512,17.89650458549921,3.5,pre_pandemic_2009_2019
2017,Muğla,province,1635250,1490758,3126008,10671449,3.41,16.9,47.69,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,3.4137625367561437,-0.003762536756143575,47.68887347697127,0.0011265230287307304,-32.57865910813398,-43.92817869191925,-13.336941489160703,-37.56362584498527,-9.600000000000001,-30.84120420066707,-46.711596809754894,-5.066193869897296,-26.389697281313616,-6.100000000000001,pre_pandemic_2009_2019
2018,Muğla,province,1847856,2101113,3948969,13076741,3.31,20.9,53.21,official,T.C. Kültür ve Turizm Bakanlığı,https://turizmveri.com/iller/mugla,2026-08-25,0,3.3114316673541877,-0.001431667354187649,53.206621779001054,0.0033782209989468015,26.32626020150941,13.001437089130107,40.94259430437401,22.539507052884765,4.0,-12.634279666304138,-24.89394208029374,7.276565210424746,-9.798297908385479,-2.1000000000000014,pre_pandemic_2009_2019
