period,year,month_name_tr,airport_domestic_passengers,airport_international_passengers,airport_total_passengers,tourism_domestic_arrivals,tourism_foreign_arrivals,tourism_total_arrivals,tourism_total_overnights,tourism_occupancy_rate_pct,tourism_avg_stay_nights,tourism_foreign_share_pct,season_group,airport_monthly_share_pct,airport_international_share_pct,airport_domestic_share_pct,airport_total_index,airport_domestic_index,airport_international_index,tourism_total_arrivals_index,tourism_domestic_index,tourism_foreign_index,tourism_overnights_index,tourism_occupancy_index,share_gap_pp,tourism_arrivals_per_airport_passenger_proxy_ratio,foreign_arrivals_per_international_airport_passenger_proxy_ratio,domestic_arrivals_per_domestic_airport_passenger_proxy_ratio,total_index_gap,international_foreign_index_gap
2025-01,2025,Ocak,98770,4463,103233,64542,3844,68386,142502,2.0,2.083789079636183,5.621033544877607,LOW,2.3393544901701473,4.323229974911124,95.67677002508887,28.072253882041768,45.84475352120848,2.9304806982025116,8.98843323785549,17.41625120108549,0.9850415815332892,6.931736326936633,6.751054852320675,-1.297803569966483,0.6624432109887343,0.8613040555680036,0.6534575275893489,19.083820644186275,1.9454391166692222
2025-02,2025,Şubat,80913,4423,85336,48810,2953,51763,105629,1.7,2.0406274752236153,5.704847091551881,LOW,1.933792050731449,5.183041154963908,94.8169588450361,23.20550460877739,37.556308005077874,2.9042160269212878,6.803560227109552,13.171070328235611,0.7567189881029664,5.138120001670079,5.738396624472574,-0.521805936587973,0.6065787006656042,0.6676463938503279,0.6032405175929703,16.40194438166784,2.1474970388183214
2025-03,2025,Mart,103703,5664,109367,60579,18837,79416,179197,2.5,2.256434471642994,23.71940163191297,LOW,2.4783565577522544,5.1788930847513415,94.82110691524866,29.740278693027054,48.13443833562704,3.7190774534212467,10.438180534283797,16.346860672284063,4.827062505552177,8.716694183787343,8.438818565400844,-18.54050854716163,0.726142254976364,3.325741525423729,0.5841586067905461,19.302098158743256,-1.10798505213093
2025-04,2025,Nisan,157148,56785,213933,116579,199073,315652,907810,13.3,2.875983678227922,63.06723860453918,SHOULDER,4.847918050871041,26.543357032341902,73.4566429676581,58.17501661045249,72.94129114458713,37.2859839676069,41.48827140636331,31.458107105006746,51.0133149741354,44.15867535161854,44.89451476793249,-36.523881572197276,1.4754712924139801,3.505732147574183,0.7418420851681218,16.686745204089178,-13.727331006528495
2025-05,2025,Mayıs,211031,195120,406151,190473,409930,600403,1861071,26.5,3.099703032796305,68.2758080822381,SHOULDER,9.203754279514259,48.04124574357813,51.95875425642187,110.44505135417111,97.9514445715718,128.1190665098082,78.91501595806379,51.397936460356924,105.04633077990147,90.52822737721777,89.45147679324894,-20.23456233865997,1.4782753212475164,2.100912259122591,0.9025830328245613,31.530035396107323,23.072735729906725
2025-06,2025,Haziran,306667,305325,611992,327234,506596,833830,2620230,38.5,3.1424031277358693,60.75530983533814,SHOULDER,13.868300186454029,49.890358043896,50.109641956104,166.41960223744834,142.34153111358145,200.48151897348907,109.59590101367304,88.30202884224241,129.81741025973938,127.45606009690513,129.957805907173,-10.864951791442138,1.362485130524582,1.6592024891509047,1.0670662314497483,56.8237012237753,70.6641087137497
2025-07,2025,Temmuz,412695,356557,769252,981859,828261,1810120,4906797,70.0,2.710757850308267,45.75724261374936,PEAK,17.431956063200392,46.35113070879244,53.64886929120756,209.18347275840472,191.5551336887226,234.12130995048014,237.91628070814176,264.9484519854761,212.2454540484765,238.68172386214715,236.28691983122363,0.5938880950430772,2.3530910546868906,2.322941352995454,2.3791395582694244,-28.732807949737037,21.87585590200365
2025-08,2025,Ağustos,440795,381648,822443,1061003,942171,2003174,5317523,75.8,2.654548731163643,47.033907189290595,PEAK,18.637312922796067,46.40418849695359,53.59581150304641,223.64775507355282,204.5979358953234,250.5964816284096,263.29067006123967,286.30496069389403,241.43538291227904,258.6607019439802,255.8649789029536,-0.6297186923370077,2.435638700797502,2.4686910451515534,2.4070214045077645,-39.64291498768685,9.161098716130567
2025-09,2025,Eylül,339606,300795,640401,695523,931353,1626876,4365162,64.2,2.6831559381292736,57.24794022408592,PEAK,14.512074190030829,46.969789241428415,53.030210758571585,174.14489028036994,157.63038740835808,197.50704495089053,213.8312858226741,187.68249022547462,238.66322374759977,212.33492869127008,216.70886075949366,-10.278150982657507,2.540402029353483,3.096304792300404,2.0480291867634848,-39.686395542304155,-41.15617879670924
2025-10,2025,Ekim,215300,199956,415256,380029,748759,1128788,2988039,42.5,2.6471215144030587,66.33300495752967,PEAK,9.4100819328131,48.152464985454756,51.847535014545244,112.9209831937572,99.93292936231838,131.29446526770812,148.3642204207356,102.54842626037801,191.87272360751408,145.3474230719808,143.45991561181435,-18.18053997207491,2.7182942570366233,3.7446188161395506,1.7651137947050628,-35.4432372269784,-60.578258339805956
2025-11,2025,Kasım,113455,11052,124507,272679,68731,341410,719733,10.6,2.1081192700858207,20.131513429600773,SHOULDER,2.821442847806559,8.876609347265616,91.12339065273439,33.85731417367871,52.66089410497831,7.256928675002052,44.87381908192091,73.58070653622123,17.612615229023024,35.01003060865871,35.780590717299575,-11.254904082335157,2.7420948219778807,6.2188744118711545,2.403411044026266,-11.016504908242197,-10.355686554020973
2025-12,2025,Aralık,105251,5762,111013,247709,22340,270049,555797,7.9,2.058133894219197,8.272572755314776,LOW,2.515656427859876,5.190383108284616,94.80961689171538,30.187877134318512,48.85295284864547,3.783425898060244,35.49436152793901,66.8427096893447,5.724721366142997,27.035678483827596,26.666666666666668,-3.0821896470301606,2.4325889760658663,3.87712599791739,2.353507330096626,-5.306484393620501,-1.9412954680827532
