area,project_hotel_count,mapped_hotel_count,hotels_with_complaints,complaint_n,mapping_coverage_pct,coverage_flag,aspect_AIR_CONDITIONING_mention_rate_pct,aspect_BEACH_SEA_mention_rate_pct,aspect_CHECKIN_CHECKOUT_mention_rate_pct,aspect_CLEANLINESS_HYGIENE_mention_rate_pct,aspect_FACILITIES_MAINTENANCE_mention_rate_pct,aspect_FAMILY_CHILDREN_mention_rate_pct,aspect_FOOD_BEVERAGE_mention_rate_pct,aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct,aspect_NOISE_mention_rate_pct,aspect_PAYMENT_REFUND_mention_rate_pct,aspect_POOL_mention_rate_pct,aspect_PRICE_VALUE_mention_rate_pct,aspect_RESERVATION_mention_rate_pct,aspect_ROOM_mention_rate_pct,aspect_SAFETY_SECURITY_mention_rate_pct,aspect_SPA_WELLNESS_mention_rate_pct,aspect_STAFF_SERVICE_mention_rate_pct,aspect_TRANSPORT_TRANSFER_mention_rate_pct,company_response_count,company_response_rate_in_corpus,median_word_count,median_view_count
Kadıkalesi,4,3,3,56,75.0,ADEQUATE_EXPLORATORY,10.714285714285714,33.92857142857143,3.5714285714285716,53.57142857142857,41.07142857142857,26.785714285714285,55.357142857142854,55.357142857142854,10.714285714285714,55.357142857142854,21.428571428571427,48.214285714285715,33.92857142857143,60.714285714285715,25.0,5.357142857142857,71.42857142857143,8.928571428571429,3,5.357142857142857,141.5,1914.0
Akyarlar,16,5,6,55,31.25,ADEQUATE_EXPLORATORY,3.6363636363636362,29.09090909090909,3.6363636363636362,50.90909090909091,43.63636363636363,27.272727272727273,58.18181818181818,58.18181818181818,3.6363636363636362,43.63636363636363,18.181818181818183,50.90909090909091,38.18181818181818,63.63636363636363,21.818181818181817,5.454545454545454,72.72727272727273,1.8181818181818181,31,56.36363636363636,159.0,647.5
Güvercinlik,10,5,4,39,50.0,ADEQUATE_EXPLORATORY,2.5641025641025643,33.333333333333336,0.0,38.46153846153846,38.46153846153846,20.512820512820515,51.282051282051285,46.15384615384615,2.5641025641025643,46.15384615384615,17.94871794871795,46.15384615384615,30.76923076923077,53.84615384615385,20.512820512820515,5.128205128205129,69.23076923076923,5.128205128205129,5,12.82051282051282,151.0,549.0
Gümbet,15,6,7,24,40.0,ADEQUATE_EXPLORATORY,4.166666666666667,29.166666666666668,0.0,33.333333333333336,29.166666666666668,12.5,45.833333333333336,70.83333333333333,0.0,50.0,12.5,41.666666666666664,54.166666666666664,58.333333333333336,20.833333333333332,0.0,54.166666666666664,12.5,0,0.0,140.0,437.0
Ortakent-Yahşi,21,3,3,16,14.285714285714285,LOW,0.0,18.75,0.0,50.0,31.25,6.25,50.0,75.0,6.25,62.5,0.0,43.75,56.25,50.0,25.0,6.25,62.5,0.0,0,0.0,151.5,318.5
Bodrum Merkez,13,3,3,13,23.076923076923077,LOW,23.076923076923077,30.76923076923077,0.0,46.15384615384615,53.84615384615385,0.0,53.84615384615385,53.84615384615385,0.0,61.53846153846154,7.6923076923076925,38.46153846153846,30.76923076923077,69.23076923076923,7.6923076923076925,23.076923076923077,84.61538461538461,7.6923076923076925,0,0.0,144.0,352.0
Turgutreis,7,2,2,13,28.57142857142857,ADEQUATE_EXPLORATORY,46.15384615384615,46.15384615384615,0.0,61.53846153846154,53.84615384615385,61.53846153846154,53.84615384615385,69.23076923076923,7.6923076923076925,30.76923076923077,38.46153846153846,23.076923076923077,23.076923076923077,76.92307692307692,30.76923076923077,7.6923076923076925,84.61538461538461,7.6923076923076925,0,0.0,122.0,878.0
Torba,21,1,1,10,4.761904761904762,LOW,0.0,20.0,0.0,10.0,20.0,30.0,50.0,50.0,20.0,80.0,10.0,60.0,50.0,60.0,10.0,10.0,30.0,0.0,0,0.0,72.5,3080.5
Gümüşlük,15,1,1,7,6.666666666666667,LOW,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,57.142857142857146,14.285714285714286,0.0,14.285714285714286,0.0,0,0.0,137.0,31.0
Göltürkbükü,10,1,1,2,10.0,LOW,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,100.0,0.0,0,0.0,131.5,210.0
Bitez,18,1,1,1,5.555555555555555,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0,0.0,161.0,111.0
Gündoğan,14,0,0,0,0.0,LOW,,,,,,,,,,,,,,,,,,,0,,,
Türkbükü,6,1,0,0,16.666666666666664,LOW,,,,,,,,,,,,,,,,,,,0,,,
Yalıkavak,22,0,0,0,0.0,LOW,,,,,,,,,,,,,,,,,,,0,,,
