period,year,month_name_tr,geography,geography_level,domestic_arrivals,foreign_arrivals,total_arrivals,total_overnights,occupancy_rate_pct,derived_avg_stay_nights,derived_foreign_arrival_share_pct,data_status,source_origin,source_url,metadata_url,source_retrieved_at,important_note
2025-01,2025,Ocak,Muğla,province,64542,3844,68386,142502,2.0,2.0838,5.62,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-02,2025,Şubat,Muğla,province,48810,2953,51763,105629,1.7,2.0406,5.7,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-03,2025,Mart,Muğla,province,60579,18837,79416,179197,2.5,2.2564,23.72,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-04,2025,Nisan,Muğla,province,116579,199073,315652,907810,13.3,2.876,63.07,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-05,2025,Mayıs,Muğla,province,190473,409930,600403,1861071,26.5,3.0997,68.28,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-06,2025,Haziran,Muğla,province,327234,506596,833830,2620230,38.5,3.1424,60.76,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-07,2025,Temmuz,Muğla,province,981859,828261,1810120,4906797,70.0,2.7108,45.76,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-08,2025,Ağustos,Muğla,province,1061003,942171,2003174,5317523,75.8,2.6545,47.03,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-09,2025,Eylül,Muğla,province,695523,931353,1626876,4365162,64.2,2.6832,57.25,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-10,2025,Ekim,Muğla,province,380029,748759,1128788,2988039,42.5,2.6471,66.33,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-11,2025,Kasım,Muğla,province,272679,68731,341410,719733,10.6,2.1081,20.13,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
2025-12,2025,Aralık,Muğla,province,247709,22340,270049,555797,7.9,2.0581,8.27,official values compiled by Türkiye Turizm Veri Atlası,T.C. Kültür ve Turizm Bakanlığı konaklama istatistikleri,https://turizmveri.com/iller/mugla,https://yigm.ktb.gov.tr/TR-201124/metaveri.html,2026-08-25,Aylık seri Muğla il düzeyidir; Bodrum aylık serisi olarak etiketlenmemelidir.
