area,hotel_count
Akyarlar,16
Bitez,18
Bodrum Merkez,13
Göltürkbükü,10
Gümbet,15
Gümüşlük,15
Gündoğan,14
Güvercinlik,10
Kadıkalesi,4
Ortakent-Yahşi,21
Torba,21
Turgutreis,7
Türkbükü,6
Yalıkavak,22
