hotel_id,hotel_name,area,search_query,candidate_company_name,candidate_url,candidate_slug,candidate_page_title,name_similarity,area_evidence,bodrum_evidence,address_evidence,phone_evidence,brand_evidence,negative_brand_conflict,candidate_score,match_method,candidate_rank,visible_complaint_count,discovered_at
BOD022,Dolce Vita Luxury Bungalows,Bitez,Dolce Vita Luxury Bungalows,Dolce Vita Luxury Bungalows (Bodrum),https://www.sikayetvar.com/dolce-vita-luxury-bungalows-bodrum,dolce-vita-luxury-bungalows-bodrum,Dolce Vita Luxury Bungalows (Bodrum) Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,0,2026-08-25T12:28:34.304828+00:00
BOD023,Doria Hotel Bodrum,Bitez,Doria Hotel Bodrum,Doria Hotel Bodrum,https://www.sikayetvar.com/doria-hotel-bodrum,doria-hotel-bodrum,Doria Hotel Bodrum Şikayet ve Yorumları - Şikayetvar,1.0,False,True,False,False,True,False,0.85,slug_guess,1,1,2026-08-25T12:28:39.826661+00:00
BOD024,HAKAN OTEL,Bitez,HAKAN OTEL,Hakan Peugeot,https://www.sikayetvar.com/hakan-peugeot,hakan-peugeot,Hakan Peugeot Şikayet ve Yorumları - Şikayetvar,0.6957,False,False,False,False,True,False,0.487,related_slug,1,4,2026-08-25T12:28:45.322600+00:00
BOD028,Mira Beach Resort Bodrum,Bitez,Mira Beach Resort Bodrum,Amilla Beach Resort | Bodrum,https://www.sikayetvar.com/amilla-beach-resort-bodrum,amilla-beach-resort-bodrum,Amilla Beach Resort | Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'mira' does not appear in candidate title at all],0.8889,False,True,False,False,True,True,0.7722,search_fallback,1,3,2026-08-25T12:29:27.359884+00:00
BOD031,Okaliptus Otel,Bitez,Okaliptus Otel,Okaliptus Otel,https://www.sikayetvar.com/okaliptus-otel,okaliptus-otel,Okaliptus Otel Şikayet ve Yorumları - Şikayetvar,1.0,False,False,False,False,True,False,0.7,slug_guess,1,0,2026-08-25T12:29:53.090484+00:00
BOD032,Paloma Family Club Bitez,Bitez,Paloma Family Club Bitez,Paloma Family Club,https://www.sikayetvar.com/paloma-family-club,paloma-family-club,Paloma Family Club Şikayet ve Yorumları - Şikayetvar,0.8571,False,False,False,False,True,False,0.6,search_fallback,1,1,2026-08-25T12:30:00.652417+00:00
BOD032,Paloma Family Club Bitez,Bitez,Paloma Family Club Bitez,Aqua Club Dolphin,https://www.sikayetvar.com/aqua-club-dolphin,aqua-club-dolphin,Aqua Club Dolphin Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'paloma' does not appear in candidate title at all],0.439,False,False,False,False,False,True,0.3073,search_fallback,2,18,2026-08-25T12:30:00.652417+00:00
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,Azka Otel - Bardakçı Koyu,Azka Otel,https://www.sikayetvar.com/azka-otel,azka-otel,Azka Otel Şikayet ve Yorumları - Şikayetvar,0.5625,False,False,False,False,True,False,0.3937,search_fallback,1,9,2026-08-25T12:30:30.333835+00:00
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Bodrium Hotel & SPA,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,oscar-seaside-hotel-spa-bodrum,Oscar Seaside Hotel & Spa Bodrum Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'bodrium' does not appear in candidate title at all],0.6,False,True,False,False,True,True,0.57,search_fallback,1,5,2026-08-25T12:30:43.793326+00:00
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,Bodrium Hotel & SPA,Green Bay Resort & Spa,https://www.sikayetvar.com/green-bay-resort-spa,green-bay-resort-spa,Green Bay Resort & Spa Şikayet ve Yorumları - Şikayetvar [CONFLICT: Hotel's own brand word 'bodrium' does not appear in candidate title at all],0.4324,False,False,False,False,False,True,0.3027,search_fallback,2,11,2026-08-25T12:30:43.793326+00:00
