hotel_id,place_id,hotel_name,area,sikayetvar_company_name,sikayetvar_url,sikayetvar_slug,match_status,match_score,match_method,match_reason,candidate_count,manual_review_required,page_accessible,visible_complaint_count,checked_at
BOD020,ChIJybxupHVtvhQRKBpK_CDad1Q,Bitez Risa Hotel,Bitez,Risa Hotel,https://www.sikayetvar.com/risa-hotel,risa-hotel,REVIEW_REQUIRED,0.5385,search_fallback,score=0.5385 name_sim=0.7692 bodrum=False area=False method=search_fallback,2,True,True,1,2026-08-25T12:28:23.346384+00:00
BOD021,ChIJf3a3w55tvhQR0pFtmdOTw2Q,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:28:34.301423+00:00
BOD022,ChIJZypVXF1tvhQRAEStQO6WGK0,Dolce Vita Luxury Bungalows,Bitez,Dolce Vita Luxury Bungalows (Bodrum),https://www.sikayetvar.com/dolce-vita-luxury-bungalows-bodrum,dolce-vita-luxury-bungalows-bodrum,PAGE_FOUND_NO_COMPLAINT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,True,True,0,2026-08-25T12:28:39.824096+00:00
BOD023,ChIJi1RysUtsvhQR-Vso6pE_bpE,Doria Hotel Bodrum,Bitez,Doria Hotel Bodrum,https://www.sikayetvar.com/doria-hotel-bodrum,doria-hotel-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,1,2026-08-25T12:28:45.321248+00:00
BOD024,ChIJQWFo13ltvhQRYJmZ52TPPjE,HAKAN OTEL,Bitez,Hakan Peugeot,https://www.sikayetvar.com/hakan-peugeot,hakan-peugeot,REVIEW_REQUIRED,0.487,related_slug,score=0.487 name_sim=0.6957 bodrum=False area=False method=related_slug,1,True,True,4,2026-08-25T12:28:54.782190+00:00
BOD025,ChIJDTaX83ZtvhQR6ooLNcHmOQQ,Halikarya Hotel & Restaurant Beach,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:29:07.404513+00:00
BOD026,ChIJARY9WHRtvhQRelTaH2laRj0,Manuela Otel Bitez,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:29:16.514637+00:00
BOD027,ChIJ2zrOs3VtvhQRZpab8gpgPUw,Meis Apart Hotel,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:29:27.358232+00:00
BOD028,ChIJJX6Kg1JtvhQRJQdHx88BYVk,Mira Beach Resort Bodrum,Bitez,Amilla Beach Resort | Bodrum,https://www.sikayetvar.com/amilla-beach-resort-bodrum,amilla-beach-resort-bodrum,REVIEW_REQUIRED,0.7722,search_fallback,score=0.7722 name_sim=0.8889 bodrum=True area=False method=search_fallback,1,True,True,3,2026-08-25T12:29:36.768959+00:00
BOD029,ChIJG-s9xMptvhQRGYhqgZLQw2Y,Mumu Bodrum Hotel,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:29:45.764749+00:00
BOD030,ChIJZat9EHVtvhQR_YVjYQPaSPY,Natur Garden Hotel Bitez Bodrum,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:29:53.089583+00:00
BOD031,ChIJWeStgXZtvhQRGNA-9SWD1xk,Okaliptus Otel,Bitez,Okaliptus Otel,https://www.sikayetvar.com/okaliptus-otel,okaliptus-otel,PAGE_FOUND_NO_COMPLAINT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,True,True,0,2026-08-25T12:30:00.651139+00:00
BOD032,ChIJ6Wqm-Z9tvhQRpt55tZ1NK5c,Paloma Family Club Bitez,Bitez,Paloma Family Club,https://www.sikayetvar.com/paloma-family-club,paloma-family-club,FOUND_HIGH_CONFIDENCE,0.6,search_fallback,score=0.6 name_sim=0.8571 bodrum=False area=False method=search_fallback,2,True,True,1,2026-08-25T12:30:11.988597+00:00
BOD033,ChIJoSspwEFsvhQRf9PM8XwZzmc,Ramada Resort by Wyndham Bodrum,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:30:21.377557+00:00
BOD034,ChIJm9mMaCptvhQRksrC-9Oi4lg,Çınar Butik Otel Bodrum,Bitez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:30:30.331469+00:00
BOD035,ChIJwW3ot1FsvhQR9l2PzmY0rzI,Azka Otel - Bardakçı Koyu,Bodrum Merkez,Azka Otel,https://www.sikayetvar.com/azka-otel,azka-otel,NOT_FOUND,0.3937,search_fallback,score=0.3937 name_sim=0.5625 bodrum=False area=False method=search_fallback,1,True,True,9,2026-08-25T12:30:43.792694+00:00
BOD036,ChIJGdWqDm5svhQRoL1G8LyU33U,Bodrium Hotel & SPA,Bodrum Merkez,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,oscar-seaside-hotel-spa-bodrum,REVIEW_REQUIRED,0.57,search_fallback,score=0.57 name_sim=0.6 bodrum=True area=False method=search_fallback,3,True,True,5,2026-08-25T12:31:01.509766+00:00
BOD037,ChIJb6V7XlZsvhQRMLIIPP4BchI,Bodrum Bay Resort,Bodrum Merkez,Bodrum Bay Resort,https://www.sikayetvar.com/bodrum-bay-resort,bodrum-bay-resort,PAGE_FOUND_NO_COMPLAINT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,True,True,0,2026-08-25T12:31:07.267657+00:00
BOD038,ChIJz-flR21svhQR6aYNONMx9Q4,Casa Mare Bodrum,Bodrum Merkez,Casa Mare Bodrum,https://www.sikayetvar.com/casa-mare-bodrum,casa-mare-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,1,2026-08-25T12:31:11.020818+00:00
BOD039,ChIJyVnm4XtrvhQRWSj607ouwhs,Casa Nonna Bodrum,Bodrum Merkez,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:31:18.101371+00:00
BOD040,ChIJqeEj9m5svhQRjGIlBcbvQAk,Diamond of Bodrum Hotel,Bodrum Merkez,Diamond of Bodrum,https://www.sikayetvar.com/diamond-of-bodrum,diamond-of-bodrum,FOUND_EXACT,0.6885,slug_guess,score=0.6885 name_sim=0.7692 bodrum=True area=False method=slug_guess,1,True,True,10,2026-08-25T12:31:23.689275+00:00
BOD041,ChIJg044KVZsvhQRr4Ud9rwcZYA,La Quinta by Wyndham Bodrum,Bodrum Merkez,La Quinta By Wyndham Bodrum,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,la-quinta-by-wyndham-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,5,2026-08-25T12:31:27.403722+00:00
BOD042,ChIJPxuR8hFsvhQRlxMn8dN2TlI,Mandarin Resort Hotel,Bodrum Merkez,Mandarin Resort,https://www.sikayetvar.com/mandarin-resort,mandarin-resort,FOUND_HIGH_CONFIDENCE,0.5833,search_fallback,score=0.5833 name_sim=0.8333 bodrum=False area=False method=search_fallback,1,True,True,1,2026-08-25T12:31:38.525260+00:00
