area,company_response_count,complaint_links_found,details_failed,details_success,hotel_id,hotel_name,last_error,last_page_checked,last_updated,mapping_score,mapping_status,scrape_status,source_page,source_page_accessible,unique_complaints_found
Güvercinlik,5,19,0,19,BOD106,La Blanche Island Bodrum,,3,2026-08-25T13:06:21.641011+00:00,0.85,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/la-blanche-island-bodrum,True,19
Turgutreis,0,12,0,12,BOD160,La Blanche Resort Bodrum,,2,2026-08-25T13:06:21.641024+00:00,0.7763,FOUND_HIGH_CONFIDENCE,DETAILS_COLLECTED,https://www.sikayetvar.com/la-blanche-resort-spa-bodrum,True,12
Bodrum Merkez,0,5,0,5,BOD041,La Quinta by Wyndham Bodrum,,2,2026-08-25T13:06:21.641042+00:00,0.85,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/la-quinta-by-wyndham-bodrum,True,5
Gümüşlük,0,7,0,7,BOD077,Ladonia Hotels Zemda,,2,2026-08-25T13:06:21.641066+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/ladonia-hotels-zemda,True,7
Güvercinlik,0,4,0,4,BOD107,Le Méridien Bodrum Beach Resort,,2,2026-08-25T13:06:21.641077+00:00,0.8208,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/le-meridien-bodrum-beach-resort,True,4
Göltürkbükü,0,2,0,2,BOD056,"Mandarin Oriental, Bodrum",,2,2026-08-25T13:06:21.641099+00:00,0.85,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/mandarin-oriental-bodrum,True,2
Akyarlar,0,1,0,1,BOD010,Mare Garden Hotel,,2,2026-08-25T13:06:21.641112+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/mare-garden-hotel,True,1
Güvercinlik,4,5,0,5,BOD109,Oscar Seaside Hotel & Spa,,2,2026-08-25T13:06:21.641124+00:00,0.85,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,True,5
Ortakent-Yahşi,0,13,0,13,BOD130,Petunya Beach Resort,,2,2026-08-25T13:06:21.641154+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/petunya-beach-resort,True,13
Bodrum Merkez,0,7,0,7,BOD045,Salmakis Resort & Spa,,2,2026-08-25T13:06:21.641183+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/salmakis-resort-spa,True,7
Gümbet,0,6,0,6,BOD067,Sami Beach Hotel,,2,2026-08-25T13:06:21.641227+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/sami-beach-hotel,True,6
Gümbet,0,1,0,1,BOD069,Siesta Beach Apart,,2,2026-08-25T13:06:21.641241+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/siesta-beach-apart,True,1
Torba,0,10,0,10,BOD153,The Oba Hotel,,2,2026-08-25T13:06:21.641262+00:00,0.7,FOUND_EXACT,DETAILS_COLLECTED,https://www.sikayetvar.com/the-oba-hotel,True,10
